slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-nc-ahoskie-st-charles-borromeo-96782ecc,St. Charles Borromeo,122,,NC-561,,W,,,122 NC-561 W,Ahoskie,NC,27910,,36.29734445,-77.00346541,(252) 332-2939
us-nc-albemarle-our-lady-of-the-annunciation-f9f366f2,Our Lady of the Annunciation,416,N,Second,St,,,,416 N Second St,Albemarle,NC,28001,,35.35603005,-80.1974424,(704) 982-2910
us-nc-andrews-holy-redeemer-e01f8c12,Holy Redeemer,214,,Aquone,Rd,,,,214 Aquone Rd,Andrews,NC,28901,,35.19932185,-83.81864893,
us-nc-apex-lourdes-matha-syro-malabar-33bd0d66,Lourdes Matha (Syro-Malabar),1400,,Vision,Dr,,,,1400 Vision Dr,Apex,NC,27523,,35.75249753,-78.87555421,9194390305
us-nc-apex-st-andrew-the-apostle-cde1c26d,St. Andrew the Apostle,3008,,Old Raleigh,Rd,,,,3008 Old Raleigh Rd,Apex,NC,27502,,35.74121344,-78.8214125,(919) 362-0414
us-nc-apex-st-ha-sang-paul-jung-b59756fd,St. Ha-Sang Paul Jung,3301,,Holland,Rd,,,,3301 Holland Rd,Apex,NC,27502,,35.70251002,-78.8959091,(919) 303-6424
us-nc-apex-st-mary-magdalene-ed0b5a3a,St. Mary Magdalene,625,,Magdala,Pl,,,,625 Magdala Pl,Apex,NC,27502,,35.72401982,-78.87411118,(919) 657-4800
us-nc-arden-st-barnabas-874af99d,St. Barnabas,109,,Crescent Hill,Dr,,,,109 Crescent Hill Dr,Arden,NC,28704,9571,35.45168619,-82.51220364,(828) 684-6098
us-nc-arden-holy-apostle-and-evangelist-luke-46f2bc12,St. Barnabas Catholic Church,109,,Crescent Hill,Dr,,,,109 Crescent Hill Dr,Arden,NC,28704,,35.45159858,-82.51230776,
us-nc-asheboro-st-joseph-d06aa885,St. Joseph,512,W,Wainman,Ave,,,,512 W Wainman Ave,Asheboro,NC,27203,5628,35.70237351,-79.82091355,(336) 629-0221
us-nc-asheville-basilica-of-st-lawrence-9ea64859,Basilica of St. Lawrence,97,,Haywood,St,,,,97 Haywood St,Asheville,NC,28801,,35.5973789,-82.55632819,(828) 252-6042
us-nc-asheville-st-eugene-7b615477,St. Eugene,72,,Culvern,St,,,,72 Culvern St,Asheville,NC,28804,,35.6325291,-82.55327091,(828) 254-5193
