Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Annunciation Monastery,"7520 University Dr, Bismarck, North Dakota 58504",(701)255-1520,Mass,,8:30 AM,,Mass,special_event,English,,,2026-01-10,,,note the change in our Saturday Mass schedule
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Mon,7:00 PM,,Mass,specific_weekday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Mon,8:00 AM,,Mass,weekday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Tue,8:00 AM,,Mass,weekday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Wed,8:00 AM,,Mass,weekday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Thu,8:00 AM,,Mass,weekday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Fri,8:00 AM,,Mass,weekday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Sat,5:00 PM,,Mass,saturday,english,,,,,,vigil
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Sun,11:00 AM,,Mass,sunday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Sun,8:00 AM,,Mass,sunday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Mass,Sun,9:30 AM,,Mass,sunday,english,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Confession,Mon,6:15 PM,6:50 PM,Confession,specific_weekday,English,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Confession,Tue,7:30 AM,7:50 AM,Confession,specific_weekday,English,,,,,,
Ascension,"1825 S 3rd St, Bismarck, North Dakota 58504",(701) 223-3606,Confession,Wed,7:30 AM,7:50 AM,Confession,specific_weekday,English,,,,,,
