Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,Ascension,"1825 S 3rd St, Bismarck",(701) 223-3606,Mass,7:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Ascension,"1825 S 3rd St, Bismarck",(701) 223-3606,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption Abbey,"418 3rd Ave W, Richardton",(701) 974-3315,Mass,5:00 PM,,Mass,English,Assumption Abbey,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Mary,"604 Broadway N, Fargo",(701) 235-4289,Mass,12:10 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of St. Mary,"604 Broadway N, Fargo",(701) 235-4289,Mass,7:00 AM,,Mass,english,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Holy Spirit,"519 Raymond St, Bismarck",(701) 223-1033,Mass,6:45 AM,,Mass,english,Cathedral of the Holy Spirit,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of the Holy Spirit,"519 Raymond St, Bismarck",(701) 223-1033,Mass,8:00 AM,,Mass,english,Cathedral of the Holy Spirit,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"505 10th Ave NW, Mandan",(701) 663-8842,Mass,5:30 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"505 10th Ave NW, Mandan",(701) 663-8842,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"505 10th Ave NW, Mandan",(701) 663-8842,Mass,9:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Corpus Christi,"1919 N 2nd St, Bismarck",(701) 255-4600 ,Mass,12:10 PM,,Mass,english,Corpus Christi Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"2711 7th St E, West Fargo",(701) 282-7217,Mass,12:15 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"1420 16th St E, West Fargo",17012827217,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"1018 18th Ave S, Grand Forks",(701) 746-1454,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"1420 7th St N, Fargo",(701) 232-5900,Mass,5:30 PM,,Mass,english,Holy Spirit Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"230 Missile Ave, Minot AFB",701-723-2456,Mass,12:00 PM,,Mass,English,NLC,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nativity,"1825 11th St S, Fargo",(701) 232-2414,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Nativity,"1825 11th St S, Fargo",(701) 232-2414,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Pro-Cathedral of St. Mary,"825 E Broadway Ave, Bismarck",(701) 223-5562,Mass,7:00 AM,,Mass,english,Pro-Cathedral of St. Mary,
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart,"307 Lippert St, Aneta",(701) 797-2624,Mass,TBD,,Mass,English,,check bulletin for Daily Mass times for the week
"Mon, Feb 23, 2026",2026-02-23,Monday,Sacred Heart ,"206 Rice St, Solen",(701) 854-3473,Mass,8:30 AM,,Mass,English,,daily mass is implied for weekdays; time is listed without location
"Mon, Feb 23, 2026",2026-02-23,Monday,St Thomas Aquinas Newman Center,"410 Cambridge St, Grand Forks",(701) 402-3806,Mass,5:15 PM,,Mass,English,Newman House,students; School Year
"Mon, Feb 23, 2026",2026-02-23,Monday,St Thomas Aquinas Newman Center,"410 Cambridge St, Grand Forks",(701) 402-3806,Mass,8:30 AM,,Mass,English,Newman House,Summer/Breaks
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Agatha,"604 Steele Ave, Hope",(701) 845-3713 ,Mass,TBD,,Mass,English,,check bulletin
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Ann,"5 St Ann's Rd, Belcourt",17014775601,Mass,6:30 AM,,Mass,english,Adoration chapel,St. Ann's; chapel
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Ann Indian ,"1115 Louis Reil Rd, Belcourt",(701) 477-5601 ,Mass,6:30 AM,,Mass,english,Adoration chapel,St. Ann's
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Anne,"1321 Braman Ave, Bismarck",(701) 223-1549,Mass,5:15 PM,,Mass,english,,ad orientem
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Anthony,"299 2nd St N, Fairmount",(701) 242-7327,Mass,9:00 AM,,Mass,English,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Anthony of Padua,"710 10th St S, Fargo",(701) 237-6063,Mass,5:15 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Anthony of Padua,"710 10th St S, Fargo",(701) 237-6063,Mass,8:00 AM,,Mass,vietnamese,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Boniface,"300 E St, Grenora",(701) 572-6731,Mass,7:00 PM,,Mass,english,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Brigid of Ireland,"107 W 1st Ave S, Cavalier",(701) 265-8877,Mass,5:15 PM,,Mass,english,St. Brigid,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Catherine,"524 3rd Ave NE, Valley City",(701) 845-0354,Mass,8:00 AM,,Mass,english,St. Catherine of Alexandria Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Cecilia,"201 2nd Ave W, Velva",(701) 338-2663,Mass,12:00 PM,,Mass,english,Velva,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Cecilia,"413 E Brewster St, Harvey",(701) 324-2144,Mass,7:30 AM,,Daily Mass Schedule,English,,Harvey
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Edward,"211 N Main St, Drayton",(701) 454-6171 ,Mass,7:00 PM,,Mass,english,St. Edward,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Francis Xavier,"605 1st St W, Anamoose",(701) 465-3780,Mass,8:00 AM,,Daily Mass,English,Anamoose,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Francis Xavier,"605 1st St W, Anamoose",(701) 465-3780,Mass,8:30 AM,,Daily Mass,English,Drake,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Francis de Sales,"318 2nd St SW, Steele",(701) 475-2333,Mass,7:30 AM,,Mass,english,Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. James Basilica,"622 1st Ave S, Jamestown",(701) 252-0119,Mass,12:10 PM,,Mass,English,"622 1st Ave. S. Jamestown, ND 58401",
"Mon, Feb 23, 2026",2026-02-23,Monday,St. John,"107 Saint Ann St, Saint John",(701) 477-3081,Mass,9:00 AM,,Mass,English,St. John’s Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. John,"115 2nd St N, Wahpeton",(701) 642-6982,Mass,9:30 AM,,Mass,english,St. John's Parish Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Joseph,"517 4th St NE, Devils Lake",(701) 662-7558,Mass,12:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,St. Joseph,"106 6th St W, Williston",(701) 572-6731 ,Mass,7:00 PM,,Mass,english,,livestream
