slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-nd-alcide-church-of-st-anthony-647ff947,St. Anthony,5,,miles W on,Hwy,,,,5 miles W on Hwy 5,Alcide,ND,58316,,48.80625,-99.85625,17014775601
us-nd-alexander-our-lady-of-consolation-7938d8af,Our Lady of Consolation,704,,Delaney,St,,,,704 Delaney St,Alexander,ND,58831,,47.8418493,-103.639703,+1-701-842-3791
us-nd-almont-st-mary-queen-of-peace-816479c4,St. Mary Queen of Peace,302,,Margaret,St,,,,302 Margaret St,Almont,ND,58520,,46.72677691,-101.50745687,(701) 843-7061
us-nd-anamoose-st-francis-xavier-3fbe69ed,St. Francis Xavier,605,,1st,St,W,,,605 1st St W,Anamoose,ND,58710,,47.88174673,-100.24329794,(701) 465-3780
us-nd-aneta-sacred-heart-c970b81c,Sacred Heart,307,,Lippert,St,,,,307 Lippert St,Aneta,ND,58212,,47.68182431,-97.98529754,(701) 797-2624
us-nd-aneta-sacred-heart-parish-35bf78cf,Sacred Heart Parish,307,,1st,St,,,,307 1st St,Aneta,ND,58212,,47.6780384,-97.9854251,+1-701-797-2624
us-nd-argusville-st-william-3e851ca1,St. William,107,,Drake,Ave,,,,107 Drake Ave,Argusville,ND,58005,,47.05063975,-96.93419932,(701) 484-5211
us-nd-ashley-st-david-62b76009,St. David,601,,2nd,Ave,NE,,,601 2nd Ave NE,Ashley,ND,58413,,46.03968016,-99.36859117,(701) 452-2970
us-nd-balta-st-therese-little-flower-9b621276,St. Therese Little Flower ,301,,Main,St,N,,,301 Main St N,Balta,ND,58313,,48.16791241,-100.03771499,(701) 776-6388 
us-nd-beach-st-john-the-baptist-42d5376c,St. John the Baptist,162,,2nd,Ave,SE,,,162 2nd Ave SE,Beach,ND,58621,,46.91303705,-104.00314072,(701) 872-4153
us-nd-bechyne-sts-peter-and-paul-93c4dcef,Sts. Peter and Paul,11951,,County Rd 19,,,,,11951 County Rd 19,Bechyne,ND,58250,,48.25348913,-98.04319662,(701) 284-6060
us-nd-belcourt-church-of-st-ann-554fbb71,St. Ann,5,,St Ann's,Rd,,,,5 St Ann's Rd,Belcourt,ND,58316,,48.8396875,-99.7554375,17014775601
us-nd-belcourt-st-ann-indian-f757f136,St. Ann Indian ,1115,,Louis Reil,Rd,,,,1115 Louis Reil Rd,Belcourt,ND,58316,,48.84027452,-99.75478649,(701) 477-5601 
us-nd-belcourt-church-of-st-benedict-806884f7,St. Benedict,,,rural,,,,,rural,Belcourt,ND,58316,,48.83875,-99.74375,17014773081
us-nd-belfield-st-bernard-ccc870da,St. Bernard,402,,3rd,Ave,NE,,,402 3rd Ave NE,Belfield,ND,58622,,46.88751711,-103.19429305,(701) 575-4295
us-nd-belfield-st-john-the-baptist-ukrainian-264e1a54,St. John the Baptist (Ukrainian),305,,6th,St,NE,,,305 6th St NE,Belfield,ND,58622,,46.8881319,-103.19186571,(701) 575-4281
us-nd-berthold-st-ann-d2c63334,St. Ann,217,,Dewey,St,NW,,,217 Dewey St NW,Berthold,ND,58718,,48.31500914,-101.7385727,(701) 628-3405
