Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Mon,9:00 AM,,Mass,weekday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Tue,9:00 AM,,Mass,weekday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Wed,9:00 AM,,Mass,weekday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Thu,9:00 AM,,Mass,weekday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Fri,9:00 AM,,Mass,weekday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Sat,5:00 PM,,Mass,saturday,english,Church,,,,,vigil; Vigil
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Sun,11:30 AM,,Mass,sunday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Mass,Sun,9:30 AM,,Mass,sunday,english,Church,,,,,
Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland, Ohio 10510",12167215300,Confession,Sat,3:00 PM,4:00 PM,Confession,specific_weekday,english,Church,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Mon,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Mon,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Tue,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Tue,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Wed,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Wed,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Thu,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Thu,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Fri,6:45 AM,,Mass,weekday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Fri,8:15 AM,,Mass,weekday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Sat,4:30 PM,,Mass,saturday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Sat,4:30 PM,,Mass,saturday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Sun,11:00 AM,,Mass,sunday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Sun,11:00 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,Sun,8:30 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Mass,Sun,9:00 AM,,Mass,sunday,english,,,,,,
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Mass,,8:15 AM,,Mass,special_event,English,All Saints,,2026-02-18,,,Mass
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Confession,Sat,3:00 PM,4:00 PM,Confession,saturday,English,All Saints Church,,,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Adoration,Tue,7:15 AM,5:00 PM,Adoration,specific_weekday,English,All Saints Church,,,,,adoration
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Devotions,,2:00 PM,,Rosary,monthly,English,,first_saturday_(recurring),,,,
All Saints,"8939 Montgomery Rd, Cincinnati, Ohio 45236-2129",(513) 792-4600,Devotions,,6:15 AM,6:45 AM,Rosary,other,English,,,,,,prior to Daily Mass
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Education,Sun,9:45 AM,10:45 AM,All Saints Religious Education,other,English,,,,,,youth
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Other,,TBD,,Parish Mission 2025: Night 1,special_event,English,,,2025-03-09,,,Parish Mission 2025: Night; Fr. Simon Herrmann; OSB
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Other,,TBD,,Parish Mission 2025: Night 2,special_event,English,,,2025-03-10,,,Parish Mission 2025: Night; Fr. Simon Herrmann; OSB
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Other,,TBD,,Parish Mission 2025: Night 3,special_event,English,,,2025-03-11,,,Parish Mission 2025: Night; Fr. Simon Herrmann; OSB
All Saints,"628 Lime City Rd, Rossford, Ohio 43460",4196661393,Other,,TBD,,MUD HENS OUTING,special_event,English,,,2025-09-12,,,MUD HENS OUTING; check bulletin; check bulletin
All Saints Parish -St. John the Baptist Church,"25743 State Rt 1 (Dover), Guilford, Indiana 47022",(812) 576-4302,Mass,Mon,5:45 PM,,Mass,specific_weekday,English,St. John,,,,,livestream
All Saints Parish -St. John the Baptist Church,"25743 State Rt 1 (Dover), Guilford, Indiana 47022",(812) 576-4302,Mass,Tue,7:30 AM,,Mass,specific_weekday,English,St. John,,,,,livestream
