Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,Abbey of St. Andrew,"10510 Buckeye Rd, Cleveland",12167215300,Mass,5:00 PM,,Mass,english,Church,vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"8939 Montgomery Rd, Cincinnati",(513) 792-4600,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"628 Lime City Rd, Rossford",4196661393,Mass,4:30 PM,,Mass,English,All Saints,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Parish -St. Martin Church ,"8044 Yorkridge Rd (Yorkville), Guilford",(812) 576-4302,Mass,4:00 PM,,Mass,English,St. Martin,livestream; vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints Roman Catholic Church,"62 Needmore St, Walton",(859) 485-4476,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Allegheny College,"520 N Main St, Meadville",(814) 332-4792,Mass,11:30 AM,,Mass,English,The Epiphany of the Lord Parish,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"14040 Puritas Ave, Cleveland",216-671-5890,Mass,4:00 PM,,Mass,English,14040 Puritas Ave.,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"905 Hickory Mills Rd, Hurricane",(304) 562-5816,Mass,5:00 PM,,Vigil Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"2025 Woodman Dr, Kettering",(937) 253-5171,Mass,5:00 PM,,Mass,English,Church of the Ascension,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"7711 Joseph St, Mount Healthy",(513) 521-7274,Mass,3:00 PM,,Mass,English,Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"9183 Broadview Rd, Broadview Heights",440-526-1177,Mass,4:00 PM,,Mass,English,Church of the Assumption,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"9183 Broadview Rd, Broadview Heights",440-526-1177,Mass,8:30 AM,,Mass,English,Church of the Assumption,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"30 Lockwood St, Geneva",(440) 466-3427,Mass,4:30 PM,,Mass,English,,
