slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-oh-ada-our-lady-of-lourdes-7728ad72,Our Lady of Lourdes,300,E,Highland,Ave,,,,300 E Highland Ave,Ada,OH,45810,1122,40.77245252,-83.81983261,(419) 675-1162
us-oh-adena-st-casimir-9717ff0b,St. Casimir,221,,Hanna,Ave,,,,221 Hanna Ave,Adena,OH,43901,7953,40.21598789,-80.87669187,(740) 546-3463
us-mi-adrian-holy-family-parish-st-mary-campus-bf327368,Holy Family Parish (St. Mary Campus),305,N,Division,St,,,,305 N Division St,Adrian,MI,49221,,41.89492,-84.03351,517-263-4681
us-mi-adrian-holy-family-parish-st-mary-campus-7455f6dc,Holy Family Parish St. Mary Campus,305,,Division,St,,,,305 Division St,Adrian,MI,49221,,41.8949127,-84.0334803,+1-517-263-4681
us-mi-adrian-holy-family-parish-st-joseph-75ec773e,St. Joseph,305,,Division,St,,,,305 Division St,Adrian,MI,49221,,41.89964009,-84.02636055,517-263-4681
us-oh-akron-holy-ghost-ukrainian-61d2478f,Holy Ghost (Ukrainian),1866,,Brown,St,,,,1866 Brown St,Akron,OH,44301,,41.03078638,-81.51092192,(330) 724-8277
us-oh-akron-immaculate-conception-9bd24e78,Immaculate Conception,2101,,17th,St,SW,,,2101 17th St SW,Akron,OH,44314,,41.04659159,-81.56088163,(330) 753-8429
us-oh-akron-nativity-of-the-lord-jesus-ce4c296f,Nativity of the Lord Jesus,2425,,Myersville,Rd,,,,2425 Myersville Rd,Akron,OH,44312,,40.99740902,-81.4357731,(330) 699-5086
us-oh-akron-st-matthew-parish-6c888320,St Matthew Parish,2603,,Benton,Ave,,,,2603 Benton Ave,Akron,OH,44312,,41.0533451,-81.436282,+1-330-733-9944
us-oh-akron-st-anthony-of-padua-fa9bb01e,St. Anthony of Padua,83,,Mosser,Pl,,,,83 Mosser Pl,Akron,OH,44310,,41.09883357,-81.51238503,(330) 762-7277
us-oh-akron-st-bernard-parish-25d54f5a,St. Bernard,44,,University,Ave,,,,44 University Ave,Akron,OH,44308,1609,41.07843339,-81.51857878,330-253-5161
us-oh-akron-st-francis-de-sales-cc5510b2,St. Francis de Sales,4019,,Manchester,Rd,,,,4019 Manchester Rd,Akron,OH,44319,,40.99323131,-81.55752394,(330) 644-2225
us-oh-akron-st-john-the-baptist-63a76968,St. John the Baptist,1044,,Brown,St,,,,1044 Brown St,Akron,OH,44301,,41.05333744,-81.510214,330-535-4502
us-oh-akron-st-joseph-melkite-a4ed06dd,St. Joseph  (Melkite),927,N,Portage,Path,,,,927 N Portage Path,Akron,OH,44303,,41.086772,-81.539453,(330) 400-4882
us-oh-akron-blessed-trinity-ba53dc2f,St. Martha,300,E,Tallmadge,Ave,,,,300 E Tallmadge Ave,Akron,OH,44310,,41.10172977,-81.50405691,330-376-5144
us-oh-akron-st-mary-9cf7e20c,St. Mary,750,S,Main,St,,,,750 S Main St,Akron,OH,44311,,41.06635569,-81.52710875,(330) 253-5161
us-oh-akron-st-matthew-8a4ba59a,St. Matthew,2580,,Benton,Ave,,,,2580 Benton Ave,Akron,OH,44312,,41.05339509,-81.43726468,(330) 733-9944
us-oh-akron-st-paul-bbd17150,St. Paul,1580,,Brown,St,,,,1580 Brown St,Akron,OH,44301,,41.03797547,-81.51102947,(330) 724-1263
us-oh-akron-st-sebastian-parish-6aaced0c,St. Sebastian,476,,Mull,Ave,,,,476 Mull Ave,Akron,OH,44320,,41.09924079,-81.56634517,(330) 836-2233
us-oh-akron-st-sebastian-catholic-church-0aa35bde,St. Sebastian Catholic Church,476,,Mull,Ave,,,,476 Mull Ave,Akron,OH,44320,,41.0992099,-81.5665717,+1-330-836-2233
us-oh-akron-st-vincent-547b4d7e,St. Vincent,164,W,Market,St,,,,164 W Market St,Akron,OH,44303,2395,41.08762508,-81.52289711,(330) 535-3135
us-oh-akron-visitation-of-mary-9ee20469,Visitation of Mary,55,,Broad,St,,,,55 Broad St,Akron,OH,44305,,41.07246338,-81.48859006,(330) 535-4141
us-pa-albion-st-lawrence-the-martyr-ec52e62e,St. Lawrence the Martyr,180,E,State,St,,,,180 E State St,Albion,PA,16401,,41.89119171,-80.36011919,(814) 756-3623
us-ky-alexandria-st-mary-of-the-assumption-9012223a,St. Mary of the Assumption Parish,8246,E,Main,St,,,,8246 E Main St,Alexandria,KY,41001,1394,38.95506521,-84.389159,859-635-4188
us-pa-aliquippa-church-of-our-lady-of-fatima-d1525a9e,Our Lady of Fatima,2270,,Brodhead,Rd,,,,2270 Brodhead Rd,Aliquippa,PA,15001,,40.5849375,-80.2578125,17243757626
us-pa-aliquippa-our-lady-of-fatima-mary-queen-of-saint-parish-3dd214e9,"Our Lady of Fatima- Mary, Queen of St. Parish",2270,,Brodhead,Rd,,,,2270 Brodhead Rd,Aliquippa,PA,15001,,40.5848421,-80.25869455,(724) 775-6363
us-pa-aliquippa-ss-peter-paul-ukrainian-9998cbdd,Ss. Peter & Paul (Ukrainian),2001,,Main,St,,,,2001 Main St,Aliquippa,PA,15001,,40.60504339,-80.27548052,+17242662262
us-pa-aliquippa-st-titus-mary-queen-of-saints-parish-feed5bd0,"St Titus Church - Mary, Queen of Saints Parish",952,,Franklin,Ave,,,,952 Franklin Ave,Aliquippa,PA,15001,,40.61285424,-80.25572344,(724) 378-8561
us-pa-aliquippa-st-frances-cabrini-mary-queen-of-saints-parish-7fe0c59f,St. Frances Cabrini,115,,Trinity,Dr,,,,115 Trinity Dr,Aliquippa,PA,15001,,40.6468019,-80.29434023,(724) 775-6363
us-pa-aliquippa-st-george-ruthenian-4c0ae9ec,St. George (Ruthenian),1001,,Clinton,St,,,,1001 Clinton St,Aliquippa,PA,15001,,40.6057942,-80.25783081,(724) 375-2742
us-oh-alliance-regina-coeli-10544d1c,Regina Coeli,663,,Fernwood,Blvd,,,,663 Fernwood Blvd,Alliance,OH,44601,2728,40.91544369,-81.12421251,(330) 821-5880
us-oh-alliance-st-joseph-507a703e,St. Joseph,427,E,Broadway,,,,,427 E Broadway,Alliance,OH,44601,,40.9188538,-81.09956,(330) 821-5760
us-oh-alliance-st-theodore-romanian-a14a02dd,St. Theodore (Romanian),820,,Linden,Ave,,,,820 Linden Ave,Alliance,OH,44601,,40.913563,-81.099859,(330) 493-9355
us-oh-alvada-church-of-st-peter-dd452ac5,St. Peter,11125,,St Peter,Rd,,,,11125 St Peter Rd,Alvada,OH,11125,,41.0651875,-83.3851875,
us-pa-ambridge-good-samaritan-st-luke-the-evangelist-parish-d1d399f0,Good Samaritan - St. Luke the Evangelist Parish,725,,Glenwood,Ave,,,,725 Glenwood Ave,Ambridge,PA,15005,,40.58884922,-80.22702639,(724) 266-6565
us-pa-ambridge-st-mary-ruthenian-caca5099,St Mary's Byzantine Catholic (Ruthenian),624,,Park,Rd,,,,624 Park Rd,Ambridge,PA,15003,,40.58669246,-80.22952346,(724) 266-2030
us-pa-ambridge-sts-peter-and-paul-ukrainian-54ed27e5,Sts. Peter and Paul (Ukrainian),404,,6th,St,,,,404 6th St,Ambridge,PA,15003,,40.58695379,-80.22613724,(412) 266-2262
us-oh-amelia-st-bernadette-cba55249,St. Bernadette,1479,,Locust Lake,Rd,,,,1479 Locust Lake Rd,Amelia,OH,45102,,39.02812676,-84.22669598,(513)753-5566
us-oh-amherst-st-joseph-5b52bfe2,St. Joseph,200,,St Joseph,Dr,,,,200 St Joseph Dr,Amherst,OH,44001,,41.40475576,-82.21848021,(440) 988-2848
us-oh-amsterdam-st-joseph-a4579dd7,St. Joseph,333,N,Main,St,,,,333 N Main St,Amsterdam,OH,43903,,40.47538674,-80.92391299,(740) 765-4142
us-oh-andover-our-lady-of-victory-b4bd2b15,Our Lady of Victory,481,S,Main,St,,,,481 S Main St,Andover,OH,44003,0669,41.6003212,-80.57136157,(440) 293-6218
us-in-angola-saint-anthony-of-padua-47011a8c,St. Anthony de Padua,700,W,Maumee,St,,,,700 W Maumee St,Angola,IN,46703,,41.63551762,-85.00837347,(260) 665-2259
us-oh-anna-sacred-heart-of-jesus-aa821178,Sacred Heart of Jesus,9333,,State Rt 119,,W,,,9333 State Rt 119 W [McCartyville],Anna,OH,45302,,40.39490208,-84.25378752,(937) 394-3823
us-oh-antwerp-divine-mercy-92ced5a4,Divine Mercy,303,S,Monroe,St,,,,303 S Monroe St,Antwerp,OH,45813,1560,41.17886344,-84.74196732,(419) 399-2576
us-oh-archbold-st-peter-22040da1,St. Peter,614,N,Defiance,St,,,,614 N Defiance St,Archbold,OH,43502,,41.52712734,-84.30584322,(419) 446-2150
us-oh-arnheim-st-mary-d1195703,St. Mary,6647,,Van Buren,St,,,,6647 Van Buren St,Arnheim,OH,45121,,38.93396539,-83.8261382,(937) 392-1116
us-oh-ashland-ashland-university-newman-campus-ministry-da41a478,Ashland University- Newman Campus Ministry,456,,College,Ave,,,,456 College Ave,Ashland,OH,44805,,40.86209873,-82.32174141,(419) 289-5906
us-ky-ashland-holy-family-972af572,Holy Family,900,,Winchester,Ave,,,,900 Winchester Ave,Ashland,KY,41101,7497,38.48213137,-82.64717542,(606) 329-1607
us-oh-ashland-st-edward-1c1e4c18,St. Edward,501,,Cottage,St,,,,501 Cottage St,Ashland,OH,44805,,40.87228,-82.31799,(419) 289-7224
us-oh-ashtabula-church-of-the-mother-of-sorrows-4a2850b5,Mother of Sorrows,3312,,Lake,Ave,,,,3312 Lake Ave,Ashtabula,OH,44004,,41.8755625,-80.7893125,14409920330
us-oh-ashtabula-our-lady-of-peace-parish-mother-of-sorrows-church-41ef2982,Our Lady of Peace Parish - Mother of Sorrows Church,1464,W,6th,St,,,,1464 W 6th St,Ashtabula,OH,44004,,41.8963504,-80.8031748,(440) 992-0330
us-oh-ashtabula-our-lady-of-peace-parish-our-lady-of-mt-carmel-church-f083ce6f,Our Lady of Peace Parish - Our Lady of Mt Carmel Church,1200,E,21st,St,,,,1200 E 21st St,Ashtabula,OH,44004,,41.88767661,-80.78511077,(440) 992-0330
us-oh-ashtabula-our-lady-of-peace-parish-st-joseph-church-8b7a2d2e,Our Lady of Peace Parish- St. Joseph Church,1200,E,21st,St,,,,1200 E 21st St,Ashtabula,OH,44004,,41.87618,-80.78961,(440) 992-0330
us-oh-athens-st-paul-f884fd28,St. Paul,38,N,College,St,,,,38 N College St,Athens,OH,45701,,39.33055453,-82.09930932,(740) 592-2711
us-oh-athens-christ-the-king-e0c2da8a,University Parish of Christ the King,141,,Mill,St,,,,141 Mill St,Athens,OH,45701,2925,39.32924733,-82.09479552,(740) 592-2711
us-oh-attica-chapel-of-st-stephen-95585aff,Chapel of St. Stephen,11130,E,County,Rd,,,,11130 E County Rd 6,Attica,OH,11130,,41.0228125,-82.9559375,14194263043
us-oh-attica-our-lady-of-hope-c58a98e0,Our Lady of Hope,320,,Stump,Pike,,,,320 Stump Pike Rd,Attica,OH,44807,,41.06585796,-82.896038,(419) 426-3043
us-in-auburn-immaculate-conception-5aa94611,Immaculate Conception,500,E,7th,St,,,,500 E 7th St,Auburn,IN,46706,,41.36775838,-85.04925668,(260) 925-3930
us-ky-augusta-st-augustine-4388d23f,St. Augustine,215,E,4th,St,,,,215 E 4th St,Augusta,KY,41002,1117,38.77169464,-84.00419103,(606) 756-3229
us-oh-aurora-our-lady-of-perpetual-help-5284ea13,Our Lady of Perpetual Help,342,S,Chillicothe,,,,,342 S Chillicothe,Aurora,OH,44202,,41.30740369,-81.34726576,(330) 562-8519
us-in-aurora-st-mary-of-the-immaculate-conception-272c3c36,St. Mary of the Immaculate Conception,203,,4th,St,,,,203 4th St,Aurora,IN,47001,,39.05399762,-84.8999205,(812) 537-3992
us-oh-austintown-immaculate-heart-of-mary-89601308,Immaculate Heart of Mary,4490,,Norquest,Blvd,,,,4490 Norquest Blvd,Austintown,OH,44515,,41.10469197,-80.73613457,(330) 793-9988
us-oh-austintown-st-blaise-parish-ae96bfc6,St. Joseph,4545,,New,Rd,,,,4545 New Rd,Austintown,OH,44515,,41.08172823,-80.73832885,(330) 792-1919
us-pa-avella-saint-john-the-baptist-byzantine-catholic-church-866d1ca9,Saint John the Baptist Byzantine Catholic Church,176,,Cross Creek,Rd,,,,176 Cross Creek Rd,Avella,PA,15312,,40.2857446,-80.4515067,+1-817-271-0968
us-pa-avella-st-john-the-baptist-ruthenian-2b8a22aa,St. John the Baptist (Ruthenian),176,,Cross Creek,Rd,,,,176 Cross Creek Rd,Avella,PA,15312,,40.28570505,-80.45162236,(814) 948-8242
us-pa-avella-st-isidore-the-farmer-parish-st-michael-60926e4d,St. Michael,97,,Highland,Ave,,,,97 Highland Ave,Avella,PA,15312,,40.27640862,-80.46276622,(724) 695-7325
us-oh-avon-holy-trinity-ce478e0a,Holy Trinity,33601,,Detroit,Rd,,,,33601 Detroit Rd,Avon,OH,44011,,41.45269203,-81.98966051,(440) 937-5363
us-oh-avon-st-mary-of-the-immaculate-conception-3f400eef,St. Mary of the Immaculate Conception,2640,,Stoney Ridge,Rd,,,,2640 Stoney Ridge Rd,Avon,OH,44011,,41.44966284,-82.03386249,(440) 934-4212
us-oh-avon-lake-holy-spirit-475a2e1e,Holy Spirit,410,,Lear,Rd,,,,410 Lear Rd,Avon Lake,OH,44012,,41.49414105,-81.99097038,(440) 933-3777
us-oh-avon-lake-st-joseph-parish-b279cfb3,St. Joseph,32929,,Lake,Rd,,,,32929 Lake Rd,Avon Lake,OH,44012,,41.5107241,-82.02549216,(440) 933-3152
us-pa-baden-saint-teresa-of-calcutta-catholic-church-maronite-34fb1d3b,St Teresa of Calcutta Roman Catholic Church,375,,Linmore,Ave,,,,375 Linmore Ave,Baden,PA,15005,,40.63479568,-80.22898912,
us-oh-barberton-prince-of-peace-68fb4c19,Prince of Peace,1263,,Shannon,Ave,,,,1263 Shannon Ave,Barberton,OH,44203,,41.01566643,-81.63629426,(330) 825-9543
us-oh-barberton-st-augustine-867ff726,St. Augustine,204,,Sixth,St,NW,,,204 Sixth St NW,Barberton,OH,44203,,41.01628698,-81.61252424,(330) 745-0011
us-oh-barberton-saint-nicholas-ruthenian-76ac677e,St. Nicholas (Ruthenian),1051,,Robinson,Ave,,,,1051 Robinson Ave,Barberton,OH,44203,3852,41.01110861,-81.56100144,(330) 753-2031
us-oh-barnesville-assumption-of-the-bvm-caea1431,Assumption of the Blessed Virgin Mary Catholic Church,306,W,Main,St,,,,306 W Main St,Barnesville,OH,43713,,39.98835827,-81.18054271,(740) 425-2181
us-oh-barnesville-st-mary-2cfcbd46,St. Mary,55699,,Marietta,St,,,,55699 Marietta St,Barnesville,OH,43713,,39.90661124,-81.22977049,(740) 425-2181
us-oh-bascom-church-of-st-patrick-fec5fe11,St. Patrick,6230,W,Tiffin,St,,,,6230 W Tiffin St,Bascom,OH,44809,,41.1328125,-83.2899375,14199372715
us-oh-batavia-holy-trinity-0e80da90,Holy Trinity,140,N,Sixth,St,,,,140 N Sixth St,Batavia,OH,45103,3134,39.07529129,-84.17177976,(513) 732-2218
us-in-batesville-st-louis-a39b42ad,St. Louis,13,,St Louis,Pl,,,,13 St Louis Pl,Batesville,IN,47006,,39.29649185,-85.2246238,(812) 934-3204
us-oh-bay-village-st-raphael-091fa04d,St. Raphael,525,,Dover Center,Rd,,,,525 Dover Center Rd,Bay Village,OH,44140,,41.48090123,-81.92057275,(440) 871-1100
us-pa-beaver-saints-peter-and-paul-our-lady-of-the-valley-parish-a90c5e16,Saints Peter and Paul Church - Our Lady of the Valley Parish,255,,3rd,St,,,,255 3rd St {PA-68},Beaver,PA,15009,,40.69813818,-80.29838174,(724) 775-4111
