Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Mon,6:00 PM,,Mass,specific_weekday,spanish,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Tue,6:00 PM,,Mass,specific_weekday,spanish,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Thu,12:10 PM,,Mass,specific_weekday,english,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Fri,12:10 PM,,Mass,specific_weekday,english,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Sat,4:00 PM,,Mass,saturday,english,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Sat,6:00 PM,,Mass,saturday,spanish,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,Sun,10:00 AM,,Mass,sunday,english,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,,12:10 PM,,Ash Wednesday Mass,special_event,English,"Assumption, Duncan",,2026-02-18,,,Ash Wednesday Mass
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Mass,,6:00 AM,,Ash Wednesday Mass,special_event,English,"Assumption, Duncan",,2026-02-18,,,Ash Wednesday Mass
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Confession,Sat,3:00 PM,3:45 PM,Confessions,saturday,English,Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Adoration,Mon,TBD,,Adoration,other,English,Duncan/Marlow,,,before,Mass,30 minutes before Mass; exposition
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Adoration,Tue,TBD,,Adoration,other,English,Duncan/Marlow,,,before,Mass,30 minutes before Mass; exposition
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Adoration,Wed,TBD,,Adoration,other,English,Duncan/Marlow,,,before,Mass,30 minutes before Mass; exposition
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Adoration,Thu,TBD,,Adoration,other,English,Duncan/Marlow,,,before,Mass,30 minutes before Mass; exposition
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Adoration,Fri,TBD,,Adoration,other,English,Duncan/Marlow,,,before,Mass,30 minutes before Mass; exposition
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Devotions,Fri,7:00 PM,,Stations of the Cross,specific_weekday,bilingual,Assumption-Duncan,,,,,
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Other,Wed,6:30 PM,,Adult Education,specific_weekday,English,"Assumption-Duncan, Gillespie Hall",,,,,Thu; The Biblical Roots of Ash Wednesday
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Other,Sun,11:00 AM,,Catholic Faith Inquiry Classes,sunday,English,Parish Hall Room,,,,,starts after 10:00 Mass
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Other,,6:00 PM,,Lenten Penance Rite,special_event,English,"Assumption Catholic Church, Duncan",,2026-03-17,,,Lenten Penance Rite
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Other,,TBD,,Holy Thursday,special_event,English,,,2026-04-02,,,Holy Thursday; check bulletin; check bulletin
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Other,,TBD,,Good Friday,special_event,English,,,2026-04-03,,,Good Friday; check bulletin; check bulletin
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Other,,TBD,,Holy Saturday,special_event,English,,,2026-04-04,,,Holy Saturday; check bulletin; check bulletin
Assumption of the Blessed Virgin Mary,"711 W Hickory Ave, Duncan, Oklahoma 73533",(580) 255-0590,Sacraments,,6:00 PM,,Communion Service,special_event,English,"Assumption, Duncan",,2026-02-18,,,Communion Service
Blessed Sacrament,"12 SW 7th St, Lawton, Oklahoma 73501",(580) 355-2054,Mass,Mon,7:30 AM,,Daily Mass,weekday,English,,,,,,
Blessed Sacrament,"12 SW 7th St, Lawton, Oklahoma 73501",(580) 355-2054,Mass,Tue,7:30 AM,,Daily Mass,weekday,English,,,,,,
Blessed Sacrament,"520 N St, Thomas, Oklahoma 73669",15807723209,Mass,Wed,12:10 PM,,Mass,specific_weekday,english,St. Eugene,,,,,
Blessed Sacrament,"12 SW 7th St, Lawton, Oklahoma 73501",(580) 355-2054,Mass,Wed,7:30 AM,,Daily Mass,weekday,English,,,,,,
