slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ok-ada-st-joseph-b4a10046,St. Joseph,1300,E,Beverly,St,,,,1300 E Beverly St,Ada,OK,74820,,34.78388723,-96.65968602,(580) 332-4811
us-ok-altus-prince-of-peace-70a66771,Prince of Peace,1500,,Falcon,Rd,,,,1500 Falcon Rd,Altus,OK,73521,,34.6516608,-99.31255291,(580) 482-3363
us-ok-alva-sacred-heart-75fb1d86,Sacred Heart,627,,12th,St,,,,627 12th St,Alva,OK,73717,,36.80194224,-98.67681638,(580) 327-0339
us-ok-anadarko-st-patrick-aed8b193,St. Patrick,1101,W,Petree,Rd,,,,1101 W Petree Rd,Anadarko,OK,73005,,35.05863167,-98.25958735,(405) 247-5255
us-ok-anadarko-church-of-st-patrick-4cc4a854,St. Patrick,1115,W,Petree,Rd,,,,1115 W Petree Rd,Anadarko,OK,73005,,35.0573125,-98.2519375,14052475255
us-ok-antlers-st-agnes-8ac5f4bb,St. Agnes,501,E,Main,St,,,,501 E Main St,Antlers,OK,74523,0206,34.23193433,-95.61536593,580.298.5204 (Parish Center)
us-ok-apache-mother-of-sorrows-7add64e8,Mother of Sorrows,521,E,Wallace,Ave,,,,521 E Wallace Ave,Apache,OK,73006,,34.8958147,-98.36018939,(580) 492-5914
us-ok-ardmore-st-mary-add1620f,St. Mary,101,,E,St,SW,,,101 E Street SW,Ardmore,OK,73401,,34.17238609,-97.13504082,(580) 223-0231
us-ks-arkansas-city-sacred-heart-612b6ca3,Sacred Heart,320,S,B,St,,,,320 S B Street,Arkansas City,KS,67005,2729,37.05970017,-97.03617831,(620) 442-0566
us-ok-atoka-st-patrick-27d49e04,St. Patrick,2103,S,Mississippi,Ave,,,,2103 S Mississippi Ave (US Hwy 69/75),Atoka,OK,74525,,34.36204049,-96.14464074,(580) 924-1989
us-ar-barling-sacred-heart-of-mary-5edb3f3e,Sacred Heart of Mary,1301,,Frank,St,,,,1301 Frank St,Barling,AR,72923,,35.32333285,-94.31064955,(479) 452-1795 or (479) 522-4245 (Fr. Tuyen)
us-ok-barnsdall-st-mary-781c7438,St. Mary,204-298,W,Chestnut,Ave,,,,204-298 W Chestnut Ave,Barnsdall,OK,74002,,36.5577206,-96.15897801,(918) 287-1414
us-ok-bartlesville-holy-cross-chapel-0f71f8c4,Holy Cross Chapel,715,S,Johnstone,Ave,,,,715 S Johnstone Ave,Bartlesville,OK,74003,,36.75245497,-95.93861008,9186053550
us-ok-bartlesville-st-james-f9f2a809,St. James,5500,,Douglas,Ln,,,,5500 Douglas Ln,Bartlesville,OK,74006,5907,36.73384539,-95.91578148,(918) 335-0844
us-ok-bartlesville-st-john-before-the-latin-gate-dc4aa87a,St. John Before the Latin Gate Catholic Church,715,S,Johnstone,Ave,,,,715 S Johnstone Ave,Bartlesville,OK,74003,,36.7460284,-95.97894434,(918) 336-4353
us-ks-baxter-springs-st-joseph-b12f6124,St. Joseph,324,E,12th,St,,,,324 E 12th St,Baxter Springs,KS,66713,,37.02419272,-94.73202825,(620) 429-2639
us-ok-beaver-st-frances-cabrini-2f9c3d23,St. Frances Cabrini,701,,,Ave,,,,701 Ave C,Beaver,OK,73932,,36.81096547,-100.51859297,(806) 340-0012
us-ok-billings-sacred-heart-958eb2f9,Sacred Heart,,,Broadway St and W Lowe,St,,,,Broadway St and W Lowe St,Billings,OK,74630,,36.52973976,-97.44503074,(580) 336-9300
us-ok-billings-sacred-heart-catholic-church-1394531b,Sacred Heart Catholic Church,,,Broadway and Lowe,,,,,Broadway and Lowe,Billings,OK,74630,,36.529708,-97.4451755,+1-580-336-9300
us-ok-binger-our-lady-of-the-rosary-ebcdfa10,Our Lady of the Rosary,707,,W,Hwy,,,,707 W Hwy 152,Binger,OK,73009,,35.30819807,-98.3508352,(405) 247-5255
us-ok-bixby-st-clement-of-rome-1094aa6b,St. Clement,15501,S,Memorial,Dr,,,,15501 S Memorial Dr,Bixby,OK,74008,,35.93712939,-95.88545309,(918) 366-3166
us-ok-blackwell-st-joseph-9d602955,St. Joseph,315,W,Blackwell,Ave,,,,315 W Blackwell Ave,Blackwell,OK,74631,,36.80342228,-97.28640395,(580) 363-2096
us-ok-boise-city-good-shepherd-70a59534,Good Shepherd,200,S,Ellis,St,,,,200 S Ellis St,Boise City,OK,73933,,36.72774901,-102.51795333,(806) 340-0012
us-tx-booker-st-peter-mission-c37d292b,St. Peter,505,W,Mitchell,Rd,,,,505 W Mitchell Rd,Booker,TX,79005,,36.44937941,-100.54192137,(806) 435-3802
us-ok-boswell-st-jude-5a17a8d0,St Jude,70,E,11th,St,,,,70 E 11th St,Boswell,OK,74743,,34.02785752,-95.86233785,(580) 326-7300
us-ok-bristow-st-joseph-0ef87f7e,St. Joseph,302,N,Elm,St,,,,302 N Elm St,Bristow,OK,74010,,35.83500995,-96.39351973,(918) 446-8124
us-ok-broken-arrow-church-of-saint-benedict-5e28f8cf,Church of Saint Benedict,2200,W,Ithica,St,,,,2200 W Ithica St,Broken Arrow,OK,74012,,36.0206031,-95.8163207,+1-918-455-4451
us-ok-broken-arrow-st-anne-3d21e5a2,St. Anne,301,S,9th,St,,,,301 S 9th St,Broken Arrow,OK,74012,,36.0498631,-95.77900164,(918) 251-4000
us-ok-broken-arrow-st-benedict-6177cb28,St. Benedict,2200,W,Ithica,St,,,,2200 W Ithica St,Broken Arrow,OK,74012,,36.02056128,-95.81636177,(918) 455-4451
us-ok-buffalo-st-joseph-17df055e,St. Joseph,324,SW,2nd,St,,,,324 SW 2nd St,Buffalo,OK,73834,,36.83260425,-99.6319182,(580) 256-5305
us-tx-burkburnett-st-jude-thaddeus-d621e1ae,St. Jude Thaddeus,600,,Davey,Dr,,,,600 Davey Dr,Burkburnett,TX,76354,2717,34.08504804,-98.56848994,(940) 569-1222
us-ks-caldwell-st-martin-of-tours-8d2c106f,St. Martin of Tours,430,N,Main,,,,,430 N Main,Caldwell,KS,67022,,37.03807142,-97.60659443,(620) 8456733
us-ok-calumet-immaculate-heart-of-mary-da871720,Immaculate Heart of Mary,239,N,Freehome,Ave,,,,239 N Freehome Ave,Calumet,OK,73014,,35.60080191,-98.12149685,(405) 263-7930
us-ks-caney-sacred-heart-aa253c1a,Sacred Heart,301,N,Hooker,,,,,301 N Hooker,Caney,KS,67333,,37.01431291,-95.93097401,(620) 647-3577
us-ok-carnegie-st-richard-05eee2df,St. Richard,427,S,Highland,St,,,,427 S Highland St,Carnegie,OK,73015,,35.1009675,-98.60389062,(405) 247-5255
us-ok-chandler-our-lady-of-sorrows-85fa260a,Our Lady of Sorrows,409,S,Price,Ave,,,,409 S Price Ave,Chandler,OK,74834,,35.70647243,-96.88483918,(405) 258-1239
us-ok-cherokee-st-cornelius-d1b4b551,St. Cornelius,404,S,Massachusetts,Ave,,,,404 S Massachusetts Ave,Cherokee,OK,73728,,36.7545418,-98.35287204,(580) 327-0339
us-ok-chickasha-holy-name-of-jesus-121286d1,Holy Name of Jesus,210,S,7th,St,,,,210 S 7th St,Chickasha,OK,73018,,35.04968616,-97.94169528,(405) 224-6068
us-ok-claremore-st-cecilia-764d0b35,St. Cecilia,1304,N,Dorothy,Ave,,,,1304 N Dorothy Ave,Claremore,OK,74017,4405,36.3197522,-95.59781329,(918) 341-2343
us-tx-clarksville-st-joseph-da4737d7,St. Joseph,500,E,Broadway,,,,,500 E Broadway,Clarksville,TX,75426,,33.61194621,-95.0464274,(903) 427-5044
us-ok-clayton-church-of-the-holy-trinity-ac2bd413,Holy Trinity,271,,,,,,,271,Clayton,OK,74536,,34.5653125,-95.3288125,19185694767
us-ok-cleveland-st-joseph-c60de288,St. Joseph,205,S,C,Ave,,,,205 S C Ave,Cleveland,OK,74020,,36.30692479,-96.46751865,(918) 358-2333
us-ok-clinton-st-mary-7ea92826,St. Mary,1218,,Knox,Ave,,,,1218 Knox Ave,Clinton,OK,73601,,35.50749903,-98.97528198,(580) 323-0345
us-ks-coffeyville-holy-name-c98b4647,Holy Name,408,,Willow,St,,,,408 Willow St,Coffeyville,KS,67337,,37.03958304,-95.62093279,(620) 251-0475
