Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Mon,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Tue,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Wed,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Wed,8:30 AM,,School Mass,specific_weekday,English,All Saints Parish,,,,,note: during the school year only and is 60 minutes
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Thu,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Fri,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sat,5:00 PM,,Vigil Mass,saturday,english,All Saints Parish,,,,,vigil
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sat,8:00 AM,,Mass,saturday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sun,10:30 AM,,Mass,sunday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sun,8:30 AM,,Mass,sunday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,,9:00 AM,,New Years Day Mass,special_event,English,All Saints Parish,,2026-01-01,,,New Years Day Mass
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Confession,Sat,4:00 PM,4:45 PM,Confessions,saturday,English,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Adoration,,8:40 AM,9:40 AM,Adoration,monthly,English,All Saints Parish,first_saturday_(recurring),,,,
All Souls Catholic Church,"1242 NE Spruce Ave, Myrtle Creek, Oregon 97457",(541) 863-3271,Mass,Thu,10:00 AM,,Mass,specific_weekday,English,Myrtle Creek,,,,,
All Souls Catholic Church,"1242 NE Spruce Ave, Myrtle Creek, Oregon 97457",(541) 863-3271,Mass,Fri,10:00 AM,,Mass,specific_weekday,English,Myrtle Creek,,,,,
All Souls Catholic Church,"1242 NE Spruce Ave, Myrtle Creek, Oregon 97457",(541) 863-3271,Mass,Sat,4:00 PM,,Mass,saturday,English,Myrtle Creek,,,,,
All Souls Catholic Church,"1242 NE Spruce Ave, Myrtle Creek, Oregon 97457",(541) 863-3271,Mass,Sun,10:30 AM,,Mass,sunday,English,Myrtle Creek,,,,,
Ascension,"743 SE 76th Ave, Portland, Oregon 97215",(503) 256-3897 ,Mass,Sat,5:00 PM,,English Mass,saturday,English,Ascension Catholic Church,,,,,vigil
Ascension,"743 SE 76th Ave, Portland, Oregon 97215",(503) 256-3897 ,Mass,Sat,7:00 PM,,Misa en Español,saturday,spanish,Ascension Catholic Church,,,,,vigil
Ascension,"743 SE 76th Ave, Portland, Oregon 97215",(503) 256-3897 ,Mass,,7:00 PM,,Healing Mass/ Misa de Sanacion,special_event,bilingual,Ascension Catholic Church,,2026-01-16,,,Healing Mass/ Misa de Sanacion
Ascension,"743 SE 76th Ave, Portland, Oregon 97215",(503) 256-3897 ,Confession,Tue,5:00 PM,7:00 PM,Confession/ Confesion,specific_weekday,bilingual,Ascension Catholic Church,,,,,
Ascension,"743 SE 76th Ave, Portland, Oregon 97215",(503) 256-3897 ,Other,Fri,7:00 PM,,Young Adults,other,English,,,,,,youth
Ascension,"743 SE 76th Ave, Portland, Oregon 97215",(503) 256-3897 ,Other,,9:00 AM,,Men's Group Study,special_event,english,Ascension Catholic Church,,2026-01-17,,,Men's Group Study
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Tue,12:00 PM,,Mass,specific_weekday,english,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Wed,12:00 PM,,Mass,specific_weekday,spanish,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Thu,12:00 PM,,Mass,specific_weekday,english,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Fri,7:00 PM,,Mass,specific_weekday,spanish,Ascension Catholic Church,,,,,3 Viernes - Misa de Sanacion
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Sat,5:00 PM,,Mass,saturday,english,Ascension Catholic Church,,,,,vigil
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Sat,7:00 PM,,Mass,saturday,spanish,Ascension Catholic Church,,,,,vigil
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Sun,11:00 AM,,Mass,sunday,bilingual,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Sun,1:00 PM,,Mass,sunday,spanish,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,Sun,9:00 AM,,Mass,sunday,english,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,,12:00 PM,,Mass,special_event,bilingual,Ascension Catholic Church,,2026-02-18,,,Mass
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Mass,,12:00 PM,,Mass,monthly,english,Ascension Catholic Church,first_friday,,,,Fri
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Confession,Tue,5:00 PM,7:00 PM,Confession,other,English,,,,,,Confession/ Confesion
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Adoration,Tue,12:30 PM,7:30 PM,Adoration,specific_weekday,English,Ascension Catholic Church,,,,,
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Other,,5:30 PM,,Servicio con distribucion de cenizas,special_event,spanish,Ascension Catholic Church,,2026-02-18,,,Servicio con distribucion de cenizas
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Other,,6:00 PM,,Lenten Penance Service,special_event,English,Ascension Catholic Church,,2026-03-03,,,Lenten Penance Service
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Other,,6:30 PM,,Service with distribution of ashes,special_event,english,Ascension Catholic Church,,2026-02-18,,,Service with distribution of ashes
Ascension Catholic Church,"743 SE 76th Ave, Portland, OR 97215",+1-503-256-3897,Other,,7:30 PM,,Servicio con distribucion de cenizas,special_event,spanish,Ascension Catholic Church,,2026-02-18,,,Servicio con distribucion de cenizas
Assumption of the Blessed Virgin Mary,"2098 Alder St, Walla Walla, Washington 99362",(509) 525-3310 ,Mass,Sat,4:00 PM,,Mass,saturday,English,Assumption of the Blessed Virgin Mary,,,,,
Assumption of the Blessed Virgin Mary,"2098 Alder St, Walla Walla, Washington 99362",(509) 525-3310 ,Mass,Sun,10:30 AM,,Mass,sunday,English,Assumption of the Blessed Virgin Mary,,,,,
Assumption of the Blessed Virgin Mary,"2098 Alder St, Walla Walla, Washington 99362",(509) 525-3310 ,Confession,Sat,2:00 PM,,Confession,saturday,English,Assumption of the Blessed Virgin Mary,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Tue,6:00 PM,,Mass,specific_weekday,spanish,Blessed Sacrament Catholic Church,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Wed,12:00 PM,,Mass,specific_weekday,english,Hospital Chapel,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Thu,8:30 PM,,Mass,specific_weekday,english,Blessed Sacrament Catholic Church,,,,,family
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Fri,8:30 AM,,Mass,specific_weekday,english,Blessed Sacrament Catholic Church,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Sat,5:00 PM,,Mass,saturday,english,Blessed Sacrament Catholic Church,,,,,vigil
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Sun,10:00 AM,,Mass,sunday,english,Blessed Sacrament Catholic Church,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Sun,12:30 PM,,Mass,sunday,spanish,Blessed Sacrament Catholic Church,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,Sun,8:00 AM,,Mass,sunday,english,Blessed Sacrament Catholic Church,,,,,
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,,12:00 PM,,Holy Mass,special_event,english,Blessed Sacrament Catholic Church,,2025-01-01,,,Holy Mass
Blessed Sacrament,"829 SW Second Ave, Ontario, Oregon 97914",(541) 889-8469,Mass,,12:00 PM,,Holy Mass,special_event,english,Blessed Sacrament Catholic Church,,2025-08-15,,,Holy Mass
