Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"3847 NE Glisan St, Portland",(503) 232-4305,Mass,8:00 AM,,Mass,english,All Saints Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,Carmel of Maria Regina,"87609 Green Hill Rd, Eugene",541-345-8649,Mass,7:30 AM,,Mass,English,,note: time may vary; please call ahead for current Mass time
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of Christ the Teacher,"5000 N Willamette Blvd, Portland",(503) 943-7131,Mass,12:05 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Chapel of St. Andre Bessette,"601 W Burnside St, Portland",(503) 228-0746,Mass,12:05 PM,,Mass,english,St. Andre Bessette,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"11709 SE Fuller Rd, Milwaukie",(503) 659-1475,Mass,8:30 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Giáo Ho Thánh Giuse / Our Lady Of Lavang St. Joseph Mission,"5404 NE Alameda St, Portland",503-249-5893,Mass,6:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Giáo Ho Thánh Giuse / Our Lady Of Lavang St. Joseph Mission,"5404 NE Alameda St, Portland",503-249-5893,Mass,7:00 AM,,Mass,English,Giáo Họ Giuse,
"Mon, Feb 23, 2026",2026-02-23,Monday,Good Shepherd,"127 NE Hill St, Sheridan",(503)472-5232,Mass,8:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Redeemer,"16137 Burgess Rd, La Pine",(541) 536-3571,Mass,9:00 AM,,Mass,english,Holy Redeemer - La Pine,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"13715 SW Walker Rd, Beaverton",(503) 643-9528,Mass,8:15 AM,,Mass,english,Holy Trinity Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"1035 N 6th Ave, Stayton",(503) 769-2656,Mass,8:15 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Andrew Dung-Lac,"2850 SW Cedar Hills Blvd - Ste 240, Beaverton",15032495892,Mass,6:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Andrew Dung-Lac,"2850 SW Cedar Hills Blvd - Ste 240, Beaverton",15032495892,Mass,6:30 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Andrew Dung-Lac,"2850 SW Cedar Hills Blvd - Ste 240, Beaverton",15032495892,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Andrew Dung-Lac,"2850 SW Cedar Hills Blvd - Ste 240, Beaverton",15032495892,Mass,7:00 AM,,Mass,English,Giáo Họ Giuse,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Andrew Dung-Lac,"2850 SW Cedar Hills Blvd - Ste 240, Beaverton",15032495892,Mass,7:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of the Atonement,"7400 SW Schools Ferry Rd, Beaverton",15036461344,Mass,12:00 PM,,Mass,bilingual,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of the Atonement,"7400 SW Schools Ferry Rd, Beaverton",15036461344,Mass,8:30 AM,,Mass,english,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Mount Angel Abbey,"1 Abbey Dr, Mount Angel",(503) 845-3030,Mass,5:20 AM,,Vigils,English,Abbey church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Mount Angel Abbey,"1 Abbey Dr, Mount Angel",(503) 845-3030,Mass,7:55 AM,,Mass,English,Abbey church,livestream
