slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-or-adel-church-of-st-richard-7b4c4195,St. Richard,,,Adel Oregon 97620,,,,,Adel Oregon 97620,Adel,OR,97620,,42.17625,-119.89875,
us-or-adel-st-richard-ea7aceb9,St. Richard,17570,,Twentymile,Rd,,,,17570 Twentymile Rd,Adel,OR,97620,,42.15537082,-119.9144572,541-947-2741
us-or-albany-st-mary-4487e59a,Our Lady of Perpetual Help,815,,Broadalbin,St,SW,,,815 Broadalbin St SW,Albany,OR,97321,,44.63120491,-123.10546079,(541) 926-1449
us-or-aloha-st-andrew-dung-lac-2d61edcf,St. Andrew Dung-Lac,7390,SW,Grabhorn,Rd,,,,7390 SW Grabhorn Rd,Aloha,OR,97007,,45.46693306,-122.89097571,503-591-5302
us-or-aloha-st-elizabeth-ann-seton-9307a312,St. Elizabeth Ann Seton,3145,SW,192nd,,,,,3145 SW 192nd,Aloha,OR,97003,,45.49645257,-122.87581896,(503) 649-9044
us-or-arch-cape-st-peter-the-fisherman-323d552b,St. Peter the Fisherman,79441,,,Hwy,,,,79441 Hwy 101,Arch Cape,OR,97102,,45.81242384,-123.96092685,(503)738-6161
us-or-arlington-st-francis-6e35c145,St. Francis,,,Main and Ivy,,,,,Main and Ivy,Arlington,OR,97812,,45.7122882,-120.20088332,(541) 384-5271
us-or-arock-holy-family-4ec40ac0,Holy Family,3520,,Arock,Rd,,,,3520 Arock Rd,Arock,OR,97910,,42.91270986,-117.52401888,541-586-2266
us-or-ashland-our-lady-of-the-mountain-b67fbd4a,Our Lady of the Mountain,987,,Hillview,Dr,,,,987 Hillview Dr,Ashland,OR,97520,3521,42.17736276,-122.68427536,(541) 482-1146
us-or-ashland-walsh-memorial-newman-center-468393c0,Walsh Memorial Newman Center,987,,Hillview,Dr,,,,987 Hillview Dr,Ashland,OR,97520,,42.1777572,-122.68416585,(541) 708-8503
us-or-astoria-st-mary-star-of-the-sea-b00c02df,St. Mary Star of the Sea,1465,,Grand,Ave,,,,1465 Grand Ave,Astoria,OR,97103,,46.18579213,-123.82787825,(503) 325-3671
us-or-athena-sacred-heart-c86b6ef7,Sacred Heart,,,5th St and College,,,,,5th St and College,Athena,OR,97813,,45.8157682,-118.48773728,(541) 276-0767
us-or-baker-city-st-francis-de-sales-cathedral-d8f414b9,St Francis De Sales Cathedral,2235,,1st,St,,,,2235 1st St,Baker City,OR,97814,,44.7794576,-117.831221,+1-541-523-4521
us-or-baker-city-cathedral-of-st-francis-de-sales-db0ddb04,St. Francis de Sales Cathedral,2235,,First,St,,,,2235 First St,Baker City,OR,97814,,44.7794995,-117.83103042,(541) 523-4521
us-or-bandon-holy-trinity-b1195207,Holy Trinity,355,,Oregon,Ave,,,,355 Oregon Ave,Bandon,OR,97411,,43.11823657,-124.41498131,541-329-0697
us-or-banks-st-francis-of-assisi-5f1f0e42,St. Francis of Assisi,39135,NW,Harrington,Rd,,,,39135 NW Harrington Rd,Banks,OR,97106,,45.59563444,-123.07980277,(503) 324-2231
us-or-beaverton-holy-trinity-90b038c0,Holy Trinity,13715,SW,Walker,Rd,,,,13715 SW Walker Rd,Beaverton,OR,97005,1017,45.50721086,-122.81751412,(503) 643-9528
us-or-beaverton-mission-of-st-andrew-dung-lac-46137088,Mission of St. Andrew Dung-Lac,2850,SW,Cedar Hills,Blvd,,,,2850 SW Cedar Hills Blvd - Ste 240,Beaverton,OR,97005,,45.4996875,-122.8056875,15032495892
us-or-beaverton-mission-of-the-atonement-be61174e,Mission of the Atonement,7400,SW,Schools Ferry,Rd,,,,7400 SW Schools Ferry Rd,Beaverton,OR,97008,,45.4664375,-122.7763125,15036461344
us-or-beaverton-st-cecilia-2445a954,St. Cecilia,5105,SW,Franklin,,,,,5105 SW Franklin,Beaverton,OR,97005,,45.48292145,-122.80235637,(503) 644-2619
us-or-bend-st-francis-of-assisi-f538baaa,St. Francis of Assisi,2450,NE,27th,St,,,,2450 NE 27th St,Bend,OR,97701,,44.07483846,-121.26022458,(541) 382-3631
us-or-bly-st-james-de55d4f2,St. James,61000,,,Hwy,,,,61000 Hwy 140,Bly,OR,97622,,42.40287423,-121.04673271,(541) 783-2411
us-or-boardman-our-lady-of-guadalupe-af6d0042,Our Lady of Guadalupe,78922,,Olson,Rd,,,,78922 Olson Rd,Boardman,OR,97818,,45.82878116,-119.68599412,541-481-2024
us-or-bonanza-st-frances-cabrini-f0324cc6,St. Francis Cabrini,31400,,,Hwy,,,,31400 Hwy 70,Bonanza,OR,97633,,42.19858296,-121.40855944,(541) 798-5823
us-or-brookings-star-of-the-sea-52e981e3,Star of the Sea,820,,Old County,Rd,,,,820 Old County Rd,Brookings,OR,97415,,42.061387,-124.27568612,(541) 469-2313
us-or-brownsville-holy-trinity-0d5f1955,Holy Trinity,104,,Blakely,Ave,,,,104 Blakely Ave,Brownsville,OR,97327,,44.38564711,-122.98483019,(541) 367-2530
us-or-burns-holy-family-392b1d8f,Holy Family,678,N,Egan,,,,,678 N Egan,Burns,OR,97720,,43.59138764,-119.05989678,(541) 573-2613
us-or-canby-st-patrick-3d10912a,St. Patrick,498,NW,9th,Ave,,,,498 NW 9th Ave,Canby,OR,97013,2709,45.26907938,-122.70073336,(503) 266-9411
us-or-carlton-our-lady-of-guadalupe-trappist-abbey-231571f6,Our Lady of Guadalupe Trappist Abbey,9200,NE,Abbey,Rd,,,,9200 NE Abbey Rd,Carlton,OR,97127,,45.2816875,-123.0898125,15038520107
us-or-cave-junction-st-patrick-of-the-forest-343e67ac,St. Patrick of the Forest,407,W,River,St,,,,407 W River St,Cave Junction,OR,97523,,42.16900018,-123.6504138,541-592-3658
us-or-central-point-shepherd-of-the-valley-01f21ea8,Shepherd of the Valley,600,,Beebe,Rd,,,,600 Beebe Rd,Central Point,OR,97502,3013,42.3830221,-122.89718038,(541) 664-1050
us-or-chiloquin-our-lady-of-mount-carmel-12a858a0,Our Lady of Mount Carmel,503,W,Chocktoot,St,,,,503 W Chocktoot St,Chiloquin,OR,97624,,42.57919598,-121.86850625,(541) 783-2411
us-or-clatskanie-st-john-the-baptist-b1a4a7f1,St. John the Baptist,100,SW,High,St,,,,100 SW High St,Clatskanie,OR,97016,,46.10687866,-123.20858741,(503) 556-5641
us-or-clatskanie-st-john-the-baptist-catholic-church-b1c8ff4f,St. John the Baptist Catholic Church,100,SW,High,St,,,,100 SW High St,Clatskanie,OR,97016,,46.106912,-123.208682,+1-503-668-4446
us-or-cloverdale-st-joseph-147ed2d6,St. Joseph,34560,,,Pkwy,,,,34560 Pkwy Dr,Cloverdale,OR,97112,,45.20555287,-123.88925605,503-842-6647 
us-or-condon-st-john-5fcf4a28,St. John,412,W,Walnut,St,,,,412 W Walnut St,Condon,OR,97823,,45.23704858,-120.18821363,(541) 384-5271
us-or-coos-bay-st-monica-6f76767a,St. Monica,357,S,Sixth,St,,,,357 S Sixth St,Coos Bay,OR,97420,,43.36562479,-124.21846212,(541) 267-7421
us-or-coquille-holy-name-084756cf,Holy Name,50,S,Dean,St,,,,50 S Dean St,Coquille,OR,97423,,43.17294011,-124.18474274,(541) 396-3849
