Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Mass,Tue,8:00 AM,,Mass,specific_weekday,English,St. Peter,,,,,
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Mass,Thu,8:00 AM,,Mass,specific_weekday,English,St. Peter,,,,,
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Mass,Sat,4:00 PM,,Mass,saturday,English,St. Peter,,,,,vigil
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Mass,Sun,11:00 AM,,Mass,sunday,English,St. Peter,,,,,
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Mass,,6:00 PM,,Mass,special_event,English,St. Peter,,2026-02-18,,,Mass
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Mass,,8:00 AM,,Mass,special_event,English,St. Peter,,2026-02-17,,,Mass
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Confession,,3:00 PM,4:00 PM,Reconciliation,monthly,English,St. Peter,saturday,,,,2nd & 4th
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Adoration,,8:00 AM,,Exposition & Benediction,monthly,English,St. Peter,first_friday,,,,note: First Friday of the month; Mass not specified but follows schedule
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Other,,11:00 AM,12:00 PM,St. Peter's Fish Fry,parish_event,English,St. Peter,,2026-02-18,,,note recurring if it's recurring
 St. Peter,"304 Shaffner Ave, Brownsville, Pennsylvania 15417",(724) 785-7781,Other,,12:00 PM,,Ash Service,special_event,English,St. Peter,,2026-02-18,,,Ash Service
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Mon,8:00 AM,,Mass,specific_weekday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Tue,8:00 AM,,Mass,specific_weekday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Thu,8:00 AM,,Mass,specific_weekday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Fri,8:00 AM,,Mass,specific_weekday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Sat,4:00 PM,,Vigil Mass,saturday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Sat,6:00 PM,,Anticipated weekend Mass,saturday,English,,,,,,livestream
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Sat,8:00 AM,,Mass,saturday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Sun,5:00 PM,,Mass,sunday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Mass,Sun,9:00 AM,,Mass,sunday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Confession,Sat,10:30 AM,11:30 AM,Confessions,saturday,English,Saint Thomas à Becket,,,,,
 Triumph of the Holy Cross Parish - St. Thomas à Becket ,"139 Gill Hall Rd, Jefferson Hills, Pennsylvania 15025",(412) 755-2046,Confession,,TBD,,Confessions,other,English,,,,,,By appointment; call Parish Office at 412-755-2046 to talk with one of the priests
144 St Marys St,"144 St Mary's St, Blossburg, Pennsylvania 16912",(570) 662-3568,Mass,Mon,12:10 PM,,Mass,specific_weekday,English,St. Mary's Church,,,,,Daily Mass Schedule is subject to change. Check the bulletin.
144 St Marys St,"144 St Mary's St, Blossburg, Pennsylvania 16912",(570) 662-3568,Mass,Tue,12:10 PM,,Mass,specific_weekday,English,St. Mary's Church,,,,,Daily Mass Schedule is subject to change. Check the bulletin.
144 St Marys St,"144 St Mary's St, Blossburg, Pennsylvania 16912",(570) 662-3568,Mass,Sun,9:00 AM,,Mass,sunday,English,St. Mary's Church,,,,,
144 St Marys St,"144 St Mary's St, Blossburg, Pennsylvania 16912",(570) 662-3568,Mass,,9:30 AM,,Mass,monthly,English,St. Mary's Church,first_saturday_(recurring),,,,Daily Mass Schedule is subject to change. Check the bulletin.
144 St Marys St,"144 St Mary's St, Blossburg, Pennsylvania 16912",(570) 662-3568,Confession,,10:00 AM,,Reconciliation,monthly,English,St. Mary's Church,first_saturday_(recurring),,,,
