slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-pa-abbottstown-immaculate-heart-of-mary-b2541216,Immaculate Heart of Mary,6084,W,Canal,Rd,,,,6084 W Canal Rd,Abbottstown,PA,17301,,39.90365665,-76.96848136,(717) 259-0611
us-md-aberdeen-st-joan-of-arc-f274c932,St. Joan of Arc,222,S,Law,St,,,,222 S Law St,Aberdeen,MD,21001,,39.50771706,-76.1706066,(410) 272-4535
us-pa-abington-our-lady-help-of-christians-08eca420,Our Lady Help of Christians,1500,,Marian,Rd,,,,1500 Marian Rd,Abington,PA,19001,,40.12602334,-75.11449353,(215) 886-3456
us-ny-addison-st-catherine-of-siena-9f40da30,St. Catherine of Siena,51,,Maple,St,,,,51 Maple St,Addison,NY,14801,,42.11032244,-77.22602009,(607) 359-2115
us-oh-adena-st-casimir-9717ff0b,St. Casimir,221,,Hanna,Ave,,,,221 Hanna Ave,Adena,OH,43901,7953,40.21598789,-80.87669187,(740) 546-3463
us-ny-afton-st-agnes-84919474,Mission of St. Agnes,14,,Spring,St,,,,14 Spring St,Afton,NY,13730,,42.22879786,-75.52695113,(607) 967-4481
us-pa-albion-st-lawrence-the-martyr-ec52e62e,St. Lawrence the Martyr,180,E,State,St,,,,180 E State St,Albion,PA,16401,,41.89119171,-80.36011919,(814) 756-3623
us-ny-alfred-st-jude-00790ce6,St. Jude,1154,,Lower College,Dr,,,,1154 Lower College Dr,Alfred,NY,14802,,42.25585763,-77.79317574,585-593-4834
us-ny-alfred-church-of-sts-brendan-and-jude-9cbb6044,Sts. Brendan and Jude,,,Lower College,Dr,,,,Lower College Dr,Alfred,NY,14804,,42.3149375,-77.7424375,
us-pa-aliquippa-church-of-our-lady-of-fatima-d1525a9e,Our Lady of Fatima,2270,,Brodhead,Rd,,,,2270 Brodhead Rd,Aliquippa,PA,15001,,40.5849375,-80.2578125,17243757626
us-pa-aliquippa-our-lady-of-fatima-mary-queen-of-saint-parish-3dd214e9,"Our Lady of Fatima- Mary, Queen of St. Parish",2270,,Brodhead,Rd,,,,2270 Brodhead Rd,Aliquippa,PA,15001,,40.5848421,-80.25869455,(724) 775-6363
us-pa-aliquippa-ss-peter-paul-ukrainian-9998cbdd,Ss. Peter & Paul (Ukrainian),2001,,Main,St,,,,2001 Main St,Aliquippa,PA,15001,,40.60504339,-80.27548052,+17242662262
us-pa-aliquippa-st-titus-mary-queen-of-saints-parish-feed5bd0,"St Titus Church - Mary, Queen of Saints Parish",952,,Franklin,Ave,,,,952 Franklin Ave,Aliquippa,PA,15001,,40.61285424,-80.25572344,(724) 378-8561
us-pa-aliquippa-st-frances-cabrini-mary-queen-of-saints-parish-7fe0c59f,St. Frances Cabrini,115,,Trinity,Dr,,,,115 Trinity Dr,Aliquippa,PA,15001,,40.6468019,-80.29434023,(724) 775-6363
us-pa-aliquippa-st-george-ruthenian-4c0ae9ec,St. George (Ruthenian),1001,,Clinton,St,,,,1001 Clinton St,Aliquippa,PA,15001,,40.6057942,-80.25783081,(724) 375-2742
us-ny-allegany-st-bonaventure-em-catholic-50a0dece,St. Bonaventure,95,E,Main,St,,,,95 E Main St,Allegany,NY,14706,1397,42.08769751,-78.48991083,(716) 372-4841
us-pa-allentown-cathedral-of-st-catharine-of-siena-7b79fc1d,Cathedral of St. Catherine of Siena,200,,Block of N 18th,St,,,,200 Block of N 18th St,Allentown,PA,18104,5617,40.59888744,-75.49596593,610-433-6461
us-pa-allentown-immaculate-conception-bvm-d4cceacf,Immaculate Conception BVM,501,,Ridge,Ave,,,,501 Ridge Ave,Allentown,PA,18102,,40.61319062,-75.46117248,(610) 433-4404
us-pa-allentown-newman-center-at-muhlenberg-college-12bc3edd,Newman Center at Muhlenberg College,2339,,Liberty,St,,,,2339 Liberty St,Allentown,PA,18104,,40.59972968,-75.50973021,610-866-0581
us-pa-allentown-our-lady-help-of-christians-3051069e,Our Lady Help of Christians,444,N,Jasper,St,,,,444 N Jasper St,Allentown,PA,18109,,40.61727157,-75.43978602,610-432-9384
us-pa-allentown-sacred-heart-729e74af,Sacred Heart of Jesus,336,N,4th,St,,,,336 N 4th St,Allentown,PA,18102,,40.60854444,-75.46779344,(610) 434-5171
us-pa-allentown-shrine-of-our-lady-of-guadalupe-bb1310d6,Shrine of Our Lady of Guadalupe,501,,Ridge,Ave,,,,501 Ridge Ave,Allentown,PA,18102,,40.6133048,-75.46127224,(610) 433-4404
us-pa-allentown-st-francis-of-assisi-89f30c85,St. Francis of Assisi,1046,W,Cedar,St,,,,1046 W Cedar St,Allentown,PA,18102,,40.61201674,-75.48525166,(610) 433-6102
us-pa-allentown-saints-joachim-and-anne-church-maronite-09b92b7f,St. Joachim and Anne Maronite Mission,1065,,Fullerton,Ave,,,,1065 Fullerton Ave Allentown,Allentown,PA,18102,,40.62120758,-75.46348982,845-689-4468
us-nj-allentown-st-john-the-baptist-00e08759,St. John the Baptist,1282,,Yardville-Allentown,Rd,,,,1282 Yardville-Allentown Rd,Allentown,NJ,08501,,40.17463109,-74.59907852,(609) 259-3391
us-pa-allentown-saint-john-the-baptist-7655edd5,St. John the Baptist ,924,N,Front,St,,,,924 N Front St,Allentown,PA,18102,,40.61865251,-75.46173834,(610) 432-0034
us-pa-allentown-st-michael-byzantine-church-9a1af0dc,St. Michael Byzantine Church,156,,Green,St,,,,156 Green St,Allentown,PA,18102,,40.61613087,-75.46288073,(610) 432-6773
us-pa-allentown-st-paul-6af3acb7,St. Paul,920,S,Second,St,,,,920 S Second St,Allentown,PA,18103,,40.59068887,-75.45610976,(610) 797-9733
