Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Mon,7:20 AM,,Holy Mass,weekday,English,,,,,,livestream
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Mon,7:20 AM,,Conventual Mass,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Tue,7:20 AM,,Conventual Mass,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Tue,7:20 AM,,Holy Mass,weekday,English,,,,,,livestream
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Wed,7:20 AM,,Holy Mass,weekday,English,,,,,,livestream
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Wed,7:20 AM,,Conventual Mass,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Thu,7:20 AM,,Holy Mass,weekday,English,,,,,,livestream
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Thu,7:20 AM,,Conventual Mass,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Fri,7:20 AM,,Holy Mass,weekday,English,,,,,,livestream
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Fri,7:20 AM,,Conventual Mass,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Sat,7:20 AM,,Conventual Mass,saturday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Sat,7:20 AM,,Conventual Mass,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Mass,Sun,9:30 AM,,Holy Mass,sunday,English,,,,,,livestream
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Adoration,Fri,1:30 PM,5:00 PM,Friday Adoration,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Adoration,,7:30 PM,,Adoration for Vocations,monthly,English,,first_friday_(recurring),,,,exposition
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Mon,5:30 PM,,Vespers,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Mon,5:45 AM,,Matins and Lauds,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Mon,7:00 PM,,Compline,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Tue,5:30 PM,,Vespers,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Tue,5:45 AM,,Matins and Lauds,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Tue,7:00 PM,,Compline,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Wed,5:30 PM,,Vespers,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Wed,5:45 AM,,Matins and Lauds,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Wed,7:00 PM,,Compline,specific_weekday,English,,,,,,
Abbatial Church of St. Gregory,"285 Corys Ln, Portsmouth, Rhode Island 02871",(401) 683-2000,Devotions,Thu,5:30 PM,,Vespers,specific_weekday,English,,,,,,
