slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ri-albion-st-ambrose-fcb2b273,St. Ambrose,191,,School,St,,,,191 School St,Albion,RI,02802,,41.9513253,-71.46134554,(401) 333-1568
us-ri-ashaway-our-lady-of-victory-d72c3a45,Our Lady of Victory,169,,Main,St,,,,169 Main St,Ashaway,RI,02804,,41.42055727,-71.78944735,(401) 377-8830
us-ri-barrington-holy-angels-1b380c26,Holy Angels,341,,Maple,Ave,,,,341 Maple Ave,Barrington,RI,02806,,41.73922503,-71.31933157,(401) 245-7743
us-ri-barrington-st-luke-5f0453f6,St. Luke,108,,Washington,Rd,,,,108 Washington Rd,Barrington,RI,02806,,41.75045938,-71.34013869,(401) 246-1212
us-ri-block-island-st-andrew-a1cb6b14,St. Andrew,23,,Chapel,St,,,,23 Chapel St,Block Island,RI,02807,,41.17307378,-71.56003478,(401) 456-5519
us-ri-bradford-st-vincent-de-paul-16605dbd,St. Vincent de Paul,5,,Church Streer,,,,,5 Church Streer,Bradford,RI,02808,,41.40246322,-71.74725539,(401) 348-8765
us-ri-bristol-church-of-our-lady-of-mount-carmel-35c5197d,Our Lady of Mount Carmel,141,,State,St,,,,141 State St,Bristol,RI,02809,2205,41.6711875,-71.2729375,14012539449
us-ri-bristol-our-lady-of-mt-carmel-86fac55b,Our Lady of Mt. Carmel,141,,State,St,,,,141 State St,Bristol,RI,02809,2228,41.67557291,-71.27307721,(401) 253-9449
us-ri-bristol-st-elizabeth-8c010875,St. Elizabeth,577,,Wood,St,,,,577 Wood St,Bristol,RI,02809,,41.67538271,-71.27302049,(401) 253-8366
us-ri-bristol-st-mary-990e87cd,St. Mary,330,,Wood,St,,,,330 Wood St,Bristol,RI,02809,,41.67117246,-71.27070943,(401) 253-3300
us-ri-carolina-st-mary-a1bf206c,St. Mary,437,,Carolina Back,Rd,,,,437 Carolina Back Rd,Carolina,RI,02812,,41.45306832,-71.65862302,(401) 364-7214
us-ri-central-falls-holy-spirit-549872ba,Parish of the Holy Spirit,1030,,Dexter,St,,,,1030 Dexter St,Central Falls,RI,02863,1717,41.88955202,-71.40135339,(401) 726-2600
us-ri-central-falls-st-joseph-9927a8ce,St. Joseph,391,,High,St,,,,391 High St,Central Falls,RI,02863,,41.88500758,-71.38362804,(401) 723-5427
us-ri-charlestown-st-james-4928aedb,Chapel of St. James,2079,,Matunuck School House,Rd,,,,2079 Matunuck School House Rd,Charlestown,RI,02813,,41.38185391,-71.61971899,(401) 364-7214
us-ri-chepachet-st-eugene-d041552c,St. Eugene,1251,,Putnam,Pike,,,,1251 Putnam Pike,Chepachet,RI,2814,,41.9164413,-71.67562846,(401) 568-5102
us-ri-coventry-our-lady-of-czenstochowa-ea83cf13,Our Lady of Czestochowa,445,,Washington,St,,,,445 Washington St,Coventry,RI,02816,,41.6957917,-71.53688598,(401) 821-7991
us-ri-coventry-saints-john-and-paul-5fc09cc2,Saints John and Paul Church,341,S,Main,St,,,,341 S Main St,Coventry,RI,02816,,41.68039405,-71.57584766,(401) 821-5764
us-ri-coventry-st-vincent-de-paul-c4e2159b,St. Vincent de Paul,6,,St Vindent de Paul,St,,,,6 St Vindent de Paul St,Coventry,RI,02816,,41.69792352,-71.54930928,(401) 821-8719
