Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Wed,9:30 AM,,Mass,weekday,English,All Saints,,,,,Wed; Thu; Fri
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Wed,9:30 AM,,Mass,specific_weekday,English,All Saints,,,,,
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Thu,9:30 AM,,Mass,weekday,English,All Saints,,,,,Wed; Thu; Fri
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Thu,9:30 AM,,Mass,specific_weekday,English,All Saints,,,,,
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Fri,9:30 AM,,Mass,specific_weekday,English,All Saints,,,,,
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Fri,9:30 AM,,Mass,weekday,English,All Saints,,,,,Wed; Thu; Fri
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Sat,4:00 PM,,Mass,saturday,English,All Saints,,,,,vigil
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Sun,11:30 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Sun,8:00 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,Sun,9:45 AM,,Mass,sunday,English,All Saints,,,,,
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,11:00 AM,,Christmas Day Mass,special_event,English,All Saints,,2025-12-25,,,Christmas Day Mass
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,11:30 AM,,Easter Sunday Mass,special_event,English,All Saints,,2026-04-20,,,Easter Sunday Mass
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,2:00 PM,,Christmas Eve Mass,special_event,English,All Saints,,2025-12-24,,,Christmas Eve Mass
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,4:00 PM,,Christmas Eve Mass,special_event,English,All Saints,,2025-12-24,,,Christmas Eve Mass
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,4:00 PM,,New Year’s Eve Mass,special_event,English,All Saints,,2025-12-31,,,New Year’s Eve Mass
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,5:00 PM,,Ash Wednesday Mass & Dist of Ashes,special_event,English,All Saints,,2026-03-05,,,Ash Wednesday Mass & Dist of Ashes
All Saints,"530 Hwy 274, Lake Wylie, South Carolina 29710",(803) 831-9095,Mass,,7:00 PM,,Immaculate Conception Vigil Mass,special_event,English,All Saints,,2025-12-07,,,Immaculate Conception Vigil Mass
