slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-sc-abbeville-sacred-heart-42f69c9c,Sacred Heart,206,N,Main,St,,,,206 N Main St,Abbeville,SC,29620,,34.17910616,-82.38025216,(864) 366-5150
us-sc-aiken-saint-gerard-43b4dbe5,St. Gerard,640,,Edrie,St,NE,,,640 Edrie St NE,Aiken,SC,29801,,33.56762191,-81.70373867,(803) 649-3203
us-sc-aiken-saint-mary-help-of-christians-2e314cb6,St. Mary Help of Christians,138,,Fairfield,St,SE,,,138 Fairfield St SE,Aiken,SC,29801,,33.55821327,-81.71622304,(803) 649-4777
us-sc-aiken-st-mary-help-of-christians-c96277fb,St. Mary Help of Christians,138,,Fairfield,St,SE,,,138 Fairfield St SE,Aiken,SC,29801,,33.558579,-81.7166512,+1-803-649-4777
us-sc-allendale-mission-of-st-mary-553207b3,Mission of St. Mary,3457,,Bluff,Rd,,,,3457 Bluff Rd,Allendale,SC,29810,,32.92875,-81.35875,18032597593
us-sc-allendale-saint-mary-fa4c9832,St. Mary,3457,,Bluff,Rd,,,,3457 Bluff Rd,Allendale,SC,29810,,33.00628448,-81.31937038,(803) 450-5116
us-sc-anderson-saint-joseph-8e8c6d02,St. Joseph,1200,,Cornelia,Rd,,,,1200 Cornelia Rd,Anderson,SC,29621,,34.52716945,-82.6322472,(864) 225-5341
us-sc-anderson-saint-mary-of-the-angels-e2633827,St. Mary of the Angels,1821,,White,St,,,,1821 White St,Anderson,SC,29624,,34.48779038,-82.63775047,(864) 226-8621
us-sc-barnwell-saint-andrew-30ade4ab,St. Andrew,110,,Madison,St,,,,110 Madison St,Barnwell,SC,29812,,33.24029239,-81.36214173,(803) 450-5116
us-sc-batesburg-leesville-saint-john-of-the-cross-4b9abeb4,St. John of the Cross,320,W,Columbia,Ave,,,,320 W Columbia Ave,Batesburg-Leesville,SC,29006,,33.90782447,-81.53657764,(803) 532-1208
