Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"23 1st Ave, Mellette, South Dakota 57461-0046",(605) 887-3414,Mass,Sat,5:30 PM,,Mass,saturday,English,Mellette & Polo,,,,,Jan; Feb; Mar 2026
All Saints,"23 1st Ave, Mellette, South Dakota 57461-0046",(605) 887-3414,Mass,Sun,11:00 AM,,Mass,sunday,English,Mellette & Polo,,,,,Oct; Nov; Dec 2025
All Saints,"23 1st Ave, Mellette, South Dakota 57461-0046",(605) 887-3414,Mass,Sun,8:30 AM,,Mass,sunday,English,Mellette & Polo,,,,,Apr; May; Jun 2025
All Saints,"23 1st Ave, Mellette, South Dakota 57461-0046",(605) 887-3414,Confession,Tue,5:00 PM,5:20 PM,Confessions,specific_weekday,English,All Saints,,,,,
All Saints,"23 1st Ave, Mellette, South Dakota 57461-0046",(605) 887-3414,Adoration,Fri,6:30 AM,7:30 AM,Adoration,specific_weekday,English,All Saints in Mellette,,,,,
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,3:00 PM,4:00 PM,Rite of Election,special_event,English,,,2026-02-22,,,Rite of Election; check bulletin
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,6:00 PM,,Heart to Heart Engaged Weekend,special_event,English,,,2026-04-17,,,Heart to Heart Engaged Weekend; ends Apr 19 at 13:30
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,6:30 PM,,"Cinema with the Shepherd: ""Stagecoach""",special_event,English,,,2026-02-19,,,"Cinema with the Shepherd: ""Stagecoach""; check bulletin"
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,6:30 PM,,"Cinema with the Shepherd: ""Passion of Joan of Arc""",special_event,English,,,2026-03-26,,,"Cinema with the Shepherd: ""Passion of Joan of Arc""; check bulletin"
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,6:30 PM,,"Cinema with the Shepherd: ""Ordet""",special_event,English,,,2026-04-30,,,"Cinema with the Shepherd: ""Ordet""; check bulletin"
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,7:30 AM,5:15 PM,VSI/CLEM Formation - March,special_event,English,,,2026-03-07,,,VSI/CLEM Formation; check bulletin
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,7:30 AM,5:15 PM,VSI/CLEM Monthly Formation - April,special_event,English,,,2026-04-11,,,VSI/CLEM Monthly Formation; check bulletin
All Saints,"109 E Heritage Ave, Eagle Butte, South Dakota 57625-0110",(605) 964-3391,Other,,8:00 AM,11:30 AM,Natural Family Planning Seminar,special_event,English,,,2026-03-21,,,Natural Family Planning Seminar; check bulletin
Annunciation,"301 W 5th St, Revillo, South Dakota 57259",605-862-8485,Mass,,TBD,,Sunday TV Mass,special_event,English,,,2025-12-19,,,Sunday TV Mass; livestream
Assumption,"416 Haines St, Dante, South Dakota 57329",(605) 384-5518,Mass,,TBD,,Sunday TV Mass – Latest,special_event,English,,,2025-12-19,,,Sunday TV Mass – Latest; Find the latest Sunday TV Mass livestream here
Assumption Of The Blessed Virgin Mary,"(1/2 mile S of town on Hwy 1806), Kenel, South Dakota 57648",(605) 823-4401,Other,,6:00 PM,,Heart to Heart Engaged Weekend,special_event,English,,,2026-04-17,,,Heart to Heart Engaged Weekend; ends Apr 19 at 13:30
Assumption Of The Blessed Virgin Mary,"(1/2 mile S of town on Hwy 1806), Kenel, South Dakota 57648",(605) 823-4401,Other,,6:30 PM,,"Cinema with the Shepherd: ""Passion of Joan of Arc""",special_event,English,,,2026-03-26,,,"Cinema with the Shepherd: ""Passion of Joan of Arc"""
Assumption Of The Blessed Virgin Mary,"(1/2 mile S of town on Hwy 1806), Kenel, South Dakota 57648",(605) 823-4401,Other,,6:30 PM,,"Cinema with the Shepherd: ""Ordet""",special_event,English,,,2026-04-30,,,"Cinema with the Shepherd: ""Ordet"""
Assumption Of The Blessed Virgin Mary,"(1/2 mile S of town on Hwy 1806), Kenel, South Dakota 57648",(605) 823-4401,Other,,7:30 AM,5:15 PM,VSI/CLEM Formation - March,special_event,English,,,2026-03-07,,,VSI/CLEM Formation
Assumption Of The Blessed Virgin Mary,"(1/2 mile S of town on Hwy 1806), Kenel, South Dakota 57648",(605) 823-4401,Other,,7:30 AM,5:15 PM,VSI/CLEM Monthly Formation - April,special_event,English,,,2026-04-11,,,VSI/CLEM Monthly Formation
Assumption Of The Blessed Virgin Mary,"(1/2 mile S of town on Hwy 1806), Kenel, South Dakota 57648",(605) 823-4401,Other,,8:00 AM,11:30 AM,Natural Family Planning Seminar,special_event,English,,,2026-03-21,,,Natural Family Planning Seminar
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Tue,5:15 PM,,Mass,specific_weekday,English,"St. Patrick Church, O'Neill, NE",,,,,livestream
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Tue,5:30 PM,,Mass,specific_weekday,English,"St. Boniface Church, Stuart, NE",,,,,
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Wed,8:10 AM,,Mass,specific_weekday,English,"St. Patrick Church, O'Neill, NE",,,,,family; livestream
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Wed,8:15 AM,,Mass,specific_weekday,English,"St. Joseph Church, Atkinson, NE",,,,,
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Thu,5:30 PM,,Mass,specific_weekday,English,"St. Boniface Church, Stuart, NE",,,,,
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Thu,7:00 AM,,Mass,specific_weekday,English,"St. Patrick Church, O'Neill, NE",,,,,livestream
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Fri,7:00 AM,,Mass,specific_weekday,English,"St. Patrick Church, O'Neill, NE",,,,,livestream
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Fri,8:15 AM,,Mass,specific_weekday,English,"St. Joseph Church, Atkinson, NE",,,,,
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,"St. Patrick Church, O'Neill, NE",,,,,vigil
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,"St. Boniface Church, Stuart, NE",,,,,vigil
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Sun,10:30 AM,,Mass,sunday,English,"St. Patrick Church, O'Neill, NE",,,,,livestream
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,Sun,9:00 AM,,Mass,sunday,English,"St. Joseph Church, Atkinson, NE",,,,,
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,,7:00 PM,,Mass,monthly,English,"Ss. Peter & Paul, Butte",second_saturday,,,,2nd of the Month; vigil
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,,7:00 PM,,Mass,monthly,English,St. Mary's Spencer,saturday,,,,"1st, 3rd, 5th of the Month; vigil"
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,,8:00 AM,,Mass,monthly,English,"Ss. Peter & Paul, Butte",sunday,,,,"1st, 3rd, 5th of the Month"
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Mass,,8:00 AM,,Mass,monthly,English,St. Mary's Spencer,fourth_sunday,,,,4th of the Month
Assumption of the Blessed Virgin Mary,"417 S 4th St, Lynch, Nebraska 68746",(402) 775-0067,Confession,Sat,4:00 PM,,Confession,saturday,English,"St. Patrick Church, O'Neill, NE",,,,,
