Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Mon,6:30 AM,,Mass,specific_weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Mon,9:00 AM,,Mass,weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Tue,12:10 PM,,Mass,specific_weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Tue,9:00 AM,,Mass,weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Wed,6:30 AM,,Mass,specific_weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Wed,9:00 AM,,Mass,weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Thu,12:10 PM,,Mass,specific_weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Thu,9:00 AM,,Mass,weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Fri,6:30 AM,,Mass,specific_weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Fri,9:00 AM,,Mass,weekday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Sat,5:00 PM,,Mass,saturday,english,620 N Cedar Bluff Rd,,,,,
All Saints,"620 N Cedar Bluff Rd, Knoxville, Tennessee 37923",(865) 531-0770,Mass,Sat,7:00 PM,,Mass,saturday,spanish,620 N Cedar Bluff Rd,,,,,
