Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"620 N Cedar Bluff Rd, Knoxville",(865) 531-0770,Mass,5:00 PM,,Mass,english,620 N Cedar Bluff Rd,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"620 N Cedar Bluff Rd, Knoxville",(865) 531-0770,Mass,7:00 PM,,Mass,spanish,620 N Cedar Bluff Rd,
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"620 N Cedar Bluff Rd, Knoxville",(865) 531-0770,Mass,9:00 AM,,Mass,english,620 N Cedar Bluff Rd,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ave Maria,"664 S Washington St (TN-209), Ripley",(731)589-8302,Mass,5:00 PM,,Mass,english,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of Sts. Peter and Paul,"214 E 8th St, Chattanooga",(423) 266-1618,Mass,5:30 PM,,Mass,english,Basilica,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2564 Hale Ave, Memphis",(901) 276-1412,Mass,4:00 PM,,Mass,english,Blessed Sacrament Catholic Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"1669 Central Ave, Memphis",(901) 725-2700,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"1669 Central Ave, Memphis",(901) 725-2700,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Incarnation,"2015 W End Ave, Nashville",(615) 327-2330,Mass,5:00 PM,,Mass,English,Cathedral,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Incarnation,"2015 W End Ave, Nashville",(615) 327-2330,Mass,8:00 AM,,Mass,English,Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Catholic Church of the Nativity,"2793 Buckner Ln, Thompson's Station",+1-615-794-4004,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Cecilia,"801 Dominican Dr, Nashville",16152565486,Mass,7:00 AM,,Holy Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Cecilia,"801 Dominican Dr, Nashville",16152565486,Mass,7:00 AM,8:00 AM,Holy Mass,English,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"785 Church Rd W, Southaven",(662) 342-1073,Mass,4:00 PM,,Vigil Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"3001 Belmont Blvd, Nashville",(615) 292-2884,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"820 E Main St, Abingdon",(276) 628-2941,Mass,5:00 PM,,Mass,English,Christ the King Parish,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"3001 Belmont Blvd, Nashville",(615) 292-2884,Mass,9:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Samaritan,"55 Church St, Ellijay",(706) 636-2772,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Samaritan,"55 Church St, Ellijay",(706) 636-2772,Mass,7:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"2021 Decherd Blvd, Decherd",(931) 967-0961,Mass,5:00 PM,,Mass,English,Good Shepherd Church,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Good Shepherd,"2361 Cosby Hwy, Newport",(423) 623-5051,Mass,9:30 AM,,Mass,spanish,Church of the Good Shepherd,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Angels,"535 Tucker St, Dyersburg",(731) 287-8000,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"1210 E Wood St, Paris",(731) 642-4681,Mass,5:00 PM,,Mass,English,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"144 Wears Valley Rd, Pigeon Forge",865-429-5587,Mass,5:00 PM,,Mass,english,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Cross,"144 Wears Valley Rd, Pigeon Forge",865-429-5587,Mass,7:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"9100 Crockett Rd, Brentwood",(615) 373-4696,Mass,5:00 PM,,Mass,English,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"201 Black Oak Ridge Rd, Seymour",(865) 573-1203,Mass,5:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family,"431 Old Hwy 52, Lafayette",(615) 666-6466,Mass,9:00 AM,,Mass,english,"Holy Family catholic church, Lafayette, TN",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Family Catholic Church,"201 Black Oak Ridge Rd, Seymour",+1-865-573-1203,Mass,5:30 PM,,Mass,english,,Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Ghost,"1041 N Central St, Knoxville",(865) 522-2205,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Name,"521 Woodland St, Nashville",(615) 254-8847,Mass,5:00 PM,,Mass,english,Church of the Most Holy Name,vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"4851 Park Ave, Memphis",(901) 767-6949,Mass,4:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"192 Graylynn Dr, Nashville",(615) 889-4065,Mass,5:00 PM,,Vigil Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Rosary,"192 Graylynn Dr, Nashville",(615) 889-4065,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"2300 Hickory Crest Dr, Memphis",(901) 754-7146,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"10768 Dayton Pike, Soddy Daisy",(423) 332-5300,Mass,5:30 PM,,Mass,english,Holy Spirit,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"545 E Commerce St, Hernando",(662) 429-7851,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit,"2300 Hickory Crest Dr, Memphis",(901) 754-7146,Mass,8:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Spirit Catholic Church,"10768 Dayton Pike, Soddy-Daisy",+1-423-332-5300,Mass,5:30 PM,,Mass,english,Holy Spirit,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"475 N Highway 92, Jefferson City",(865) 471-0347,Mass,5:00 PM,,Mass,english,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Holy Trinity,"475 N Highway 92, Jefferson City",(865) 471-0347,Mass,7:00 PM,,Mass,spanish,,vigil; livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"1303 E Reelfoot Ave, Union City",(731) 885-0963,Mass,4:00 PM,,Mass,english,Immaculate Conception Catholic Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"709 Franklin St, Clarksville",(931) 645-6275,Mass,4:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"414 W Vine Ave, Knoxville",(865) 522-1508,Mass,5:00 PM,,Mass,english,Immaculate Conception,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"414 W Vine Ave, Knoxville",(865) 522-1508,Mass,8:30 AM,,Mass,english,Immaculate Conception,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Immaculate Conception,"709 Franklin St, Clarksville",(931) 645-6275,Mass,9:00 AM,,Mass,english,Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Incarnation,"360 Bray Station Rd, Collierville",(901) 853-7468 ,Mass,5:00 PM,,Mass,English,Main Sanctuary,tags: vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Incarnation,"360 Bray Station Rd, Collierville",(901) 853-7468 ,Mass,8:15 AM,,Mass,English,Main Sanctuary,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Mission of Our Lady of the Lake,"10645 Hwy 57, Counce",(731) 925-4852,Mass,5:30 PM,,Mass,English,Our Lady of the Lake,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Mission of St. John Paul II,"161 Bryan Ln, Rutledge",(865) 992-7222,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,National Shrine of St. Martin de Porres,"190 Adams Ave, Memphis",(901) 527-8282,Mass,5:00 PM,,Mass,english,Church,vigil; except: No 5 p.m. Mass on Easter Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Nativity,"5955 St Elmo Rd, Bartlett",(901) 382-2504,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Nativity,"2793 Buckner Ln, Spring Hill",(615) 794-4004,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Nativity,"5955 St Elmo Rd, Bartlett",(901) 382-2504,Mass,8:00 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Nativity,"2793 Buckner Ln, Spring Hill",(615) 794-4004,Mass,9:00 AM,,Mass,english,,
