slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-va-abingdon-christ-the-king-d0b23642,Christ the King,820,E,Main,St,,,,820 E Main St,Abingdon,VA,24210,,36.71609686,-81.94634866,(276) 628-2941
us-ky-albany-emmanuel-b6b399dc,Emmanuel,2546,,N,Hwy,,,,2546 N Hwy 127,Albany,KY,42602,,36.72114207,-85.13456733,6066881921
us-tn-alcoa-our-lady-of-fatima-73002bc5,Our Lady of Fatima,858,,Louisville,Rd,,,,858 Louisville Rd,Alcoa,TN,37701,,35.7728424,-83.98997,(865) 982-3672
us-tn-alto-st-margaret-mary-mission-e2b55c6a,Mission of St. Margaret Mary,9458,,Old Alto,Hwy,,,,9458 Old Alto Hwy,Alto,TN,37324,,35.26970616,-85.95797942,(931) 967-0961
us-tn-ashland-city-st-marthas-be03924f,St. Martha,3331,,Bell,St,,,,3331 Bell St,Ashland City,TN,37015,,36.28739961,-87.0497853,615-792-4255
us-tn-athens-st-mary-a2e3dbbb,St. Mary,1291,E,Madison,Ave,,,,1291 E Madison Ave,Athens,TN,37303,3865,35.45164,-84.574848,(423) 745-4277
us-tn-bartlett-catholic-church-of-the-nativity-7efaa0e5,Nativity,5955,,St Elmo,Rd,,,,5955 St Elmo Rd,Bartlett,TN,38135,1516,35.230419,-89.864142,(901) 382-2504
us-tn-bartlett-st-ann-43df716d,St. Ann,6529,,Stage,Rd,,,,6529 Stage Rd,Bartlett,TN,38134,,35.20378517,-89.84561806,(901) 373-6011
us-tn-bells-our-lady-of-guadalupe-2cb0943b,Our Lady of Guadalupe,172,,Main,St,,,,172 Main St,Bells,TN,38006,,35.71255837,-89.0900501,(731) 668-2596
us-ga-blue-ridge-st-anthony-e6076b50,St. Anthony,967,E,Main,St,,,,967 E Main St,Blue Ridge,GA,30513,,34.86211006,-84.32688782,(706) 632-5970
us-tn-bolivar-st-mary-295016da,St. Mary,223,,Mecklenburg,Dr,,,,223 Mecklenburg Dr,Bolivar,TN,38008,,35.25628286,-89.00606704,(731) 658-4627
us-nc-boone-st-elizabeth-6c07184f,St. Elizabeth of the Hill Country,259,,Pilgrims,Way,,,,259 Pilgrims Way,Boone,NC,28607,6113,36.19487546,-81.66057212,(828) 264-8338
us-tn-brentwood-holy-family-f471d74d,Holy Family,9100,,Crockett,Rd,,,,9100 Crockett Rd,Brentwood,TN,37027,,35.9787369,-86.7694,(615) 373-4696
us-va-bristol-st-anne-50bcbd22,St. Anne,316,,Euclid,Ave,,,,316 Euclid Ave,Bristol,VA,24201,4014,36.60750386,-82.17849654,(276) 669-8200
us-tn-brownsville-st-john-f52ef8c0,St. John,910,N,Washington,Ave,,,,910 N Washington Ave,Brownsville,TN,38012,,35.60185323,-89.26155419,(731) 668-2596
us-nc-bryson-city-st-joseph-a7d68070,St. Joseph,316,,Main,St,,,,316 Main St,Bryson City,NC,28713,8096,35.42822121,-83.4430384,(828) 488-6766
us-ky-burkesville-holy-cross-11536cf0,Holy Cross,254,,Glasgow,Rd,,,,254 Glasgow Rd,Burkesville,KY,42717,9696,36.7953167,-85.3959511,6066881921
us-ky-burkesville-holy-cross-catholic-church-27495964,Holy Cross Catholic Church,264,,Glasgow,Rd,,,,264 Glasgow Rd,Burkesville,KY,42717,,36.7959645,-85.3710983,+1-270-864-4107
us-nc-burnsville-sacred-heart-ef6ce14f,Sacred Heart,20,,Summit,St,,,,20 Summit St,Burnsville,NC,28714,,35.91818971,-82.29523358,(828) 689-3719
us-tn-camden-st-mary-9fa76b1c,St. Mary,220,W,Main,St,,,,220 W Main St,Camden,TN,38320,,36.05878044,-88.10988683,(731) 584-6459
us-tn-carthage-st-peter-the-apostle-f24741ac,St. Peter the Apostle,208,,Upper Ferry,Rd,,,,208 Upper Ferry Rd,Carthage,TN,37030,,36.24862546,-85.95236443,(615) 281-8327
us-mo-caruthersville-sacred-heart-ec841d5f,Sacred Heart,605,,Ward,Ave,,,,605 Ward Ave,Caruthersville,MO,63830,,36.18990802,-89.65604406,(573) 333-4301
us-tn-cedar-hill-st-michael-mission-2e142164,Mission of St. Michael,3553,S,Carter,Rd,,,,3553 S Carter Rd,Cedar Hill,TN,37032,,36.48724895,-86.99844737,(615) 384-6200
us-tn-celina-divine-savior-mission-de8d4250,Divine Savior Mission ,150,,Divine Savior,Rd,,,,150 Divine Savior Rd,Celina,TN,38551,,36.54516955,-85.49586304,(931) 243-2618
us-tn-celina-mission-of-the-divine-savior-b91782b6,Mission of the Divine Savior,150,,Divine Savior,Rd,,,,150 Divine Savior Rd,Celina,TN,38551,,36.5463125,-85.5019375,19312432618
us-tn-centerville-christ-the-redeemer-f9d8c0c2,Christ the Redeemer,1515,,Woodland,Dr,,,,1515 Woodland Dr,Centerville,TN,37033,,35.81988879,-87.44059606,(931) 729-4669
us-tn-chattanooga-saints-peter-and-paul-f834e6ae,Basilica of Sts. Peter and Paul,214,E,8th,St,,,,214 E 8th St,Chattanooga,TN,37402,,35.04681723,-85.30717301,(423) 266-1618
us-tn-chattanooga-our-lady-of-perpetual-help-b23b496f,Our Lady of Perpetual Help,501,S,Moore,Rd,,,,501 S Moore Rd,Chattanooga,TN,37412,2949,35.00538796,-85.23222604,(423) 622-7232
us-tn-chattanooga-our-lady-of-perpetual-help-99f7b72e,Our Lady of Perpetual Help,501,S,Moore,Rd,,,,501 S Moore Rd,Chattanooga,TN,37412,,35.0055306,-85.233591,+1-423-622-7232
us-tn-chattanooga-st-jude-df69b0ca,St. Jude,930,,Ashland,Ter,,,,930 Ashland Ter,Chattanooga,TN,37415,,35.11686775,-85.26672216,(423) 870-2386
us-tn-chattanooga-st-jude-catholic-church-4e9ab6e0,St. Jude Catholic Church,930,,Ashland,Ter,,,,930 Ashland Terrace,Chattanooga,TN,37415,,35.1151859,-85.2645065,+1-423-870-2386
us-tn-chattanooga-church-of-st-stephen-8f1f2649,St. Stephen,7111,,Lee,Hwy,,,,7111 Lee Hwy,Chattanooga,TN,37421,,35.0483125,-85.1579375,14238921261
us-tn-chattanooga-st-stephen-2f37f4e4,St. Stephen,7111,,Lee,Hwy,,,,7111 Lee Hwy,Chattanooga,TN,37421,,35.05066661,-85.15290535,(423) 892-1261
us-nc-cherokee-our-lady-of-guadalupe-f354ceb0,Our Lady of Guadalupe,82,,Lambert Branch,Rd,,,,82 Lambert Branch Rd,Cherokee,NC,28719,,35.49285785,-83.31510424,(828) 488-6766
us-tn-clarksville-immaculate-conception-2c5abfad,Immaculate Conception,709,,Franklin,St,,,,709 Franklin St,Clarksville,TN,37040,,36.52936813,-87.35060046,(931) 645-6275
us-tn-cleveland-st-therese-of-lisieux-3d548f8a,St. Therese of Lisieux,900,,Clingan Ridge,Dr,NW,,,900 Clingan Ridge Dr NW,Cleveland,TN,37312,,35.1873642,-84.8727644,(423) 476-8123
us-ky-clinton-st-jude-7338fd8f,St. Jude,308,,Mayfield,Rd,,,,308 Mayfield Rd,Clinton,KY,42031,,36.66508508,-88.99159023,(270) 653-6869 or (270) 472-2742 
