Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Mon,6:00 PM,,Mass,weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Tue,6:00 PM,,Mass,weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Tue,8:30 AM,9:00 AM,Mass,specific_weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Wed,6:00 PM,,Mass,weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Wed,8:30 AM,9:00 AM,Mass,specific_weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Thu,6:00 PM,,Mass,weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Thu,8:30 AM,9:00 AM,Mass,specific_weekday,English,Church,,,,,livestream
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Fri,6:00 PM,,Mass,weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Sat,5:00 PM,,Mass,saturday,English,Church,,,,,vigil
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Sun,11:00 AM,,Mass,sunday,spanish,Church,,,,,livestream
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Sun,5:00 PM,,Mass,sunday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Sun,7:00 AM,,Mass,sunday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,Sun,9:00 AM,,Mass,sunday,English,Church,,,,,livestream
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,,6:00 PM,,Mass,monthly,English,Church,first_friday_(recurring),,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,,8:00 PM,,Mass,monthly,spanish,Adoration Chapel,thursday_(before_first_friday),,,,Thursday (before First Friday)
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,,8:30 AM,9:00 AM,Mass,daily,spanish,Adoration Chapel,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Mass,,8:30 AM,,Mass,monthly,English,Church,first_saturday_(recurring),,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Confession,Mon,5:00 PM,5:45 PM,Confession,specific_weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Confession,Thu,7:00 PM,8:00 PM,Confession,specific_weekday,spanish,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Confession,Fri,5:00 PM,5:45 PM,Confession,specific_weekday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Confession,Sat,3:30 PM,,Confession,saturday,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Confession,,7:00 PM,,Confession,monthly,spanish,Adoration Chapel,thursday_(before_first_friday),,,,Thursday (before First Friday)
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Adoration,,6:30 PM,,Adoration,monthly,English,Church,first_friday_(recurring),,,,exposition
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Adoration,,7:00 PM,,Adoration,monthly,English,Adoration Chapel,thursday_(before_first_friday),,,,Thursday (before First Friday); exposition
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Adoration,,9:00 AM,8:30 AM,Adoration,daily,English,Adoration Chapel,,,,,exposition
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Devotions,,4:30 PM,5:00 PM,Rosary,parish_event,English,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Devotions,,4:30 PM,5:00 PM,Rosary,parish_event,spanish,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Devotions,,6:30 PM,7:00 PM,Rosary,parish_event,spanish,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Devotions,,6:30 PM,7:00 PM,Rosary,parish_event,spanish,Church,,,,,
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Devotions,,7:30 PM,,Benediction,monthly,English,Church,first_friday_(recurring),,,,benediction
 Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery, Texas 77316",(713) 683-9407,Devotions,,8:00 AM,8:30 AM,Rosary,other,English,,,,,,daily
 St. Joseph (Salineño),"Iglesia St, Salineno, Texas None",,Mass,Sun,11:00 AM,,Mass,sunday,English,,,,,,livestream
 St. Joseph (Salineño),"Iglesia St, Salineno, Texas None",,Other,Tue,5:15 PM,6:30 PM,CCE Classes,specific_weekday,English,,,,,,1st-5th Grade
 St. Joseph (Salineño),"Iglesia St, Salineno, Texas None",,Other,,9:00 AM,9:30 AM,CCE Classes,parish_event,English,Youth Center,,,,,recurring 09 –10:45; followed by Mass; Middle School
 St. Joseph (Salineño),"Iglesia St, Salineno, Texas None",,Other,,9:00 AM,10:15 AM,CCE Classes,parish_event,English,,,,,,recurring 09 –11:15; Los Sáenz; Pre-K–Grade 10; First Communion; Pre-Confirmation
 St. Joseph (Salineño),"Iglesia St, Salineno, Texas None",,Sacraments,,9:00 AM,10:15 AM,Confirmation Classes,parish_event,English,Youth Center,,,,,recurring 09 –11:15; followed by Mass; Year A & B
All Saints,"5231 Meadowcreek Dr, Dallas, Texas 75248",(972) 661-9282,Mass,Mon,12:10 PM,,Mass,specific_weekday,English,,,,,,
All Saints,"5231 Meadowcreek Dr, Dallas, Texas 75248",(972) 661-9282,Mass,Mon,6:30 AM,,Mass,weekday,English,,,,,,
All Saints,"215 E 10th St, Houston, Texas 77008",(713) 864-2653,Mass,Mon,8:00 AM,,Mass,weekday,english,,,,,,
All Saints,"214 NW 20th St, Fort Worth, Texas 76164",(817) 626-3055,Mass,Mon,8:15 AM,,Mass,specific_weekday,english,,,,,,
All Saints,"5231 Meadowcreek Dr, Dallas, Texas 75248",(972) 661-9282,Mass,Mon,9:00 AM,,Mass,weekday,English,,,,,,livestream
All Saints,"5231 Meadowcreek Dr, Dallas, Texas 75248",(972) 661-9282,Mass,Tue,6:30 AM,,Mass,weekday,English,,,,,,
All Saints,"215 E 10th St, Houston, Texas 77008",(713) 864-2653,Mass,Tue,8:00 AM,,Mass,weekday,english,,,,,,
All Saints,"5231 Meadowcreek Dr, Dallas, Texas 75248",(972) 661-9282,Mass,Tue,9:00 AM,,Mass,weekday,English,,,,,,livestream
All Saints,"5231 Meadowcreek Dr, Dallas, Texas 75248",(972) 661-9282,Mass,Wed,6:30 AM,,Mass,weekday,English,,,,,,
All Saints,"215 E 10th St, Houston, Texas 77008",(713) 864-2653,Mass,Wed,8:00 AM,,Mass,weekday,english,,,,,,
