Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sat, Feb 21, 2026",2026-02-21,Saturday, Presentation of the Lord,"5530 Honea Egypt Rd, Montgomery",(713) 683-9407,Mass,5:00 PM,,Mass,English,Church,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"214 NW 20th St, Fort Worth",(817) 626-3055,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"5231 Meadowcreek Dr, Dallas",(972) 661-9282,Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"1415 N Dakota St, El Paso",(915) 566-9711,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"215 E 10th St, Houston",(713) 864-2653,Mass,5:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"214 NW 20th St, Fort Worth",(817) 626-3055,Mass,6:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,All Saints,"5231 Meadowcreek Dr, Dallas",(972) 661-9282,Mass,9:00 AM,,Mass,English,,livestream
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1618 Texas Ave, Houston",(713) 222-2289,Mass,5:30 PM,,Mass,english,1618 Texas Ave,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation,"1618 Texas Ave, Houston",(713) 222-2289,Mass,8:00 AM,,Mass,english,1618 Texas Ave,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Annunciation of the Blessed Virgin Mary,"14011 FM 1346, Saint Hedwig",(210) 667-1232,Mass,6:00 PM,,Mass,english,Annunciation of the Blessed Virgin Mary,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"804 Pine St, Bastrop",(512) 321-3552,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension,"804 Pine St, Bastrop",(512) 321-3552,Mass,7:00 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension of Our Lord (Moravia),"11134 FM 957, Schulenburg",(361)798-2110 or (361) 798-5888 (Sacred Heart),Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Ascension of Our Lord (Moravia),"11134 FM 957, Schulenburg",(361)798-2110 or (361) 798-5888 (Sacred Heart),Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"901 Rose Ln, Houston",(281) 447-6381,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"901 Rose Ln, Houston",(281) 447-6381,Mass,6:30 PM,,Mass,spanish,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption,"901 Rose Ln, Houston",(281) 447-6381,Mass,7:45 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption Seminary,"2600 W Woodlawn Ave, San Antonio",12107345137,Mass,5:00 PM,,Mass,English,Chapel,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"821 FM 1295, Flatonia",(361) 596-4674,Mass,4:30 PM,,Mass,English,"821 FM 1295 | Flatonia, Texas 78941",
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"1305 Deer Park Rd, Decatur",(940) 683-2743,Mass,5:00 PM,,Mass Vigil,spanish,"Assumption of the Blessed Virgin Mary, Decatur",vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Assumption of the Blessed Virgin Mary,"108 S 6th St, Ganado",(361) 771-3425 or (361) 771-3325 (Rectory),Mass,5:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Barksdale Air Force Base Chapel,"275 Barksdale Blvd E, Bossier City",318-456-2111,Mass,11:35 AM,,Mass,English,Chapel 1,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Barksdale Air Force Base Chapel,"275 Barksdale Blvd E, Bossier City",318-456-2111,Mass,5:00 PM,,Vigil Mass,English,Chapel 2,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of the National Shrine of Our Lady of San Juan del Valle,"400 N Virgen de San Juan Blvd, San Juan",(956) 787-0033,Mass,11:30 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of the National Shrine of Our Lady of San Juan del Valle,"400 N Virgen de San Juan Blvd, San Juan",(956) 787-0033,Mass,2:00 PM,,Special Mass,English,,note: recurring per calendar
"Sat, Feb 21, 2026",2026-02-21,Saturday,Basilica of the National Shrine of Our Lady of San Juan del Valle,"400 N Virgen de San Juan Blvd, San Juan",(956) 787-0033,Mass,5:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"231 N Marsalis Ave, Dallas",(214) 948-6535,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2500 S Bolton St, Amarillo",(806) 374-1132,Mass,5:00 PM,,Vigil Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"9025 Diana Dr, El Paso",(915) 755-7658,Mass,5:00 PM,,Anticipation Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"4015 Sherman St, Houston",(713) 224-5291,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"488 W Westmeyer St, Poth",(830) 484-3302,Mass,5:30 PM,,Mass,English,"Blessed Sacrament Church, Poth, Tx",vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"600 Oblate Dr, San Antonio",(210) 824-7231 or (210) 779-7268 (Emergency Line),Mass,5:30 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Blessed Sacrament,"2219 Galveston St, Laredo",(956) 722-1231,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Capilla del Sagrado Corazón de Jesús,"2400 Marr St, El Paso",(915) 565-2921,Mass,7:00 AM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Capilla del Sagrado Corazón de Jesús,"2400 Marr St, El Paso",(915) 565-2921,Mass,7:00 PM,,Mass,spanish,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Our Lady of Walsingham,"7809 Shadyvilla Ln, Houston",(713) 683-9407,Mass,4:30 PM,,Anticipated (Vigil) Sung Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of Our Lady of Walsingham,"7809 Shadyvilla Ln, Houston",(713) 683-9407,Mass,8:00 AM,,Said Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of San Agustín,"201 San Agustin Ave, Laredo",(956) 722-1382,Mass,5:30 PM,,Mass,bilingual,San Agustín Cathedral,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of St. John Berchmans,"939 Jordan St, Shreveport",(318) 221-5296,Mass,4:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"423 S Broadway, Tyler",(903) 592-1617,Mass,5:30 PM,,Vigil Mass,English,Cathedral of the Immaculate Conception,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Cathedral of the Immaculate Conception,"423 S Broadway, Tyler",(903) 592-1617,Mass,8:30 AM,,Mass,English,Cathedral of the Immaculate Conception,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Basil,"3802 Yoakum Blvd, Houston",(713) 525-3589,Mass,5:00 PM,,Mass,English,Chapel of St. Basil,vigil; chapel; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Catherine of Alexandria,"2202 Hicks (Mayfield) Ave, San Antonio",(210) 532-6309,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Jude,"1521 Main St, Dallas",(214) 742-2508,Mass,4:00 PM,,Mass,english,St. Jude Chapel,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of St. Victor,"10514 Park Rd 37, Lakehills",(830) 460-4712,Mass,7:00 PM,,Mass,English,St. Victor,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of Sts. Peter and Paul,"1435 ESE Loop 323, Tyler",19035921617,Mass,4:30 PM,,Vigil Mass,English,Chapel of Sts. Peter & Paul,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Assumption,"100 Vietnam St, Palacios",(361) 972-2446,Mass,5:00 PM,,Mass,vietnamese,,vigil; Rosary Beginning at 4:30 p.m.; Sunday Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Assumption,"San Antonio Texas 78228, San Antonio",,Mass,5:00 PM,,Mass,English,Chapel,vigil; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chapel of the Assumption,"100 Vietnam St, Palacios",(361) 972-2446,Mass,8:30 AM,,Mass,vietnamese,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Chinese Mission of the Ascension,"4605 Jetty Ln, Houston",(281) 575-8855,Mass,5:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ Our Light,"9677 N Hwy 6 Loop, Navasota",(936) 825-3920,Mass,6:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Good Shepherd,"18511 Klein Church Rd, Spring",(281) 376-6831,Mass,5:30 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Good Shepherd,"18511 Klein Church Rd, Spring",(281) 376-6831,Mass,8:30 AM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Incarnate Word,"8503 S Kirkwood Rd, Houston",(281) 495-8133,Mass,6:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the Incarnate Word,"8503 S Kirkwood Rd, Houston",(281) 495-8133,Mass,7:00 AM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"425 McCormick St, Bossier City",(318) 221-0238,Mass,4:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"2255 Southmost Rd, Brownsville",(956) 546-1982,Mass,4:00 PM,,Mass,English,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8666 County Rd 316, Balmorhea",(432) 445-2309,Mass,4:30 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8666 County Rd 316, Balmorhea",(432) 445-2309,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8666 County Rd 316, Balmorhea",(432) 445-2309,Mass,5:00 PM,,Mass,English,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"210 E 24th Ave, Belton",(254) 939-0806,Mass,5:00 PM,,Mass,english,Christ the King,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"4419 N Main St, Houston",(713) 869-1449,Mass,5:00 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"1105 Tilden, Laredo",(956) 723-4267,Mass,5:00 PM,,Mass,english,,
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8666 County Rd 316, Balmorhea",(432) 445-2309,Mass,5:15 PM,,Mass,english,,vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"3423 Rojo St, Corpus Christi",(361) 883-2821,Mass,5:30 PM,,Mass,English,,Vigil Mass
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"8017 Preston Rd, Dallas",(214) 365-1200,Mass,5:30 PM,,Mass,English,,tags; Vigil
"Sat, Feb 21, 2026",2026-02-21,Saturday,Christ the King,"425 McCormick St, Bossier City",(318) 221-0238,Mass,6:00 PM,,Mass,spanish,,vigil
