slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-tx-abbott-immaculate-heart-of-mary-9bb645a7,Immaculate Heart of Mary,601,W,Houston,St,,,,601 W Houston St,Abbott,TX,76621,,31.87971427,-97.07882529,(254) 582-3092
us-tx-abernathy-st-isidore-catholic-church-55f992aa,St. Isidore,17813,N,I-27,,,,,17813 N I-27,Abernathy,TX,79311,,33.81882853,-101.84157992,806.298.4278
us-tx-abernathy-church-of-st-isidore-8623b945,St. Isidore,17813,N,I-27,,,,,17813 N I-27,Abernathy,TX,17813,,33.8185625,-101.8414375,18062984278
us-tx-abilene-holy-family-ac5b8794,Holy Family,5410,,Buffalo Gap,Rd,,,,5410 Buffalo Gap Rd,Abilene,TX,79606,,32.38341499,-99.77009309,(325) 692-1820
us-tx-abilene-our-lady-of-grace-dyess-air-force-base-20aa51fe,Our Lady of Grace (Dyess Air Force Base),7,,BW/HC 158,Ave,,,,7 BW/HC 158 Ave B Dyess Air Force Base,Abilene,TX,79607,,32.42705816,-99.83571231,325-696-4224
us-tx-abilene-sacred-heart-82adc4bc,Sacred Heart,837,,Jeanette,St,,,,837 Jeanette St,Abilene,TX,79602,,32.44087151,-99.74279925,(325) 677-7951 
us-tx-abilene-st-francis-of-assisi-10a221da,St. Francis,826,,Cottonwood,St,,,,826 Cottonwood St,Abilene,TX,79601,,32.45753043,-99.7249649,(325) 672-6695
us-tx-abilene-st-vincent-28634622,St. Vincent Pallotti,2525,,Westview,Dr,,,,2525 Westview Dr,Abilene,TX,79603,,32.47999292,-99.76008236,(325) 672-1794
us-tx-abram-st-mary-magdalene-cf33eecf,St. Mary Magdalene,7100,W,Military,Rd,,,,7100 W Military Rd,Abram,TX,78572,,26.19922741,-98.41064558,(956) 585-5223
us-tx-agua-dulce-st-frances-of-rome-29bfe3d7,St. Frances of Rome,410,,Simmons,Ave,,,,410 Simmons Ave,Agua Dulce,TX,78330,,27.7842127,-97.91039941,(361) 998-2216
us-tx-alamo-capuchin-poor-clare-nuns-convent-e01cc728,Capuchin Poor Clare Nuns Convent,725,E,Bowie,Ave,,,,725 E Bowie Ave,Alamo,TX,78516,,26.1790999,-98.116941,
us-tx-alamo-resurrection-cf682433,Resurrection,312,N,9th,St,,,,312 N 9th St,Alamo,TX,78516,,26.18670329,-98.11826865,(956) 787-2963
us-tx-albany-jesus-of-nazareth-cb730610,Jesus of Nazareth,7950,W,US,Hwy,,,,7950 W US Hwy 180 W,Albany,TX,76430,,32.71714933,-99.31726621,(254) 559-2860
us-tx-aledo-holy-redeemer-5314b0d3,Holy Redeemer,16250,,Old Weatherford,Rd,,,,16250 Old Weatherford Rd,Aledo,TX,76008,,32.74537033,-97.58473878,(817) 441-3500
us-tx-alice-santo-niño-de-atocha-mission-bf4c92d8,Mission of Santo Niño de Atocha,926,,Co Rd 122,,,,,926 Co Rd 122,Alice,TX,78333,,27.88866967,-98.09610792,(361) 664-2953
us-tx-alice-our-lady-of-guadalupe-15bf6864,Our Lady of Guadalupe,1010,,Beam Station,Rd,,,,1010 Beam Station Rd,Alice,TX,78332,,27.74054823,-98.09314332,(361) 664-2953
us-tx-alice-our-lady-of-guadalupe-catholic-church-40001264,Our Lady of Guadalupe Catholic Church,1010,,Beam Station,Rd,,,,1010 Beam Station Rd,Alice,TX,78332,,27.7405226,-98.0931177,+1-361-664-2953
us-tx-alice-st-elizabeth-of-hungary-25b5e552,St. Elizabeth of Hungary,603,E,5th,St,,,,603 E 5th St,Alice,TX,78332,,27.75539294,-98.07093982,(361) 664-6481
us-tx-alice-st-joseph-d8274c51,St. Joseph,801,S,Reynolds,St,,,,801 S Reynolds St,Alice,TX,78332,,27.74258312,-98.07355967,(361) 664-7551
us-tx-allen-our-lady-of-angels-6b320157,Our Lady of Angels,1914,,Ridgeview,Dr,,,,1914 Ridgeview Dr,Allen,TX,75013,,33.1206169,-96.72691,(469) 467-9669
us-tx-allen-st-jude-2ea3f8e7,St. Jude,1515,N,Greenville,Ave,,,,1515 N Greenville Ave,Allen,TX,75002,,33.12199723,-96.65068936,(972) 727-1177
us-tx-alleyton-st-roch-catholic-church-c1d52763,St Roch Catholic Church,1600,,Frelsburg,Rd,,,,1600 Frelsburg Rd,Alleyton,TX,78935,,29.7503411,-96.4381385,+1-979-732-3460
us-tx-alleyton-st-roch-mentz-5450b395,St. Roch,1600,,Frelsburg,Rd,,,,1600 Frelsburg Rd,Alleyton,TX,78935,,29.75039423,-96.43809288,(979) 732-3460
us-tx-alpine-our-lady-of-peace-a2bcbf8c,Our Lady of Peace,406,S,6th,St,,,,406 S 6th St,Alpine,TX,79830,,30.35463234,-103.6602861,(432) 837-3304
us-tx-alto-venerable-antonio-margil-ed8c01e7,Venerable Antonio Margil,498,W,San Antonio,St,,,,498 W San Antonio St,Alto,TX,75785,,31.6477602,-95.07863457,(903) 683-1862
us-tx-alton-san-martin-de-porres-0413e399,Iglesia San Martín de Porres,621,W,Main,Ave,,,,621 W Main Ave,Alton,TX,78573,,26.28842094,-98.32019135,(956) 585-8001
us-tx-alvin-st-john-the-baptist-37130492,St. John the Baptist,110,E,S,St,,,,110 E S St,Alvin,TX,77511,,29.40882793,-95.24287363,(281) 331-3751
us-tx-amarillo-blessed-sacrament-de2433b8,Blessed Sacrament,2500,S,Bolton,St,,,,2500 S Bolton St,Amarillo,TX,79103,,35.18682886,-101.78804107,(806) 374-1132
us-tx-amarillo-diocese-of-amarillo-047da3d0,Diocese of Amarillo,4512,NE,24th,Ave,,,,4512 NE 24th Ave,Amarillo,TX,79107,,35.2352766,-101.7855707,+1-806-383-2243
us-tx-amarillo-our-lady-of-guadalupe-cbbcd7be,Our Lady of Guadalupe,1210,SE,11th,Ave,,,,1210 SE 11th Ave,Amarillo,TX,79102,,35.20046075,-101.82363817,(806) 372-1128
us-tx-amarillo-our-lady-of-vietnam-6a4a61b3,Our Lady of Vietnam,2001,N,Grand,St,,,,2001 N Grand St,Amarillo,TX,79107,,35.23353442,-101.79593953,(806) 383-0467
us-tx-amarillo-st-francis-024680f4,St. Francis,5005,,Klinke,Rd,,,,5005 Klinke Rd,Amarillo,TX,79108,,35.26315093,-101.6278465,(806) 335-1872
us-tx-amarillo-st-hyacinth-65c220fe,St. Hyacinth,4500,W,Hills,Trl,,,,4500 W Hills Trail,Amarillo,TX,79106,,35.2213575,-101.88805892,(806) 358-1351
us-tx-amarillo-st-joseph-65b59e11,St. Joseph,4122,S,Bonham,St,,,,4122 S Bonham St,Amarillo,TX,79110,,35.16947705,-101.8599081,(806) 355-5621
us-tx-amarillo-st-laurence-f36bfc6c,St. Laurence,2300,N,Spring,,,,,2300 N Spring,Amarillo,TX,79107,,35.23555166,-101.7905015,(806) 383-2261
us-tx-amarillo-st-martin-de-porres-b01fe152,St. Martin,1507,N,Adams,St,,,,1507 N Adams St,Amarillo,TX,79107,,35.22971205,-101.84474124,(806) 376-8771
us-tx-amarillo-st-mary-cathedral-fa3a1cc3,St. Mary’s Cathedral,1200,S,Washington,,,,,1200 S Washington,Amarillo,TX,79102,,35.20317314,-101.84911285,(806) 376-7204
us-tx-amarillo-st-thomas-the-apostle-87b6b564,St. Thomas the Apostle,4100,S,Coulter,St,,,,4100 S Coulter St,Amarillo,TX,79109,,35.16743915,-101.92114186,(806) 358-2461
us-tx-anahuac-our-lady-of-light-2756b495,Our Lady of Light,2207,S,Main,St,,,,2207 S Main St,Anahuac,TX,77514,,29.7524662,-94.68461525,(409) 296-4200
us-tx-anderson-st-stanislaus-kostka-02844b51,St. Stanislaus,1511,,,Hwy,,,,1511 Hwy 90 S,Anderson,TX,77830,,30.48308296,-95.99343236,(936) 873-2291
us-tx-andice-santa-rosa-de-lima-9746f0b2,Santa Rosa de Lima,6571,,FM 970,,,,,6571 FM 970,Andice,TX,76527,,30.78129516,-97.85381353,(254) 793-0273
us-tx-andrews-our-lady-of-lourdes-4d17972e,Our Lady of Lourdes,201,,NE,Ave,,,,201 NE Ave K,Andrews,TX,79714,,32.3317893,-102.54839161,(432) 523-4215
us-tx-angleton-most-holy-trinity-1d4e4822,Most Holy Trinity,1713,N,Tinsley,St,,,,1713 N Tinsley St,Angleton,TX,77515,,29.17845357,-95.42375463,(979) 849-2421 or (979) 583-4040 (Emergencies)
us-tx-anson-st-michael-102ae1ab,St. Michael,2010,,County Rd 477,,,,,2010 County Rd 477,Anson,TX,79501,4732,32.74433586,-99.89912834,(325) 823-2777
us-tx-anton-st-anthony-3a6f02c0,St. Anthony,401,,Maurer,Ave,,,,401 Maurer Ave,Anton,TX,79313,,33.81127347,-102.16621978,806.832.5915
us-tx-aransas-pass-st-mary-star-of-the-sea-7379ee3e,"St. Mary, Star of the Sea",342,S,Rife,St,,,,342 S Rife St,Aransas Pass,TX,78336,,27.90416706,-97.14825066,(361) 758-2662
us-tx-argyle-st-mark-cae196a8,St. Mark ,6500,,Crawford,Dr,,,,6500 Crawford Dr,Argyle,TX,76226,,33.13175665,-97.19712638,(940) 387-6223
us-tx-arlington-university-catholic-community-53210490,Community of St. Peter the Rock,1010,,Benge,Dr,,,,1010 Benge Dr,Arlington,TX,76013,,32.72420636,-97.12145823,(817) 460-1155
us-tx-arlington-most-blessed-sacrament-5fb0821f,Most Blessed Sacrament,2100,N,Davis,Dr,,,,2100 N Davis Dr,Arlington,TX,76012,,32.7678375,-97.12458,(817) 460-2751
us-tx-arlington-saint-mary-the-virgin-ordinariate-of-the-chair-of-st-peter-603a60d9,St Mary the Virgin Catholic (Ordinariate of the Chair of St. Peter),1408,N,Davis,Dr,,,,1408 N Davis Dr,Arlington,TX,76012,,32.756562,-97.123294,(817) 460-2278
