Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Mon,9:00 AM,,Mass,specific_weekday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Wed,9:00 AM,,Mass,specific_weekday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Thu,9:00 AM,,Mass,specific_weekday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Fri,9:00 AM,,Mass,specific_weekday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Sat,5:00 PM,,Mass,saturday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,vigil
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Sat,9:00 AM,,Mass,specific_weekday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Sun,11:00 AM,,Mass,sunday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Mass,Sun,8:30 AM,,Mass,sunday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Confession,Sat,4:00 PM,4:45 PM,Confession,saturday,English,"Blessed Sacrament Catholic Church, Sandy, UT",,,,,
Blessed Sacrament,"9757 S 1700 E, Sandy, Utah 84092",(801) 571-5517,Confession,,TBD,,Confession,other,English,,,,after,Mass,after weekday Masses; check bulletin
Carmel of the Immaculate Heart of Mary,"5714 Holladay Blvd E, Salt Lake City, Utah 84117",+18012776075,Mass,Mon,7:30 AM,,Mass,weekday,English,Carmelite Chapel,,,,,
Carmel of the Immaculate Heart of Mary,"5714 Holladay Blvd E, Salt Lake City, Utah 84117",+18012776075,Mass,Tue,7:30 AM,,Mass,weekday,English,Carmelite Chapel,,,,,
Carmel of the Immaculate Heart of Mary,"5714 Holladay Blvd E, Salt Lake City, Utah 84117",+18012776075,Mass,Wed,7:30 AM,,Mass,weekday,English,Carmelite Chapel,,,,,
Carmel of the Immaculate Heart of Mary,"5714 Holladay Blvd E, Salt Lake City, Utah 84117",+18012776075,Mass,Thu,7:30 AM,,Mass,weekday,English,Carmelite Chapel,,,,,
Carmel of the Immaculate Heart of Mary,"5714 Holladay Blvd E, Salt Lake City, Utah 84117",+18012776075,Mass,Fri,7:30 AM,,Mass,weekday,English,Carmelite Chapel,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Mon,5:15 PM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Mon,8:00 AM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Tue,5:15 PM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Tue,8:00 AM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Wed,5:15 PM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Wed,8:00 AM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Thu,5:15 PM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Thu,8:00 AM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Fri,5:15 PM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Fri,8:00 AM,,Mass,weekday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sat,5:00 PM,,Mass,saturday,english,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sat,7:00 PM,,Mass,saturday,spanish,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sat,8:00 AM,,Mass,saturday,English,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sun,11:00 AM,,Mass,sunday,english,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sun,3:00 PM,,Mass,sunday,spanish,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sun,6:00 PM,,Mass,sunday,english,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,Sun,8:30 AM,,Mass,sunday,english,Cathedral of the Madeleine,,,,,
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,,10:00 AM,,Christmas Day Mass,special_event,English,Cathedral of the Madeleine,,2026-12-25,,,Christmas Day Mass
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,,12:00 PM,,Ash Wednesday Mass with Choristers,special_event,english,Cathedral of the Madeleine,,2026-02-18,,,Ash Wednesday Mass with Choristers
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,,12:00 PM,,Christmas Day Mass,special_event,English,Cathedral of the Madeleine,,2026-12-25,,,Christmas Day Mass
Cathedral of the Madeleine,"331 E S Temple, Salt Lake City, Utah 84111",(801) 328-8941,Mass,,2:00 PM,,Ash Wednesday Mass with MCS Students,special_event,english,Cathedral of the Madeleine,,2026-02-18,,,Ash Wednesday Mass with MCS Students
