slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-ut-alta-our-lady-of-the-snows-center-station-25d31112,Our Lady of the Snows Center Station,10189,,E,Hwy,,,,10189 E Hwy 210,Alta,UT,84092,,40.59022443,-111.63764098,(801) 571-5517
us-ut-american-fork-st-peter-493a9379,St. Peter,622,N,600,,E,,,622 N 600 E,American Fork,UT,84003,,40.38984632,-111.78166118,(801) 756-7771
us-ut-beaver-our-lady-of-the-light-4bd60160,Mission of Our Lady of the Light,190,N,900,,E,,,190 N 900 E,Beaver,UT,84713,,38.27663052,-112.62547942,(435) 864-3710
us-ut-beryl-san-pablo-546ebb23,San Pablo,721,,UT-18,,,,,721 UT-18,Beryl,UT,84714,,37.69375188,-113.65603316,+14356732604
us-ut-bountiful-saint-olaf-catholic-church-175a296f,Saint Olaf Catholic Church,276,E,1700,,S,,,276 E 1700 S,Bountiful,UT,84010,,40.8711111,-111.8741667,+1-801-295-3621
us-ut-bountiful-st-olaf-e552f6f9,St. Olaf,276,E,1700,,S,,,276 E 1700 S,Bountiful,UT,84010,,40.87098038,-111.87449692,(801) 295-3621
us-ut-brigham-city-st-henry-295299e3,St. Henry,380,S,200,,E,,,380 S 200 E,Brigham City,UT,84302,,41.50332675,-112.01323397,(435) 723-2941
us-ut-bryce-canyon-city-st-dominic-33f811ed,St. Dominic,,,S 100 W,,,,,S 100 W,Bryce Canyon City,UT,84764,,37.68975087,-112.15420532,(435) 586-8298
us-ut-cedar-city-christ-the-king-186f1c92,Christ the King,690,S,Cove,Dr,,,,690 S Cove Dr,Cedar City,UT,84720,,37.66449,-113.093086,(435) 586-8298
us-ut-central-valley-st-elizabeth-catholic-church-f90ffa9f,St Elizabeth Catholic Church,815,,UT-118,,,,,815 UT-118,Central Valley,UT,84754,,38.7197179,-112.1032322,+1-435-896-5539
us-ut-central-valley-st-elizabeth-4ff4fbd7,St. Elizabeth,810,N,SR 118,,,,,810 N SR 118,Central Valley,UT,84754,,38.71958832,-112.1032863,(435) 896-5539
us-ut-clearfield-christ-prince-of-peace-catholic-community-hill-afb-700e51f9,Christ Prince of Peace Catholic Community (Hill AFB),5711,,E,Ave,,,,5711 E Avenue,Clearfield,UT,84056,,41.10637725,-111.98204991,801-586-2952
us-ut-copperton-immaculate-conception-f4862868,Immaculate Conception,8892,W,State,Hwy,,,,8892 W State Hwy,Copperton,UT,84006,,40.56470736,-112.10286229,(801) 569-2706
us-ut-cottonwood-heights-st-thomas-more-f34455d0,St. Thomas More,3015,E,Creek,Rd,,,,3015 E Creek Rd,Cottonwood Heights,UT,84093,6575,40.60478569,-111.80738068,(801) 942-5285
