Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Mass,Mon,8:30 AM,,Mass,specific_weekday,English,Immaculate Conception,,,,,
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Mass,Wed,8:30 AM,,Mass,specific_weekday,English,Immaculate Conception,,,,,
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Mass,Fri,8:30 AM,,Mass,specific_weekday,English,Immaculate Conception,,,,,
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Mass,Sat,5:00 PM,,Mass,saturday,english,Immaculate Conception,,,,,
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Mass,Sun,8:00 AM,,Mass,sunday,english,Immaculate Conception,,,,,
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Confession,Sat,4:15 PM,5:00 PM,Confession,saturday,English,Immaculate Conception,,,,,note: Before Mass or by Appointment
Abbey of the Immaculate Heart of Mary,"4103 Rte 100, Westfield, Vermont 05874",18027446525,Adoration,,12:00 AM,11:59 PM,Adoration,daily,English,Immaculate Conception,,,,,chapel; note: Perpetual. Contact Parish Office for after-hours access
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,Mon,8:00 AM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,Tue,6:00 PM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,Wed,8:00 AM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,Fri,8:00 AM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,Sat,5:00 PM,,Celebration of the Most Holy Mass,saturday,english,All Saints,,,,,vigil
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,Sun,8:15 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Mass,,8:00 AM,,Daily Mass,special_event,English,,,2026-01-16,,,Daily Mass
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Confession,Sat,4:15 PM,4:45 PM,Sacrament of Reconciliation,saturday,English,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Confession,Sat,4:15 PM,,Confessions,other,English,,,,,,"Sundays 07:30, and by appointment; at All Saints"
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Confession,Sun,7:30 AM,8:00 AM,Sacrament of Reconciliation,sunday,English,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Devotions,Fri,9:00 AM,10:00 AM,Rosary Cenacles,specific_weekday,English,All Saints,,,,,
All Saints,"152 Main St, Richford, Vermont 05476",(802) 848-7741,Devotions,,9:00 AM,10:00 AM,Friday Rosary Cenacles,special_event,English,,,2026-01-16,,,Friday Rosary Cenacles
All Saints (Gate of Heaven Parish),"163 Main St, Lancaster, New Hampshire 03584",(603) 788-2083 or (603) 788-5553 (Emergencies only),Mass,Sun,10:00 AM,,Mass,sunday,English,All Saints Church,,,,,livestream
All Saints (Gate of Heaven Parish),"163 Main St, Lancaster, New Hampshire 03584",(603) 788-2083 or (603) 788-5553 (Emergencies only),Community,,6:00 PM,,KofC #1624 Planning Meeting,special_event,English,All Saints Church St. Joseph's Room,,2026-03-02,,,KofC #1624 Planning Meeting; note: 18:00 Dinner 18:30 Rosary 19:00-20:00 Business Meeting
All Saints (Gate of Heaven Parish),"163 Main St, Lancaster, New Hampshire 03584",(603) 788-2083 or (603) 788-5553 (Emergencies only),Community,,6:00 PM,7:00 PM,KofC #1624 Planning Meeting,parish_event,English,All Saints Church St. Joseph's Room,,,,,18:00 Dinner 18:30 Rosary 19:00-20:00 Business Meeting
All Saints (Gate of Heaven Parish),"163 Main St, Lancaster, New Hampshire 03584",(603) 788-2083 or (603) 788-5553 (Emergencies only),Other,,3:00 PM,,Cenacle of St. Monica,special_event,English,,,2026-02-26,,,Cenacle of St. Monica; note: All are welcome to join
All Saints (Gate of Heaven Parish),"163 Main St, Lancaster, New Hampshire 03584",(603) 788-2083 or (603) 788-5553 (Emergencies only),Other,,3:00 PM,,Cenacle of St. Monica,special_event,English,,,2026-03-12,,,Cenacle of St. Monica; note: All are welcome to join
All Saints (Gate of Heaven Parish),"163 Main St, Lancaster, New Hampshire 03584",(603) 788-2083 or (603) 788-5553 (Emergencies only),Other,,3:00 PM,5:00 PM,Cenacle of St. Monica,parish_event,English,,,,,,
