slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-vt-alburg-st-amadeus-718de649,St. Amadeus,9,N,Main,St,,,,9 N Main St,Alburg,VT,05440,,44.97792383,-73.29980506,(802) 796-3481
us-vt-arlington-charterhouse-of-transfiguration-069b8948,Charterhouse of Transfiguration,1084,,,Ave,,,,1084 Ave Maria Way,Arlington,VT,05250,,43.1591875,-73.1491875,18023622550
us-vt-arlington-church-of-st-margaret-mary-10168ffa,St. Margaret Mary,3938,,Rt 7A,,,,,3938 Rt 7A,Arlington,VT,05250,,43.0756875,-73.1535625,18023621380
us-vt-barre-st-monica-e83a2855,St. Monica,79,,Summer,St,,,,79 Summer St,Barre,VT,05641,,44.20172203,-72.50422529,(802) 479-3253
us-vt-barton-holy-trinity-parish-st-paul-02261e4d,Holy Trinity Parish - St. Paul ,85,,St Paul,Ln,,,,85 St Paul Ln,Barton,VT,05822,,44.74726839,-72.17477786,(802) 525-3711
us-vt-bellows-falls-st-charles-9244e2aa,St. Charles,31,,Cherry Hill,St,,,,31 Cherry Hill St,Bellows Falls,VT,05101,,43.13486238,-72.44827858,(802) 732-8721
us-vt-bennington-sacred-heart-st-francis-de-sales-29f74674,Sacred Heart–St. Francis de Sales,238,W,Main,St,,,,238 W Main St,Bennington,VT,05201,,42.88048052,-73.20093104,(802) 442-3141
us-vt-bethel-st-anthony-d2ad79ad,St. Anthony,221,,Church,St,,,,221 Church St,Bethel,VT,05032,,43.83044166,-72.63762232,(802) 728-5251
us-vt-bradford-our-lady-of-perpetual-help-068f5471,Our Lady of Perpetual Help Church,113,,Upper Plain,,,,,113 Upper Plain,Bradford,VT,05033,,44.00255909,-72.11788837,(802) 222-5268
us-vt-brandon-our-lady-of-good-help-aeb6832a,Our Lady Of Good Help,38,,Carver,St,,,,38 Carver St,Brandon,VT,05733,,43.79470371,-73.08228038,(802) 247-6351
us-vt-brattleboro-st-michael-b36b7117,St. Michael,47,,Walnut,St,,,,47 Walnut St,Brattleboro,VT,05301,,42.85593237,-72.55781025,(802) 257-5101
us-vt-bridport-st-bernadette-a76dafb3,St. Bernadette,9,,Crown Point,Rd,,,,9 Crown Point Rd,Bridport,VT,05753,,43.98473611,-73.31369224,(802) 388-2943
