Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Airport Chapel,"B22 Ronald Reagan Washington National Airport Access Rd, Arlington, VA 22202",,Other,,TBD,,Christopher D. Bell Joins Airports Authority Board,special_event,English,,,2025-07-18,,,Christopher D. Bell Joins Airports Authority Board; The Metropolitan Washington Airports Authority welcomed Christopher D. Bell on July 16; 2025; to its board of directors for a six-year term.
Airport Chapel,"B22 Ronald Reagan Washington National Airport Access Rd, Arlington, VA 22202",,Other,,TBD,,"New Airport Dining, Shopping and Parking Options Announced",special_event,English,,,2025-09-17,,,"New Airport Dining, Shopping and Parking Options Announced; Leaders announced the first concessions selected for Concourse E; which is now under construction at Dulles International Airport; as well as a new premium parking option that launched in September at Reagan National Airport."
Airport Chapel,"B22 Ronald Reagan Washington National Airport Access Rd, Arlington, VA 22202",,Other,,TBD,,Reagan National Prepares for Busy Holiday Season,special_event,English,,,2025-11-06,,,Reagan National Prepares for Busy Holiday Season; With airport travel at high levels; passengers should make plans for a smooth journey
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Mon,12:00 PM,,Mass,specific_weekday,English,Basilica of Saint Andrew,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Mon,7:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Mon,8:30 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Tue,12:00 PM,,Mass,specific_weekday,English,Basilica of Saint Andrew,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Tue,12:00 PM,,Mass,specific_weekday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Tue,12:00 PM,,Mass,specific_weekday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Tue,12:10 PM,,Mass,specific_weekday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Tue,12:10 PM,,Mass,specific_weekday,English,Blessed Sacrament,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Tue,7:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Tue,8:30 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Tue,9:00 AM,,Mass,specific_weekday,English,Church of Francis de Sales,,,,,4011
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Wed,12:00 PM,,Mass,specific_weekday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Wed,12:00 PM,,Mass,specific_weekday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Wed,12:00 PM,,Mass,specific_weekday,English,Basilica of Saint Andrew,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Wed,12:10 PM,,Mass,specific_weekday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Wed,6:00 PM,,Mass,specific_weekday,English,Christ the King,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Wed,6:00 PM,,Mass,specific_weekday,English,Blessed Sacrament,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Wed,7:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Wed,8:30 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Thu,12:00 PM,,Mass,specific_weekday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Thu,12:00 PM,,Mass,specific_weekday,English,Basilica of Saint Andrew,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Thu,12:10 PM,,Mass,specific_weekday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Thu,7:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Thu,7:00 PM,,Mass,specific_weekday,spanish,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Thu,8:00 AM,,Mass,specific_weekday,English,Christ the King,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Thu,8:30 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Thu,9:00 AM,,Mass,specific_weekday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Fri,12:00 PM,,Mass,specific_weekday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Fri,12:00 PM,,Mass,specific_weekday,English,Basilica of Saint Andrew,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Fri,12:10 PM,,Mass,specific_weekday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Fri,12:10 PM,,Mass,specific_weekday,English,Christ the King,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Fri,12:10 PM,,Mass,specific_weekday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Fri,7:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Fri,8:30 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Fri,9:00 AM,,Mass,specific_weekday,English,Church of Francis de Sales,,,,,4011
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sat,5:00 PM,,Vigil Mass,saturday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sat,5:00 PM,,Mass,saturday,English,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sat,5:30 PM,,Vigil Mass,saturday,English,Basilica of Saint Andrew,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sat,5:30 PM,,Mass,saturday,english,All Saints,,,,,vigil
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sat,8:00 AM,,Mass,saturday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,10:00 AM,,Mass,sunday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,10:30 AM,,Mass,sunday,English,Anglican/ Roman Catholic Community of Holy Apostles,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,11:00 AM,,Mass,sunday,English,Church of Francis de Sales,,,,,4011
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,11:00 AM,,Mass,sunday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,11:00 AM,,Mass,sunday,English,Blessed Sacrament,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,11:30 AM,,Mass,sunday,english,All Saints,,,,,livestream
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,11:30 PM,,Mass,sunday,English,Basilica of Saint Andrew,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,12:00 PM,,Mass,sunday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,1:00 PM,,Mass,sunday,spanish,Blessed Sacrament,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,1:30 PM,,Mass,sunday,spanish,All Saints,,,,,livestream
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,3:30 PM,,Mass,sunday,spanish,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,5:00 PM,,Mass,sunday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,5:30 PM,,Mass,sunday,english,All Saints,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,7:00 PM,,Mass,sunday,spanish,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,7:30 AM,,Mass,sunday,English,Basilica of Saint Andrew,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,7:30 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,8:00 AM,,Mass,sunday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,8:30 AM,,Mass,sunday,English,Blessed Sacrament,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,9:00 AM,,Mass,sunday,English,Basilica of Saint Mary of the Immaculate Conception,,,,,Signing
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,9:00 AM,,Mass,sunday,English,Christ the King,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,9:00 AM,,Mass,sunday,English,Basilica of Saint Andrew,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,Sun,9:00 AM,,Mass,sunday,English,Cathedral of the Sacred Heart,,,,,
All Saints,"9300 Stonewall Rd, Manassas, Virginia 20110",17033932144,Mass,Sun,9:30 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,,12:00 PM,,Holy Day Mass,special_event,English,Blessed Sacrament,,2025-01-01,,,Holy Day Mass; This does not include Christmas & Easter.
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,,12:10 PM,,Holy Day Mass,special_event,English,Basilica of Saint Mary of the Immaculate Conception,,2025-01-01,,,Holy Day Mass
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,,6:00 PM,,Holy Day Mass,special_event,English,Blessed Sacrament,,2025-01-01,,,Holy Day Mass; This does not include Christmas & Easter.
All Saints,"598 Needmore Ln N.E, Floyd, Virginia 24091",(276) 236-7814,Mass,,6:30 PM,,Holy Day Mass,special_event,English,Church of Francis de Sales,,2025-01-01,,,Holy Day Mass; 4011
