Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,10:00 AM,,Mass,English,Blessed Sacrament,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,10:30 AM,,Mass,English,Anglican/ Roman Catholic Community of Holy Apostles,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,11:00 AM,,Mass,English,Church of Francis de Sales,4011
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,11:00 AM,,Mass,English,Cathedral of the Sacred Heart,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,11:00 AM,,Mass,English,Blessed Sacrament,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,11:30 AM,,Mass,english,All Saints,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,11:30 PM,,Mass,English,Basilica of Saint Andrew,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,12:00 PM,,Mass,English,Basilica of Saint Mary of the Immaculate Conception,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,1:00 PM,,Mass,spanish,Blessed Sacrament,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,1:30 PM,,Mass,spanish,All Saints,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,3:30 PM,,Mass,spanish,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,5:00 PM,,Mass,English,Cathedral of the Sacred Heart,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,5:30 PM,,Mass,english,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,7:00 PM,,Mass,spanish,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,7:30 AM,,Mass,English,Basilica of Saint Andrew,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,7:30 AM,,Mass,english,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,8:00 AM,,Mass,English,Blessed Sacrament,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,8:30 AM,,Mass,English,Blessed Sacrament,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,9:00 AM,,Mass,English,Basilica of Saint Mary of the Immaculate Conception,Signing
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,9:00 AM,,Mass,English,Christ the King,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,9:00 AM,,Mass,English,Basilica of Saint Andrew,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"598 Needmore Ln N.E, Floyd",(276) 236-7814,Mass,9:00 AM,,Mass,English,Cathedral of the Sacred Heart,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints,"9300 Stonewall Rd, Manassas",17033932144,Mass,9:30 AM,,Mass,english,All Saints,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,11:30 AM,,Mass,english,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,1:30 PM,,Mass,spanish,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,3:30 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,5:30 PM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,7:00 PM,,Mass,spanish,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,7:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,All Saints Catholic Church,"9300 Stonewall Rd, Manassas",(703) 368-4500,Mass,9:30 AM,,Mass,english,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,American University (Kay Spiritual Center),"4001 Yuma St NW, Washington",(202) 885-3327,Mass,12:00 PM,,Mass,English,Kay,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"3810 Massachusetts Ave NW, Washington",(202) 362-3323,Mass,10:00 AM,,Mass,English,,livestream
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"3810 Massachusetts Ave NW, Washington",(202) 362-3323,Mass,12:00 PM,,Mass,English,,tags
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation,"3810 Massachusetts Ave NW, Washington",(202) 362-3323,Mass,8:00 AM,,Mass,English,,tags
"Sun, Feb 22, 2026",2026-02-22,Sunday,Annunciation of Blessed Virgin Mary (Ukrainian),"6719 Token Valley Rd, Manassas",(703) 791-6635,Mass,8:30 AM,,Divine Liturgy,bilingual,Annunciation of the Blessed Virgin Mary Ukrainian Catholic Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"4853 Princess Anne Rd, Virginia Beach",(757) 495-1886,Mass,10:30 AM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"12700 Lanham-Severn Rd, Bowie",(301) 262-2227,Mass,12:00 PM,,Mass,english,Ascension Catholic Church,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"4853 Princess Anne Rd, Virginia Beach",(757) 495-1886,Mass,12:30 PM,,Mass,English,,
"Sun, Feb 22, 2026",2026-02-22,Sunday,Ascension,"12700 Lanham-Severn Rd, Bowie",(301) 262-2227,Mass,7:30 AM,,Mass,english,Ascension Catholic Church,
