slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-va-abingdon-christ-the-king-d0b23642,Christ the King,820,E,Main,St,,,,820 E Main St,Abingdon,VA,24210,,36.71609686,-81.94634866,(276) 628-2941
us-va-aldie-corpus-christi-catholic-church-16594243,Corpus Christi Catholic Church,41685,,Corpus Christi,Dr,,,,41685 Corpus Christi Dr,Aldie,VA,20105,,38.94228944,-77.56100705,(703) 378-1037
us-va-alexandria-blessed-sacrament-70666231,Blessed Sacrament,1427,W,Braddock,Rd,,,,1427 W Braddock Rd,Alexandria,VA,22302,,38.82728555,-77.08352047,(703) 998-6100
us-va-alexandria-good-shepherd-dfda5c0e,Good Shepherd,8710,,Mt Vernon,Hwy,,,,8710 Mt Vernon Hwy,Alexandria,VA,22309,,38.72033528,-77.09213326,(703) 780-4055
us-va-alexandria-poor-clare-monestary-5b0233c9,Poor Clare Monestary,2505,,Stonehedge,Dr,,,,2505 Stonehedge Dr,Alexandria,VA,22306,,38.76064687,-77.0756464,(703) 768-4918
us-va-alexandria-queen-of-apostles-3e3e7d13,Queen of Apostles,4401,,Sano,St,,,,4401 Sano St,Alexandria,VA,22312,,38.82859929,-77.14327003,(703) 354-8711
us-va-alexandria-st-joseph-1b55edbe,St. Joseph,711,N,Columbus,St,,,,711 N Columbus St,Alexandria,VA,22314,,38.81221481,-77.04634656,(703) 836-3725
us-va-alexandria-st-lawrence-catholic-church-c7c4dc3e,St. Lawrence,6222,,Franconia,Rd,,,,6222 Franconia Rd,Alexandria,VA,22310,2511,38.78203,-77.153595,(703) 971-4378
us-va-alexandria-st-louis-cb04718c,St. Louis,2907,,Popkins,Ln,,,,2907 Popkins Ln,Alexandria,VA,22306,,38.76430071,-77.08290609,(703) 765-4421
us-va-alexandria-st-rita-a8e34500,St. Rita,3815,,Russell,Rd,,,,3815 Russell Rd,Alexandria,VA,22305,,38.83895233,-77.06359907,(703) 836-1640
us-va-alexandria-basilica-of-saint-mary-3eb3e79a,The Basilica of St. Mary,310,S,Royal,St,,,,310 S Royal St,Alexandria,VA,22314,,38.8018494,-77.04389939,(703) 836-4100
us-va-amelia-good-samaritan-2eca8ebc,Good Samaritan,13441,,Patrick Henry,Hwy,,,,13441 Patrick Henry Hwy,Amelia,VA,23002,,37.37124229,-77.9195783,(804) 639-6712
us-va-amherst-st-francis-of-assisi-63db699f,St. Francis of Assisi,332,S,Main,St,,,,332 S Main St,Amherst,VA,24521,,37.58281326,-79.05761719,(434) 946-2053
us-va-annandale-epiphany-of-our-lord-e15f3ce4,Epiphany of Our Lord,3410,,Woodburn,Rd,,,,3410 Woodburn Rd,Annandale,VA,22003,,38.85239294,-77.23205073,(703) 573-3986
us-va-annandale-holy-spirit-6c52a399,Holy Spirit,8800,,Braddock,Rd,,,,8800 Braddock Rd,Annandale,VA,22003,4165,38.81224697,-77.25013224,(703) 978-8074
us-va-annandale-st-ambrose-55a4c411,St. Ambrose,3901,,Woodburn,Rd,,,,3901 Woodburn Rd,Annandale,VA,22003,,38.84092529,-77.24307744,703-280-4400
us-va-annandale-st-michael-95f7cc51,St. Michael,7401,,Saint Michael's,Ln,,,,7401 Saint Michael's Ln,Annandale,VA,22003,,38.82299761,-77.19903295,(703) 256-7822
us-va-appomattox-our-lady-of-peace-79e6621f,Our Lady of Peace,2938,,Oakleigh,Ave,,,,2938 Oakleigh Ave,Appomattox,VA,24522,,37.36925805,-78.78308773,(434) 352-0104
us-va-arlington-airport-chapel-4071aac5,Airport Chapel,,,B22 Ronald Reagan Washington National Airport Access,Rd,,,,B22 Ronald Reagan Washington National Airport Access Rd,Arlington,VA,22202,,38.8536513,-77.0432307,
us-va-arlington-cathedral-of-st-thomas-more-381d2a07,Cathedral of St. Thomas More,3901,,Cathedral,Ln,,,,3901 Cathedral Ln,Arlington,VA,22203,,38.87073093,-77.10346364,(703) 525-1300
us-va-arlington-holy-martyrs-of-vietnam-2d35de87,Holy Martyrs of Vietnam,915,S,Wakefield,St,,,,915 S Wakefield St,Arlington,VA,22204,,38.85878235,-77.10622904,(703) 553-0370
us-va-arlington-marymount-university-sacred-heart-of-mary-chapel-963196aa,Marymount University (Sacred Heart of Mary Chapel),2807,N,Glebe,Rd,,,,2807 N Glebe Rd,Arlington,VA,22207,,38.9052963,-77.12847,(703) 284-1607
us-va-arlington-our-lady-of-lourdes-045e2d16,Our Lady of Lourdes,830,S,23rd,St,,,,830 S 23rd St,Arlington,VA,22202,,38.85302442,-77.06055262,(703) 684-9261
us-va-arlington-our-lady-queen-of-peace-e68577e2,"Our Lady, Queen of Peace",2700,S,19th,St,,,,2700 S 19th St,Arlington,VA,22204,5298,38.85423951,-77.08269644,(703) 979-5580
us-va-arlington-ronald-reagan-national-airport-7ae00a4a,Ronald Reagan National Airport,,,Ronald Reagan National Airport,,,,,Ronald Reagan National Airport,Arlington,VA,,,38.8512421,-77.04023,(703) 417-1750
us-va-arlington-st-agnes-aa17ac1d,St. Agnes,1910,N,Randolph,St,,,,1910 N Randolph St,Arlington,VA,22207,3046,38.89481259,-77.11117857,(703) 525-1166
us-va-arlington-st-ann-c0c1cbcd,St. Ann,5300,N,10th,St,,,,5300 N 10th St,Arlington,VA,22205,,38.88112241,-77.12728539,(703) 528-6276
us-va-arlington-st-charles-catholic-church-46f0b2ba,St. Charles Catholic Church,3304,,Washington,Blvd,,,,3304 Washington Blvd,Arlington,VA,22201,4506,38.88528464,-77.09907894,(703) 527-5500
us-va-ashburn-st-theresa-89d9ee03,St. Theresa,21371,,St Theresa,Ln,,,,21371 St Theresa Ln,Ashburn,VA,20147,,39.02548678,-77.50162755,(703) 729-2287
us-va-ashland-st-ann-fb68454c,St. Ann,105,S,Snead,St,,,,105 S Snead St,Ashland,VA,23005,,37.75884863,-77.48826326,(804) 798-5039
us-va-barhamsville-poor-clare-monastery-b4ee0ef3,Poor Clare Monastery,5500,,Holly Fork,Rd,,,,5500 Holly Fork Rd,Barhamsville,VA,23011,,37.77237247,-78.1834062,(757) 566-1684 
us-va-basye-our-lady-of-the-shenandoah-74262c05,Our Lady of the Shenandoah,240,,Fritzel,Way,,,,240 Fritzel Way,Basye,VA,22810,,38.81602829,-78.76533391,(540) 459-4448
us-va-bedford-holy-name-of-mary-8e3dfa4b,Holy Name of Mary,1307,,Oakwood,St,,,,1307 Oakwood St,Bedford,VA,24523,,37.34556922,-79.51445383,(540) 586-8988
us-va-berryville-holy-cross-abbey-80eee042,Holy Cross Abbey,901,,Cool Spring,Ln,,,,901 Cool Spring Ln,Berryville,VA,22611,2700,39.1460625,-77.8774375,
us-va-berryville-st-bridget-of-ireland-343ff78d,St Bridget of Ireland Church,1024,W,Main,St,,,,1024 W Main St,Berryville,VA,22611,,39.16679483,-78.00088193,(540) 277-2943
us-va-big-stone-gap-sacred-heart-48d57f7d,Sacred Heart,1821,,Holton,Ave,,,,1821 Holton Ave,Big Stone Gap,VA,24219,,36.87557168,-82.76183118,(276) 523-1588
us-va-big-stone-gap-sacred-heart-catholic-church-90f84361,Sacred Heart Catholic Church,1821,,Holton,Ave,E,,,1821 Holton Ave E,Big Stone Gap,VA,24219,,36.8768531,-82.7568397,+1-276-523-1588
us-va-blacksburg-newman-community-739e54a0,Newman Community,203,,Otey,St,,,,203 Otey St,Blacksburg,VA,24060,,37.22770876,-80.41637395,(540) 951-0032
us-va-blacksburg-st-mary-bc5d39df,St. Mary,1205,,Old Mill,Rd,,,,1205 Old Mill Rd,Blacksburg,VA,24060,,37.21980286,-80.46609497,(540) 552-1091
us-va-blackstone-immaculate-heart-of-mary-6fb839d4,Immaculate Heart of Mary,903,S,Main,St,,,,903 S Main St,Blackstone,VA,23824,,37.07072449,-78.00198364,(434) 392-3934
us-va-bristol-st-anne-50bcbd22,St. Anne,316,,Euclid,Ave,,,,316 Euclid Ave,Bristol,VA,24201,4014,36.60750386,-82.17849654,(276) 669-8200
us-va-bumpass-immaculate-conception-bf8ff205,Immaculate Conception,1107,,Fredericks Hall,Rd,,,,1107 Fredericks Hall Rd,Bumpass,VA,23024,,37.959778,-77.772574,540-872-3922
us-va-burke-nativity-caf28c75,Nativity,6400,,Nativity,Ln,,,,6400 Nativity Ln,Burke,VA,22015,,38.77691918,-77.27999766,(703) 455-2400
us-va-cape-charles-church-of-st-charles-ecb7b220,St. Charles,545,,Randolph,Ave,,,,545 Randolph Ave,Cape Charles,VA,23310,3305,37.2683125,-76.0131875,17573312040
