Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Mon,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Mon,8:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Tue,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Tue,8:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Wed,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Wed,8:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Wed,8:30 AM,,School Mass,specific_weekday,English,All Saints Parish,,,,,note: during the school year only and is 60 minutes
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Wed,8:30 AM,,Mass,specific_weekday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Thu,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Thu,8:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Fri,8:00 AM,,Mass,weekday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Fri,8:00 AM,,Mass,weekday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sat,5:00 PM,,Vigil Mass,saturday,english,All Saints Parish,,,,,vigil
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sat,5:00 PM,,Mass,saturday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sat,8:00 AM,,Mass,saturday,english,All Saints Parish,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sun,10:30 AM,,Mass,sunday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,11:00 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,12:00 PM,,Mass,sunday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,5:00 PM,,Mass,sunday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,7:00 PM,,Mass,sunday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,Sun,8:30 AM,,Mass,sunday,english,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,8:30 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,8:30 PM,,Mass,sunday,bilingual,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Mass,Sun,9:00 AM,,Mass,sunday,english,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Mass,,9:00 AM,,New Years Day Mass,special_event,English,All Saints Parish,,2026-01-01,,,New Years Day Mass
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Confession,Sat,3:30 PM,4:30 PM,Confession,saturday,English,All Saints,,,,,
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Confession,Sat,4:00 PM,4:45 PM,Confessions,saturday,English,All Saints Parish,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Confession,,6:30 PM,,Confession,special_event,English,All Saints,,2026-03-11,,,Confession
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Adoration,Tue,8:30 AM,10:00 AM,Adoration,specific_weekday,English,All Saints,,,,,exposition
All Saints,"3847 NE Glisan St, Portland, Oregon 97232",(503) 232-4305,Adoration,,8:40 AM,9:40 AM,Adoration,monthly,English,All Saints Parish,first_saturday_(recurring),,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Devotions,Mon,8:30 AM,,Rosary,specific_weekday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Devotions,Wed,8:00 AM,,Rosary,specific_weekday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Devotions,Thu,8:30 AM,,Rosary,specific_weekday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Devotions,Fri,8:30 AM,,Chaplet of Divine Mercy,specific_weekday,english,All Saints,,,,,
All Saints,"503 3rd St S.W, Puyallup, Washington 98371-5880",(253) 845-7521,Other,,6:00 PM,9:00 PM,Bags & Brews,parish_event,English,,,2026-02-19,,,check bulletin; note: donation drive
