Date,Date Sort,Day,Church,Address,Phone,Category,Time,End Time,Service Name,Language,Location,Notes
"Mon, Feb 23, 2026",2026-02-23,Monday,All Saints,"503 3rd St S.W, Puyallup",(253) 845-7521,Mass,8:00 AM,,Mass,english,All Saints,
"Mon, Feb 23, 2026",2026-02-23,Monday,Assumption of the Blessed Virgin Mary,"3624 W Indian Trail Rd, Spokane",(509) 326-0144,Mass,8:00 AM,,Mass,english,Assumption of the Blessed Virgin Mary,
"Mon, Feb 23, 2026",2026-02-23,Monday,Benedictine Abbey of St. Martin,"5000 Abbey Way SE, Lacey",,Mass,4:45 PM,,Conventual Mass,English,Abbey Church,note: Fall and Winter Schedule
"Mon, Feb 23, 2026",2026-02-23,Monday,Benedictine Abbey of St. Martin,"5000 Abbey Way SE, Lacey",,Mass,8:00 AM,,Conventual Mass,English,Abbey Church,note: Summer and Christmas Break Schedule
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"5041 9th Ave NE, Seattle",(206) 547-3020,Mass,5:30 PM,,Daily Mass,English,,audio-streamed
"Mon, Feb 23, 2026",2026-02-23,Monday,Blessed Sacrament,"5041 9th Ave NE, Seattle",(206) 547-3020,Mass,7:30 AM,,Daily Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of Our Lady of Lourdes,"1115 W Riverside Ave, Spokane",(509) 358-4290,Mass,12:00 PM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Cathedral of Our Lady of Lourdes,"1115 W Riverside Ave, Spokane",(509) 358-4290,Mass,7:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Catholic Newman Center & Prince of Peace Chapel at UW,"4502 20th Ave N.E, Seattle",(206) 527-5072,Mass,12:35 PM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"1111 Stevens Dr, Richland",(509) 946-1675,Mass,6:30 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"1111 Stevens Dr, Richland",(509) 946-1675,Mass,8:00 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"1111 Stevens Dr, Richland",(509) 946-1675,Mass,8:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Christ the King,"405 N 117th St, Seattle",(206) 362-1545,Mass,8:45 AM,,Mass,english,St. Luke Parish,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Apostles,"1315 NE Eight St, East Wenatchee",(509) 884-5444,Mass,9:00 AM,,Mass,english,Holy Apostles Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Cross,"5510 N 44 St, Tacoma",(253) 759-3368,Mass,9:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"5315 Tieton Dr, Yakima",(509) 966-0830,Mass,12:10 PM,,Mass,english,Holy Family,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"5315 Tieton Dr, Yakima",(509) 966-0830,Mass,7:00 AM,,Mass,english,Holy Family,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"1109 Chestnut St, Clarkston",(509) 758-6102,Mass,8:00 AM,,Mass,English,Holy Family Catholic Church,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Family,"7045 120th Ave N.E, Kirkland",(425) 822-0295,Mass,8:40 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Redeemer,"1707 S 3rd Ave, Yakima",(509) 248-2241,Mass,8:00 AM,,Mass,english,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Redeemer,"17010 N.E 9th St, Vancouver",(360) 885-7780,Mass,8:30 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Rosary,"4210 S.W Genesee St, Seattle",(206) 935-8353,Mass,10:30 AM,,Mass,English,Church Building,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"7409 W Clearwater Ave, Kennewick",(509) 735-8558,Mass,9:00 AM,,Mass,English,Holy Spirit,livestream; note: Mondays during Lent
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Spirit,"310 3rd Ave S, Kent",(253) 859-0444,Mass,TBD,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Holy Trinity,"210 S Schuster St, Goldendale",(509) 773-4516,Mass,9:00 AM,,Mass,English,,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Conception,"2501 Hoyt Ave, Everett",(425) 349-7014,Mass,9:00 AM,,Mass,english,Our Lady of Hope Church/2501 Hoyt,
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"719 Ferry St, Sedro Woolley",(360) 855-0077,Mass,8:30 AM,,Mass,English,"Immaculate Heart of Mary, Sedro-Woolley",
"Mon, Feb 23, 2026",2026-02-23,Monday,Immaculate Heart of Mary,"719 Ferry St, Sedro Woolley",(360) 855-0077,Mass,9:30 AM,,Mass,English,"Immaculate Heart of Mary, Sedro-Woolley",
"Mon, Feb 23, 2026",2026-02-23,Monday,Mary Queen of Heaven,"200 W Alder St, Sprague",(509) 723-1459,Mass,7:00 AM,,Mass,English,"Mary Queen of Heaven, Sprague, WA",
"Mon, Feb 23, 2026",2026-02-23,Monday,Mary Queen of Peace,"1121 228th Ave S.E, Sammamish",(425) 391-1178,Mass,9:00 AM,,Mass,English,,livestream
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Catherine,"45603 Limestone St, Concrete",(360) 855-0077,Mass,8:30 AM,,Mass,English,"St. Catherine, Concrete",
"Mon, Feb 23, 2026",2026-02-23,Monday,Mission of St. Joseph,"136 N 4th St, Kalama",,Mass,9:00 AM,,Mass,English,St. Joseph in Kalama,
