slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-wa-aberdeen-st-mary-72c2290c,St. Mary,306,E,3rd,St,,,,306 E 3rd St,Aberdeen,WA,98520,4007l,46.97916616,-123.8186106,(360) 532-8300
us-wa-anacortes-st-mary-b37dcdb8,St. Mary,4001,,St Mary's,Dr,,,,4001 St Mary's Dr,Anacortes,WA,98221,,48.48823949,-122.60687544,(360) 293-2101
us-wa-anderson-island-anderson-island-community-church-971dfbf5,Anderson Island Community Church,11405,,Yoman,Rd,,,,11405 Yoman Rd,Anderson Island,WA,98303,,47.1737597,-122.6909675,
us-wa-arlington-immaculate-conception-7a046e0d,Immaculate Conception,1200,E,5th,St,,,,1200 E 5th St,Arlington,WA,98223,,48.196537,-122.114105,(360) 435-8565
us-wa-auburn-holy-family-d043f4a1,Holy Family,505,,17th,St,SE,,,505 17th St SE,Auburn,WA,98002,,47.2940025,-122.2231,(253) 833-5130
us-wa-bainbridge-island-st-cecilia-1803fb48,St. Cecilia,1310,,Madison,Ave,N,,,1310 Madison Ave N,Bainbridge Island,WA,98110,,47.6365051,-122.520439,(206) 842-3594
us-wa-basin-city-san-juan-diego-a304118c,San Juan Diego,440,,Bailie,Blvd,,,,440 Bailie Blvd,Basin City,WA,99326,,46.59625004,-119.15112734,(509) 845-1919
us-wa-battle-ground-sacred-heart-bb3bdec3,Sacred Heart,1603,,N,Pkwy,,,,1603 N Parkway Ave,Battle Ground,WA,98604,,45.7921257,-122.53661346,(360) 687-4515
us-wa-battle-ground-sacred-heart-church-db6f16ff,Sacred Heart Church,1603,,N,Pkwy,,,,1603 N Parkway Ave,Battle Ground,WA,98604,,45.7927593,-122.535476,+1-360-687-4515
us-wa-belfair-prince-of-peace-9bbd9e7b,Mission of the Prince of Peace,1171,,Sand Hill,Rd,,,,1171 Sand Hill Rd,Belfair,WA,98528,,47.46236392,-122.84843445,(360) 275-8760
us-wa-bellevue-sacred-heart-72f20a95,Sacred Heart,9460,NE,14th,St,,,,9460 N.E 14th St,Bellevue,WA,98004,,47.62320794,-122.21336332,(425) 454-9536
us-wa-bellevue-st-louise-de-marillac-0d40201e,St. Louise de Marillac,141,,156th,,SE,,,141 156th S.E,Bellevue,WA,98007,,47.60846455,-122.13305521,(425) 747-4450
us-wa-bellevue-st-madeleine-sophie-9707cbf4,St. Madeleine Sophie,4400,,130th,Pl,SE,,,4400 130th Pl S.E,Bellevue,WA,98006,,47.56627676,-122.16570366,(425) 747-6770
us-wa-bellingham-church-of-the-assumption-5db47982,Assumption,2116,,Cornwall,Ave,,,,2116 Cornwall Ave,Bellingham,WA,98225,,48.75797557,-122.47466243,(360) 733-1380
us-wa-bellingham-st-joachim-05b91651,Mission of St. Joachim,4180,,Lummi Shore,Rd,,,,4180 Lummi Shore Rd,Bellingham,WA,98226,,48.79368883,-122.61367736,(360) 384-3651
us-wa-bellingham-newman-catholic-campus-ministry-dde1528f,Newman Catholic Campus Ministry,,,714A N Garden,St,,,,714A N Garden St,Bellingham,WA,98225,,48.7413125,-122.4833125,13604100218
us-wa-bellingham-sacred-heart-36fb709c,Sacred Heart,1110,,14th,St,,,,1110 14th St,Bellingham,WA,98225,,48.72224472,-122.49966558,(360) 734-2850
us-wa-benton-city-st-frances-xavier-cabrini-2e5358b2,St. Frances Xavier Cabrini,1000,,Horne,Dr,,,,1000 Horne Dr,Benton City,WA,99320,,46.27358627,-119.4914093,(509) 588-3636
us-wa-benton-city-st-frances-xavier-cabrini-catholic-church-4a3ec684,St. Frances Xavier Cabrini Catholic Church,1000,,Horne,Dr,,,,1000 Horne Dr,Benton City,WA,99320,,46.2723431,-119.4898526,+1-509-588-3636
us-wa-black-diamond-st-barbara-1c1a0e9b,St. Barbara,32416,,6th,Ave,,,,32416 6th Ave,Black Diamond,WA,98010,,47.3107033,-122.000519,(360) 886-2229
us-wa-blaine-st-anne-9611523e,Mission of St. Anne,604,,H,St,,,,604 H Street,Blaine,WA,98230,,48.9943657,-122.743607,(360) 384-3651
us-wa-bothell-st-brendan-24f54bf4,St. Brendan,10051,NE,195th,St,,,,10051 NE 195th St,Bothell,WA,98011,2931,47.76720374,-122.20594733,(425) 483-9400
us-wa-bothell-st-brendan-catholic-church-0d43a161,St. Brendan Catholic Church,10100,NE,192nd,St,,,,10100 NE 192nd St,Bothell,WA,98011,,47.7680201,-122.2044195,+1-425-483-9400
us-wa-bothell-st-elizabeth-ann-seton-787e8122,St. Elizabeth Ann Seton,2316,,180th,St,SE,,,2316 180th St S.E,Bothell,WA,98012,,47.83407361,-122.2001772,(425) 481-0303
us-wa-bremerton-holy-trinity-f6cf8f4b,Holy Trinity,4215,,Pine,Rd,NE,,,4215 Pine Rd NE,Bremerton,WA,98310,,47.60414955,-122.6407806,(360) 377-7674
us-wa-bremerton-our-lady-star-of-the-sea-29f35d85,Our Lady Star of the Sea,500,,Veneta,Ave,,,,500 Veneta Ave,Bremerton,WA,98337,,47.56684299,-122.63810741,(360) 479-3777
us-wa-brewster-sacred-heart-6020d928,Sacred Heart,214,S,5th,St,,,,214 S 5th St,Brewster,WA,98812,,48.096846,-119.78362279,(509) 689-2931
us-wa-bridgeport-st-anne-bb8cb959,St. Anne,1910,,Tacoma,Ave,,,,1910 Tacoma Ave,Bridgeport,WA,98813,,48.00270736,-119.66865664,(509) 682-2433
us-wa-buckley-st-aloysius-a6a4e5a2,St. Aloysius,211,W,Mason,Ave,,,,211 W Mason Ave,Buckley,WA,98321,,47.16052532,-122.03876752,(360) 829-6515
us-wa-burien-st-francis-of-assisi-3d9875fc,St. Francis of Assisi,15226,,21st,Ave,SW,,,15226 21st Ave SW,Burien,WA,,,47.4656375,-122.35935419,(206) 242-4575
us-wa-burien-st-francis-of-assisi-catholic-church-2fc18601,St. Francis of Assisi Catholic Church,15236,,21st,Ave,SW,,,15236 21st Ave SW,Burien,WA,98166,,47.4657072,-122.3604072,+1-206-242-4575
us-wa-burlington-st-charles-9753de1f,St. Charles,935,,Peterson,Rd,,,,935 Peterson Rd,Burlington,WA,98233,,48.4731856,-122.35152044,(360) 757-0128
us-wa-burlington-st-charles-ruthenian-b938a8d2,St. Charles,935,,Peterson,Rd,,,,935 Peterson Rd,Burlington,WA,98233,,48.47328518,-122.35122003,(206) 329-9219
us-wa-camas-st-thomas-aquinas-8595e27d,St. Thomas Aquinas,324,NE,Oak,St,,,,324 NE Oak St,Camas,WA,98607,,45.59109446,-122.39330227,(360) 834-2126
us-wa-carnation-st-anthony-of-padua-ae6ab5e0,St. Anthony of Padua,31911,E,Blanche,St,,,,31911 E Blanche St,Carnation,WA,98014,,47.64440172,-121.91347044,(425) 333-4930
us-wa-cashmere-our-lady-of-the-assumption-68eda2f6,Our Lady of the Assumption,300,S,Division,St,,,,300 S Division St,Cashmere,WA,98815,,47.51901,-120.470078,(509) 548-5119
us-wa-castle-rock-sacred-heart-monastery-maronite-ca94ac37,Sacred Heart monastery (Maronite),2314,,Delameter,Rd,,,,2314 Delameter Rd,Castle Rock,WA,98611,,46.249353,-123.006282,(503) 690-4425
us-wa-castle-rock-st-mary-32e29e2b,St. Mary,120,,Powell,Rd,,,,120 Powell Rd,Castle Rock,WA,98611,,46.275719,-122.900328,(360) 274-7404
us-wa-cathlamet-st-catherine-e28e8b77,Mission of St. Catherine,400,,Columbia,St,,,,400 Columbia St,Cathlamet,WA,98612,,46.19890444,-123.38173079,360-425-4660
us-wa-centralia-st-mary-1d62ac45,St. Mary,225,,Washington,Ave,,,,225 Washington Ave,Centralia,WA,98531,,46.71955005,-122.96091828,(360) 736-4953
us-wa-chehalis-st-joseph-16010733,St. Joseph,157,SW,6th,St,,,,157 SW 6th St,Chehalis,WA,98532,,46.65623955,-122.96108411,(360) 748-4953
us-wa-chelan-st-francis-de-sales-061aec87,St. Francis de Sales,215,W,Allen,Ave,,,,215 W Allen Ave,Chelan,WA,98816,,47.84260203,-120.02089678,(509) 682-2433
us-wa-cheney-ewu-catholic-newman-center-7db22db2,Eastern Washington University,837,,Elm,St,,,,837 Elm St,Cheney,WA,99004,,47.49294,-117.581093,(509)720-1460
