slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us-wv-alderson-mission-of-st-mary-of-the-greenbrier-a1263db6,Mission of St. Mary of the Greenbrier,101,,Davis,St,,,,101 Davis St,Alderson,WV,24910,,37.7279375,-80.6481875,
us-wv-bancroft-mission-of-st-patrick-bd99e1cd,Mission of St. Patrick,207,,Jefferson,St,,,,207 Jefferson St,Bancroft,WV,25011,,38.5095625,-81.8424375,13045863485
us-wv-bancroft-st-patrick-e3cf24b6,St. Patrick,207,,Jefferson,St,,,,207 Jefferson St,Bancroft,WV,25011,,38.51140923,-81.84280705,(304) 586-3485
us-wv-bartow-st-mark-the-evangelist-7c872404,Mission of St. Mark the Evangelist,92,,Catholic Church,Rd,,,,92 Catholic Church Rd,Bartow,WV,24920,,38.54321346,-79.78406538,304-799-6778
us-wv-beckley-st-francis-de-sales-8c819c1b,St. Francis De Sales Church,614,S,Oakwood,Ave,,,,614 S Oakwood Ave,Beckley,WV,25801,,37.77003577,-81.19701036,(304) 253-3695
us-wv-beech-bottom-mission-of-the-holy-family-5b417fdc,Mission of the Holy Family,2,,Church,St,,,,2 Church St,Beech Bottom,WV,26030,,40.2299375,-80.6518125,13043945929
us-wv-belle-church-of-st-john-a12da63f,St. John,321,E,10th,St,,,,321 E 10th St,Belle,WV,25015,,38.2303125,-81.5366875,13049493063
us-wv-benwood-st-john-f4fa3dff,St. John,622,,Main,St,,,,622 Main St,Benwood,WV,26031,,40.01640707,-80.73465922,(304) 232-6455
us-wv-berkeley-springs-st-vincent-de-paul-9bf87211,St. Vincent de Paul,67,,Liberty,St,,,,67 Liberty St,Berkeley Springs,WV,25411,,39.62615442,-78.22784775,304-258-1311
us-wv-bluefield-sacred-heart-b9e43758,Sacred Heart,1003,,Wyoming,St,,,,1003 Wyoming St,Bluefield,WV,24701,,37.27085427,-81.21721909,(304) 327-5623
us-wv-boomer-st-anthonys-shrine-3132ff30,St. Anthony's Shrine ,2764,,Midland,Trl,,,,"2764 Midland Trail , Rt 60",Boomer,WV,25031,,38.15195246,-81.28866623,(304) 442-2101 (Montgomery Parish)
us-wv-bridgeport-all-saints-f40481d8,All Saints,317,E,Main,St,,,,317 E Main St,Bridgeport,WV,26330,1750,39.28666385,-80.24648142,(304) 842-2283
us-wv-buckhannon-holy-rosary-72866fd5,Holy Rosary,35,,Franklin,St,,,,35 Franklin St,Buckhannon,WV,26201,,38.99238224,-80.23520193,(304) 472-3414
us-wv-camden-st-boniface-380a6288,St. Boniface,9140,,US Hwy 33,,W,,,9140 US Hwy 33 W,Camden,WV,26338,9737,39.03432649,-80.62936778,(304) 269-1767
us-wv-cameron-st-martin-of-tours-chapel-bd4e5b14,St. Martin of Tours,1,,Fitzgerald,Ave,,,,1 Fitzgerald Ave,Cameron,WV,26033,,39.82526283,-80.56497501,(304) 845-1593 
us-wv-chapmanville-st-barbara-6a506536,Mission of St. Barbara,33,,Sawmill,Rd,,,,33 Sawmill Rd,Chapmanville,WV,25130,,37.96987808,-82.03938933,304-855-7962
us-wv-charles-town-canons-regular-of-the-new-jerusalem-738303fd,Canons Regular of the New Jerusalem,301,S,George,St,,,,301 S George St,Charles Town,WV,25414,,39.28773091,-77.85881009,(304) 724-6995
us-wv-charles-town-st-james-2f66bfcf,St. James,49,,Crosswinds,Dr,,,,49 Crosswinds Dr,Charles Town,WV,25414,,39.26710657,-77.83888569,(304) 725-5558
us-wv-charleston-basilica-of-the-co-cathedral-of-the-sacred-heart-61afdd5c,Basilica of the Co-Cathedral of the Sacred Heart,1114,,Virginia,St,E,,,1114 Virginia St E,Charleston,WV,25301,,38.3472624,-81.63291603,(304) 342-8175
us-wv-charleston-st-agnes-31de6866,St. Agnes,4807,,Staunton,Ave,SE,,,4807 Staunton Ave SE,Charleston,WV,25304,,38.3214344,-81.57817543,(304) 925-2836
us-wv-charleston-st-anthony-d7397a3f,St. Anthony,1000,,6th,St,,,,1000 6th St,Charleston,WV,25302,,38.36598476,-81.65594781,(304) 342-2716
us-wv-chester-sacred-heart-d384a826,Sacred Heart,418,,4th,St,,,,418 4th St,Chester,WV,26034,1109,40.6114653,-80.56362451,304-387-0198
us-wv-clarksburg-immaculate-conception-9cf2d285,Immaculate Conception,150,S,Maple,Ave,,,,150 S Maple Ave,Clarksburg,WV,26301,,39.27952476,-80.33257083,(304) 622-8243
us-wv-clarksburg-st-james-the-apostle-afa5a2ff,St. James the Apostle,2107,,Pride,Ave,,,,2107 Pride Ave,Clarksburg,WV,26301,,39.29582851,-80.35059107,(304) 622-1668
us-wv-clay-church-of-the-risen-lord-a23cf439,Risen Lord,67,,Wallback,Rd,,,,67 Wallback Rd,Clay,WV,25133,,38.46125,-81.08375,13045874740
us-wv-coalburg-mission-of-the-good-shepherd-54ded049,Mission of the Good Shepherd,1013,,1st,Ave,,,,1013 1st Ave,Coalburg,WV,25067,,38.2100625,-81.4561875,13049493063
us-wv-coalton-st-patrick-be198a4f,St. Patrick,200,,Church,St,,,,200 Church St,Coalton,WV,26257,,38.89550216,-79.96683094,304.269.3048
us-wv-dunbar-christ-the-king-358df788,Christ the King,1504,,Grosscup,Ave,,,,1504 Grosscup Ave,Dunbar,WV,25064,2925,38.35853391,-81.7457889,(304) 755-0791
us-wv-elizabeth-st-elizabeth-of-hungary-bdc6c852,St. Elizabeth of Hungary Mission,24,,Butternut,St,,,,24 Butternut St,Elizabeth,WV,26143,,39.05462058,-81.40013246,(681) 236-2700
us-wv-elkins-saint-brendan-6f9e1e76,St. Brendan,181,,St Brendan,Way,,,,181 St Brendan Way,Elkins,WV,26241,,38.90141384,-79.84326463,(304) 636-0546
us-wv-elkview-our-lady-of-the-hills-a0cf1b11,Our Lady of the Hills,100,,Jackson,Dr,,,,100 Jackson Dr,Elkview,WV,25071,,38.39952735,-81.484514,(304) 342-2716 
us-wv-fairmont-immaculate-conception-3bae5cc3,Immaculate Conception Church,329,,Maryland,Ave,,,,329 Maryland Ave,Fairmont,WV,26554,,39.48222139,-80.13187876,(304) 363-5796
us-wv-fairmont-st-anthony-acfdad60,St. Anthony,1660,,Mary Lou Retton,Dr,,,,1660 Mary Lou Retton Dr,Fairmont,WV,26554,,39.45602976,-80.1756191,(304) 363-1328
us-wv-fairmont-st-peter-the-fisherman-690de984,St. Peter the Fisherman,407,,Jackson,St,,,,407 Jackson St,Fairmont,WV,26554,,39.48664203,-80.14178844,(304) 363-7434
us-wv-farmington-st-peter-3c89e651,St. Peter,1304,,Mill,St,,,,1304 Mill St,Farmington,WV,26571,,39.51254784,-80.25173966,(304) 986-2321
us-wv-follansbee-st-anthony-ec6e2622,St. Anthony,1017,,Jefferson,St,,,,1017 Jefferson St,Follansbee,WV,26037,,40.329917,-80.59446212,(304) 527-2286
us-wv-fort-ashby-annunciation-of-our-lord-dc5b10fc,Annunciation of Our Lord,8819,,Frankfort,Hwy,,,,8819 Frankfort Hwy,Fort Ashby,WV,26719,,39.51964082,-78.76984424,(304) 298-3392
us-wv-franklin-church-of-st-elizabeth-ann-seton-626f1600,St. Elizabeth Ann Seton,167,,Walnut,St,,,,167 Walnut St,Franklin,WV,26807,,38.6420625,-79.3319375,13043587012
us-wv-franklin-st-elizabeth-ann-seton-5179b25c,St. Elizabeth Ann Seton,167,,Walnut,St,,,,167 Walnut St,Franklin,WV,26807,,38.63895856,-79.33741327,(304) 358-7012
us-wv-gary-church-of-our-lady-of-victory-b4bcf78b,Our Lady of Victory,38,,Church,St,,,,38 Church St,Gary,WV,24836,,37.3651875,-81.5519375,13044482749
