Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Mon,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Tue,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Wed,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,Thu,5:05 PM,,Mass,specific_weekday,English,Albertus Magnus Chapel,,,,,
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,,11:00 AM,,Mass,special_event,English,,,2025-12-21,,,note only 11am Mass on Sunday Dec 21 with no daily or Sunday masses Dec 22-Jan 3
Albertus Magnus Chapel,"2115 Summit Ave, Saint Paul, Minnesota 55105",651-962-5000,Mass,,5:00 PM,,Christmas Eve Mass,special_event,English,,,2025-12-24,,,Christmas Eve Mass; vigil
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Mon,7:30 AM,,Mass,weekday,English,,,,,,note: Monday-Friday
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Tue,6:30 PM,,Mass,specific_weekday,English,,,,,,
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,Wed,8:00 AM,,Mass,specific_weekday,english,All Saints - Denmark,,,,,
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,Thu,8:00 AM,,Mass,specific_weekday,english,All Saints - Denmark,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Fri,7:30 AM,,Mass,weekday,English,,,,,,note: Monday-Friday
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,Fri,8:00 AM,,Mass,specific_weekday,english,All Saints - Denmark,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Mass,Sat,4:00 PM,,Mass,saturday,English,,,,,,
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,Sat,4:00 PM,,Mass,saturday,english,All Saints - Denmark,,,,,vigil
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sat,5:00 PM,,Mass,saturday,English,,,,,,vigil
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sat,8:00 AM,,Mass,saturday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Mass,Sun,10:00 AM,,Mass,sunday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,11:00 AM,,Mass,sunday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Mass,Sun,11:00 AM,,Gospel Mass,sunday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,5:30 PM,,Mass,sunday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Mass,Sun,7:30 AM,,Mass,sunday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,7:30 AM,,Mass,sunday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Mass,Sun,7:30 AM,,Traditional Mass,sunday,English,,,,,,
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,Sun,8:15 AM,,Mass,sunday,english,All Saints - Denmark,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,Sun,9:00 AM,,Mass,sunday,English,,,,,,livestream
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,,12:00 PM,,Mass,special_event,english,All Saints - Denmark,,2026-02-18,,,Mass
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,12:15 PM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass; livestream
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,5:00 PM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,6:00 PM,,Mass,monthly,English,,third_tuesday,,,,Third
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,6:30 AM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,,6:30 PM,,Mass,special_event,english,All Saints - Denmark,,2026-02-18,,,Mass
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Mass,,7:00 PM,,Ash Wednesday Mass,special_event,English,All Saints Catholic Church,,2026-02-18,,,Ash Wednesday Mass
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,,8:00 AM,,Mass,special_event,english,All Saints - Denmark,,2026-02-18,,,Mass
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Mass,,8:00 AM,,Mass,special_event,english,All Saints - Denmark,,2026-02-19,,,Mass
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Confession,Tue,5:45 PM,6:15 PM,Reconciliation,specific_weekday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Confession,Tue,5:45 PM,6:45 PM,Adoration & Private Confession,specific_weekday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Confession,Wed,5:45 PM,6:45 PM,Reconciliation,specific_weekday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Confession,Sat,3:30 PM,4:30 PM,Reconciliation,saturday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Confession,Sat,4:00 PM,,Reconciliation,saturday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Confession,Sat,8:30 AM,9:30 AM,Reconciliation,saturday,English,,,,,,
All Saints,"19795 Holyoke Ave, Lakeville, Minnesota 55044",952-469-4481,Confession,Sun,4:30 PM,5:00 PM,Reconciliation,sunday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Confession,Sun,9:30 AM,,Reconciliation,sunday,English,,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Confession,,TBD,,Confessions,parish_event,English,,,,,,before weekend Masses
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Adoration,Wed,3:30 PM,,Adoration,specific_weekday,English,,,,,,after morning Mass
All Saints,"145 Saint Claude St, Denmark, Wisconsin 54208",(920) 863-5256,Adoration,,5:00 AM,6:00 AM,Eucharistic Adoration,special_event,English,All Saints - Denmark,,2026-02-18,,,Eucharistic Adoration; exposition
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Education,Tue,4:30 PM,5:00 PM,Bible Study,specific_weekday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Education,Thu,4:30 PM,5:00 PM,Bible Study,specific_weekday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Community,Tue,9:30 AM,12:00 PM,Food Pantry,specific_weekday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Community,Thu,9:30 AM,12:00 PM,Food Pantry,specific_weekday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Other,Tue,5:00 PM,6:00 PM,Hot Meals,specific_weekday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Other,Wed,12:00 PM,,Scripture Study,specific_weekday,English,,,,,,zoom
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Other,Thu,5:00 PM,6:00 PM,Hot Meals,specific_weekday,English,,,,,,
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Other,Sun,9:15 AM,,Scripture Study,sunday,English,,,,,,zoom
All Saints,"4051 N 25th St, Milwaukee, Wisconsin 53209",(414) 444-5610,Other,,6:00 PM,,Pastoral Council,monthly,English,,second_wednesday,,,,note: 2nd Wednesday
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Other,,TBD,,Communal Penance,parish_event,English,,,,,,during the Advent and Lenten Seasons
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Private,Mon,7:00 AM,7:00 PM,Private Prayer,other,English,The Church Carport Doors,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Private,Tue,7:00 AM,7:00 PM,Private Prayer,other,English,The Church Carport Doors,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Private,Wed,7:00 AM,7:00 PM,Private Prayer,other,English,The Church Carport Doors,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Private,Thu,7:00 AM,7:00 PM,Private Prayer,other,English,The Church Carport Doors,,,,,
All Saints,"N8566 State Rd 49, Berlin, Wisconsin 54923",(920) 361-5252,Private,Fri,7:00 AM,12:00 PM,Private Prayer,other,English,The Church Carport Doors,,,,,
Allouez Catholic Cemetery,"2121 Riverside Dr, Green Bay, WI 54301",+1-920-432-7585,Mass,Mon,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
Allouez Catholic Cemetery,"2121 Riverside Dr, Green Bay, WI 54301",+1-920-432-7585,Mass,Wed,8:00 AM,,Mass,specific_weekday,English,Chapel,,,,,
