Church,Address,Phone,Category,Day,Time Start,Time End,Service Name,Schedule Type,Language,Location,Pattern,Event Date,Time Relation,Reference Service,Notes
Ascension,"208 S Ohio, Hudson, Wyoming 82515",(307) 332-4952,Mass,Sun,10:00 AM,,Mass,sunday,english,Ascension in Hudson,,,,,Mission Church
Blessed Sacrament,"33 St Stephens Rd, Saint Stephens, Wyoming 82524",(307) 856-7806,Mass,,9:00 AM,,Mass,monthly,English,,first_saturday_(recurring),,,,followed by anointing of the sick
Blessed Sacrament,"33 St Stephens Rd, Saint Stephens, Wyoming 82524",(307) 856-7806,Confession,Sat,2:00 PM,2:30 PM,Confession,saturday,English,St. Stephen's,,,,,
Blessed Sacrament,"33 St Stephens Rd, Saint Stephens, Wyoming 82524",(307) 856-7806,Confession,,TBD,,Confession,other,English,,,,,,by appointment; also available at any time by request; just stop by or call the parish office to schedule an appointment with the priest
Blessed Sacrament,"33 St Stephens Rd, Saint Stephens, Wyoming 82524",(307) 856-7806,Adoration,,8:00 AM,,Adoration,monthly,English,,first_saturday_(recurring),,,,
Blessed Sacrament Mission,"624 Wright Blvd, Wright, Wyoming 82732",(307) 682-3319,Mass,Sun,4:30 PM,,Mass,sunday,English,Wright,,,,,
Blessed Sacrament Mission,"624 Wright Blvd, Wright, Wyoming 82732",(307) 682-3319,Confession,,4:00 PM,4:30 PM,Confessions,monthly,spanish,,first_sunday,,,,1st of the Month
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Mon,7:00 PM,,Mass,other,spanish,,,,,,thly on the 12th; Uncion de los enfermos
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Mon,8:00 AM,,Mass,weekday,english,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Tue,8:00 AM,,Mass,weekday,english,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Wed,8:00 AM,,Mass,weekday,english,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Thu,5:30 PM,,Mass,specific_weekday,English,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Thu,8:00 AM,,Mass,weekday,english,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Fri,7:00 PM,,Mass,specific_weekday,spanish,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Fri,8:00 AM,,Mass,weekday,english,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Sat,5:30 PM,,Mass,saturday,English,,,,,,vigil
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Sat,8:00 AM,,Mass,saturday,English,,,,,,
Chapel of the Sacred Heart,"Teton Park Rd, Alta, WY 83414",+1-307-733-2516,Mass,Sun,12:15 PM,,Mass,sunday,spanish,,,,,,
