slug,name,street_number,pre_direction,street_name,street_suffix,post_direction,unit_type,unit_number,full_street,city,state_code,zip5,zip4,latitude,longitude,phone
us--non-completed-mount-carmel-monastery-68c86634,Mount Carmel Monastery,,,Cody Wyoming,,,,,Cody Wyoming,(non-completed),,82433,,44.2658125,-109.1404375,
us-wy-albin-st-joseph-catholic-church-d94f0e49,St. Joseph Catholic Church,2898,,WY-215,,,,,2898 WY-215,Albin,WY,82050,,41.4181973,-104.0926232,+1-307-245-3761
us-wy-albin-st-joseph-4a6d12b5,St. Joseph Mission,2898,,,Hwy,,,,2898 Hwy 215 and 216,Albin,WY,82050,,41.41808795,-104.09237758,(307) 245-3761
us-wy-alta-chapel-of-the-sacred-heart-80a26f2f,Chapel of the Sacred Heart,,,Teton Park,Rd,,,,Teton Park Rd,Alta,WY,83414,,43.8453097,-110.602997,+1-307-733-2516
us-wy-baggs-our-lady-of-the-sage-68d5bf2e,Our Lady of the Sage Mission,,,Hwy 70 and 2nd,St,,,,Hwy 70 and 2nd St,Baggs,WY,82321,,41.03463818,-107.65198572,(307) 324-4631
us-wy-basin-st-philip-mission-129a85a5,St. Philip Mission,,,Ave D,,,,,Ave D,Basin,WY,82410,,44.38125,-108.04125,
us-wy-big-piney-st-ann-b1e50c09,St. Anne Mission,421,,Piney,Dr,,,,421 Piney Dr,Big Piney,WY,83113,,42.54017734,-110.11363504,(307) 367-2359
us-wy-buffalo-st-john-the-baptist-50a82f19,St. John the Baptist,532,N,Lobban,Ave,,,,532 N Lobban Ave,Buffalo,WY,82834,1724,44.35319091,-106.69660482,(307) 684-7268
us-wy-carpenter-st-peter-5ba13829,St. Peter Mission,316,,4th,St,,,,316 4th St,Carpenter,WY,82054,,41.04517633,-104.36098121,(307) 245-3761
us-wy-casper-our-lady-of-fatima-d7534a98,Our Lady of Fatima,1401,,CY,Ave,,,,1401 CY Ave,Casper,WY,82604,,42.83195665,-106.34142835,(307) 265-5586
us-wy-casper-st-anthony-of-padua-168ea46a,St. Anthony,604,S,Center,St,,,,604 S Center St,Casper,WY,82601,,42.84386788,-106.32537771,(307) 266-2666
us-wy-casper-st-patrick-efba4950,St. Patrick,400,,Country Club,Rd,,,,400 Country Club Rd,Casper,WY,82609,,42.84597101,-106.29078753,(307) 235-5535
us-wy-cheyenne-holy-trinity-4cb90d11,Holy Trinity,1808,,Hot Springs,Ave,,,,1808 Hot Springs Ave,Cheyenne,WY,82001,5270,41.14235608,-104.7855111,(307) 632-5872
us-wy-cheyenne-st-joseph-b0b275e9,St. Joseph,314,E,6th,St,,,,314 E 6th St,Cheyenne,WY,82007,,41.12534959,-104.8057857,(307) 634-4625
us-wy-cheyenne-st-mary-2665f7dc,St. Mary’s Cathedral,2107,,Capitol,Ave,,,,2107 Capitol Ave,Cheyenne,WY,82001,,41.13747088,-104.81784409,(307) 635-9261
us-wy-chugwater-mary-queen-of-heaven-a7e77747,Mary Queen of Heaven Mission,401,,5th,St,,,,401 5th St,Chugwater,WY,82210,,41.76045295,-104.82276155,(397) 322-2070
us-wy-clark-our-lady-of-the-valley-28e96798,Our Lady of the Valley Mission,35,,,Rd,,,,35 Rd 1AFW,Clark,WY,82435,,44.94221592,-109.10184998,(307) 587-3388
us-wy-clearmont-st-mary-e665c35c,St. Mary Mission,1601,,Clear Creek,Ave,,,,1601 Clear Creek Ave,Clearmont,WY,82835,,44.64189232,-106.37865787,(307) 684-7268
us-wy-cody-st-anthony-5ffe94ea,St. Anthony of Padua,1333,,Monument,St,,,,1333 Monument St,Cody,WY,82414,,44.52347783,-109.0768154,(307) 587-3388
us-wy-cody-st-luke-ukrainian-43c4c3b1,St. Luke (Ukrainian),1922,,Bighorn,Ave,,,,1922 Bighorn Ave,Cody,WY,82414,,44.53298438,-109.05004673,+1.785.991.0788
us-wy-diamondville-st-patrick-030b175b,St. Patrick,65,,McGovern,Ave,,,,65 McGovern Ave,Diamondville,WY,83116,,41.78574133,-110.5408248,(307) 877-4573
us-wy-douglas-st-james-b666e6f2,St. James,311,S,5th,St,,,,311 S 5th St,Douglas,WY,82633,,42.75647611,-105.38147198,(307) 358-2338
