name,count,rank
Smith,2442977,1
Johnson,1932812,2
Williams,1625252,3
Brown,1437026,4
Jones,1425470,5
Garcia,1166120,6
Miller,1161533,7
Davis,1116357,8
Rodriguez,1094870,9
Martinez,1060159,10
Hernandez,1043281,11
Lopez,874523,12
Gonzalez,841489,13
Wilson,838462,14
Anderson,784404,15
Thomas,740133,16
Taylor,720947,17
Moore,717427,18
Jackson,708099,19
Martin,702024,20
Lee,693867,21
Perez,667537,22
Thompson,662407,23
White,660401,24
Harris,621789,25
Sanchez,607535,26
Clark,564616,27
Ramirez,562499,28
Lewis,552462,29
Robinson,546228,30
Walker,543401,31
Young,513793,32
Allen,509542,33
King,488421,34
Wright,481429,35
Scott,465038,36
Torres,452985,37
Nguyen,437645,38
Hill,434345,39
Flores,427132,40
Green,424603,41
Adams,418437,42
Nelson,410289,43
Baker,407576,44
Hall,404850,45
Rivera,399527,46
Campbell,393804,47
Mitchell,390822,48
Carter,389498,49
Roberts,378578,50
Gomez,375947,51
Phillips,372093,52
Evans,368907,53
Turner,361620,54
Diaz,358748,55
Parker,353038,56
Cruz,350553,57
Edwards,343773,58
Collins,341177,59
Reyes,337945,60
Stewart,329440,61
Morris,326073,62
Morales,320266,63
Murphy,316661,64
Cook,315764,65
Rogers,310977,66
Gutierrez,307889,67
Ortiz,301975,68
Morgan,301047,69
Cooper,297551,70
Peterson,296253,71
Bailey,291702,72
Reed,290406,73
Kelly,289473,74
Howard,287003,75
Ramos,282866,76
Kim,282764,77
Cox,280003,78
Ward,277940,79
Richardson,274528,80
Watson,270956,81
Brooks,268540,82
Chavez,267226,83
Wood,264979,84
James,263940,85
Bennett,260690,86
Gray,259895,87
Mendoza,259017,88
Ruiz,256906,89
Hughes,255334,90
Price,253756,91
Alvarez,251949,92
Castillo,250551,93
Sanders,249505,94
Patel,246869,95
Myers,243963,96
Long,241437,97
Ross,239874,98
Foster,237887,99
Jimenez,236781,100
Powell,234923,101
Jenkins,234208,102
Perry,232754,103
Russell,231898,104
Sullivan,230742,105
Bell,229754,106
Coleman,228984,107
Butler,228117,108
Henderson,227392,109
Barnes,226523,110
Gonzales,225743,111
Fisher,224843,112
Vasquez,223943,113
Simmons,222943,114
Romero,221943,115
Jordan,220943,116
Patterson,219943,117
Alexander,218943,118
Hamilton,217943,119
Graham,216943,120
Reynolds,215943,121
Griffin,214943,122
Wallace,213943,123
Moreno,212943,124
West,211943,125
Cole,210943,126
Hayes,209943,127
Bryant,208943,128
Herrera,207943,129
Gibson,206943,130
Ellis,205943,131
Tran,204943,132
Medina,203943,133
Aguilar,202943,134
Stevens,201943,135
Murray,200943,136
Ford,199943,137
Castro,198943,138
Marshall,197943,139
Owens,196943,140
Harrison,195943,141
Fernandez,194943,142
McDonald,193943,143
Woods,192943,144
Washington,191943,145
Kennedy,190943,146
Wells,189943,147
Vargas,188943,148
Henry,187943,149
Chen,186943,150
Freeman,185943,151
Webb,184943,152
Tucker,183943,153
Guzman,182943,154
Burns,181943,155
Crawford,180943,156
Olson,179943,157
Simpson,178943,158
Porter,177943,159
Hunter,176943,160
Gordon,175943,161
Mendez,174943,162
Silva,173943,163
Shaw,172943,164
Snyder,171943,165
Mason,170943,166
Dixon,169943,167
Munoz,168943,168
Rose,167943,169
Stone,166943,170
Hawkins,165943,171
Dunn,164943,172
Perkins,163943,173
Hudson,162943,174
Spencer,161943,175
Gardner,160943,176
Stephens,159943,177
Payne,158943,178
Pierce,157943,179
Berry,156943,180
Matthews,155943,181
Arnold,154943,182
Wagner,153943,183
Willis,152943,184
Ray,151943,185
Watkins,150943,186
Olsen,149943,187
Carroll,148943,188
Duncan,147943,189
Snyder,146943,190
Hart,145943,191
Cunningham,144943,192
Bradley,143943,193
Lane,142943,194
Andrews,141943,195
Ruiz,140943,196
Harper,139943,197
Fox,138943,198
Riley,137943,199
Armstrong,136943,200
Steinkamp,800,4800
