name,total_count,rank
James,5213689,1
John,5163958,2
Robert,4849738,3
Michael,4405274,4
William,4159868,5
Mary,4145486,6
David,3651803,7
Joseph,2641826,8
Richard,2578808,9
Charles,2418011,10
Thomas,2333549,11
Christopher,2052438,12
Daniel,1947282,13
Elizabeth,1658880,14
Matthew,1623591,15
Patricia,1577515,16
George,1483277,17
Jennifer,1473567,18
Anthony,1462787,19
Linda,1457165,20
Barbara,1439185,21
Donald,1418226,22
Paul,1397345,23
Mark,1359586,24
Andrew,1309207,25
Edward,1300479,26
Steven,1290712,27
Kenneth,1282888,28
Margaret,1257168,29
Joshua,1227713,30
Kevin,1180280,31
Brian,1172927,32
Susan,1124794,33
Dorothy,1112446,34
Sarah,1087607,35
Ronald,1083614,36
Timothy,1079420,37
Jessica,1051458,38
Jason,1044518,39
Helen,1023646,40
Nancy,1005950,41
Betty,1003725,42
Karen,989713,43
Jeffrey,979953,44
Ryan,968669,45
Lisa,968611,46
Jacob,954005,47
Frank,917321,48
Nicholas,912162,49
Gary,904309,50
Anna,903035,51
Eric,885635,52
Sandra,877012,53
Emily,867276,54
Ashley,865677,55
Stephen,863147,56
Jonathan,853557,57
Kimberly,844244,58
Donna,833347,59
Ruth,830361,60
Carol,825174,61
Michelle,815880,62
Larry,809929,63
Laura,800076,64
Amanda,789433,65
Justin,784658,66
Samuel,780818,67
Raymond,778681,68
Benjamin,776278,69
Scott,775276,70
Brandon,766096,71
Melissa,758634,72
Rebecca,753048,73
Stephanie,744611,74
Deborah,742963,75
Sharon,725167,76
Henry,715956,77
Jack,715026,78
Kathleen,714162,79
Gregory,711932,80
Cynthia,711851,81
Emma,707552,82
Alexander,699315,83
Amy,696436,84
Shirley,695247,85
Patrick,681214,86
Angela,669590,87
Catherine,664696,88
Virginia,652084,89
Katherine,643993,90
Jerry,630840,91
Walter,628272,92
Dennis,621605,93
Tyler,610345,94
Brenda,609651,95
Frances,596544,96
Aaron,596354,97
Pamela,595969,98
Willie,595556,99
Evelyn,595215,100
Nicole,591738,101
Christine,587447,102
Peter,582329,103
Samantha,582173,104
Jose,577258,105
Alice,572559,106
Rachel,569291,107
Adam,564574,108
Nathan,563043,109
Douglas,560517,110
Janet,557835,111
Carolyn,557345,112
Maria,555635,113
Kelly,554190,114
Harold,553066,115
Debra,551644,116
Martha,551531,117
Zachary,542710,118
Marie,539830,119
Arthur,536669,120
Heather,526528,121
Terry,520385,122
Diane,519626,123
Jordan,515701,124
Joyce,510935,125
Julie,510823,126
Grace,510138,127
Carl,506880,128
Victoria,506710,129
Albert,491999,130
Rose,490771,131
Kyle,490737,132
Olivia,489456,133
Joan,486987,134
Jean,482321,135
Christina,479588,136
Lauren,476817,137
Ann,470481,138
Julia,466082,139
Doris,465392,140
Joe,463186,141
Lawrence,460558,142
Lillian,455882,143
Judith,454357,144
Kathryn,454284,145
Mildred,452474,146
Christian,452130,147
Gerald,450339,148
Ethan,446752,149
Hannah,444864,150
Andrea,443110,151
Roger,442082,152
Jeremy,441942,153
Cheryl,440304,154
Megan,439175,155
Keith,438249,156
Taylor,435595,157
Jesse,434769,158
Noah,433983,159
Sara,429350,160
Austin,425774,161
Jacqueline,424530,162
Harry,424143,163
Sean,422852,164
Teresa,415576,165
Ralph,414896,166
Gloria,414650,167
Roy,408572,168
Janice,407169,169
Alexis,405626,170
Theresa,405114,171
Louis,402022,172
Madison,401087,173
Dylan,398187,174
Charlotte,388932,175
Billy,388529,176
Bryan,385744,177
Bruce,385502,178
Abigail,384086,179
Judy,383459,180
Beverly,382074,181
Eugene,382016,182
Leslie,380951,183
Logan,380188,184
Sophia,377481,185
Jane,375024,186
Denise,374033,187
Amber,372832,188
Marilyn,372812,189
Danielle,370484,190
Gabriel,367834,191
Diana,363168,192
Natalie,362379,193
Ruby,361811,194
Isabella,361449,195
Brittany,360152,196
Russell,357008,197
Juan,355733,198
Jamie,355347,199
Annie,354622,200
Wayne,354580,201
Irene,354508,202
Alan,354144,203
Vincent,349005,204
Shannon,347415,205
Howard,347222,206
Fred,345224,207
Philip,342093,208
Lori,342043,209
Kayla,341982,210
Tiffany,338503,211
Angel,338457,212
Florence,337547,213
Shawn,337127,214
Louise,336051,215
Robin,335563,216
Lois,334962,217
Kathy,334531,218
Randy,333277,219
